ID,Brand,Name,Amazon_Price,Original_Price,Features
359,Asus,ASUS X550ZA-WH11(WX) 15.6\  Laptop,$449.00,,"AMD A10-7400P 2.5 GHz. 8 GB DDR3. 1000 GB 5400 rpm Hard Drive. 15.6-Inch Screen, AMD Radeon R6. Windows 10"
360,Other,AmazonBasics 15.6-Inch Laptop and Tablet Bag,$16.49,,"Slim, compact case is perfect for carrying laptops up to 15.6-inches without the unnecessary bulk. Accessory storage pockets for portable mouse, iPod, cell phone and pens. Includes padded shoulder strap. Internal Dimensions: 14.7\  x 2.2\  x 11.2\  (LxWxH). External Dimensions: 15.5\  x 2.8\  x 12\  (LxWxH)"
361,Samsung,"Samsung Chromebook (Wi-Fi, 11.6-Inch) - Silver (Certified Refurbished)",$179.00,$249.99,"This Certified Refurbished product is certified factory refurbished, shows limited or no wear, and includes all original accessories plus a 90-day warranty. Chrome OS, Samsung Exynos 5250 Dual Core Processor. Display: 11.6\  LED HD 1366 x 768 16:9, Ports: HDMI, Headphone/MIC combo, 1 x USB 3.0 + 1 x USB 2.0, 3- in-1 (SD/SDHC/SDXC). Memory: 2 GB DDR3L RAM, 16GB Solid State Drive. Built-in dual band Wi-Fi 802.11 a/b/g/n, Webcam, 3W Stereo Speaker"
362,Toshiba,Toshiba Satellite L15-B1330 Laptop,$229.00,,"Intel Celeron Processor N2840. 2GB DDR3L 1600MHz (Memory is not user replaceable). 128GB mSATA solid state drive (SSD), Intel Integrated Graphics. Windows 8.1"
363,Other,Timbuk2 Spire-2015,$99.00,,
364,Asus,Asus Transformer Book 10.1-inch 32GB Detachable 2-in-1 Touch Laptop/Tablet T100TA With Neoprene Protective Sleeve and Keyboard Dock Bundle - Grey (Certified Refurbished),$187.99,$399.99,"This Certified Refurbished product is factory refurbished, shows limited or no wear, and includes all original accessories plus a 90 day warranty. Included in this bundle: Chiclet Keyboard Dock with USB 2.0 port and Protective Neoprene Sleeve. 32 GB Storage (expandable up to 128GB via microSD). 1TB OneDrive Cloud Storage for 1 Year.. Dual-band 802.11N WiFi for fast web browsing. MicroSDXC card reader, microHDMI, microUSB ports, &amp; Bluetooth 4.0.. Lightning fast Intel Quad-Core Processor with 1 GB RAM."
365,HP,"HP Stream 11.6 inch Laptop, Intel N2840 2.16GHz Dual-Core, 2GB DDR3L, 32GB Solid State Drive, Windows 8.1, Blue (Certified Refurbished)",$179.99,$299.00,"This Certified Refurbished product is tested and certified to look and work like new. The refurbishing process includes functionality testing, basic cleaning, inspection, and repackaging. The product ships with all relevant accessories, a minimum 90-day warranty, and may arrive in a generic box. Only select sellers who maintain a high performance bar may offer Certified Refurbished products on Amazon.com. 11.6 inch 1366x768 pixels LED-lit Screen with build in webcam, Integrated Dual Array Digital. Intel Celeron N2840 2.16GHz (2.16GHz with Turbo Boost Technology up to 2.58GHz), 1MB Cache, On-board 2GB 1333MHz DDR3L SDRAM, 32GB Emmc. I/O Ports: 1 HDMI, 1 USB 3.0, 1 USB 2.0, 1 Combo Headphone/Mic Jack, Multi-Format SD Card Reader. Genuine Windows 8.1 with Bing (64-bit), Free upgrade to Windows 10"
366,Asus,"Asus Q502LA-BBI5T12 15.6\  Touch-Screen Laptop Convertible - Intel Core i5, 8GB, 1TB Black (Certified Refurbished)",,$799.99,"This Certified Refurbished product is manufacturer refurbished, shows limited or no wear, and includes all original accessories plus a 90-day warranty.. Intel Core i5-4210U Processor 1.7 GHz, up to 2.7 GHz Turbo. 15.6-Inch FHD (1920x1080) IPS LED Slim Touch. 8GB DDR3 System Memory, 1TB Hard Drive. 802.11ac (WiDi Capable) + Bluetooth 4.0"
367,Acer,"Acer Aspire One Cloudbook, 14-Inch HD, Windows 10, Gray (AO1-431-C7F9)",$309.00,,"Intel Celeron N3050 1.6 GHz. 2GB of DDR3L Onboard Memory. 64 GB Internal Storage. 14-Inch HD Screen, Intel HD Graphics, 12-hour battery life. Windows 10, Microsoft Office 365 Personal 1-Year Subscription"
368,Toshiba,Toshiba PA1500U-1BS8 18-Inch Extreme Backpack,$48.73,$69.99,"Traditional backpack styling fits up to 18\  laptops. Extra padding throughout for increased comfort and protection. Made with durable 1680d Ballistic Polyester, 600d Polyester ripstop and 900d 2tone dobby materials. Water bottle pocket and zippered pouches on both sides. Dual zippers on main compartments for easy access. Padded shoulder straps and padded back support for comfort. Cushioned reenforced handle for easy carrying"
369,Apple,"High Quality 11\  11 inch Neoprene Water Resistance Zipper Sleeve Bag for Macbook Pro Retina / Ultrabook / Netbook , Built-in 2 Pockets(Black)",,$18.99,"Neoprene construction with soft, padded interior that will protect a laptop when loaded into a backpack or messenger bag, or when carried alone.. Six millimeters of protection ﾡﾧC 3mm neoprene, 3mm foam.. Formfitting neoprene laptop sleeve compatible with your MacBook. 2 Zippered Pockets store your power adapter,mouse and other accessories. Slimline design protects laptop on its own or in your favorite bag;Come with a LOHASIC 2 in 1 Slim Capacitive Stylus Pen"
370,Dell,"2015 Newest Model Dell XPS13 Ultrabook Computer - the World's First 13.3\  FHD WLED Backlit Infinity Display, 5th Gen Intel Core i5-5200U Processor 2.2GHz / 4GB DDR3 / 128GB SSD / Windows 8.1",$899.00,"$1,399.99","The World's Frst Infinity Display of 13.3\  Full HD (1920 x 1080) Backlit WLED Screen. 5th Generation Broadwell Intel Core i5-5200U 2.20 GHz with Turbo Boost Technology up to 2.70 GHz. 4GB Dual Channel DDR3L-RS 1600Mhz/ 128GB SSD / Intel HD Graphics 5500. Backlit Keyboard; 2 x USB 3.0; Bluetooth 4.0; HDMI; Exceptionally Long-Lasting Battery Life up to 15 hrs. Windows 8.1 (64-bit), light weight only 2.6 lbs"
371,Asus,ASUS X551 15.6-inch Laptop [2014],$253.99,,"Intel Celeron 2 GHz. 500 GB Hard Drive. 15\  Display.. Wireless 802.11B. 1x USB 2.0, HDMI, VGA. No CD/DVD Drive."
372,Dell,"Dell Inspiron 14 3000 14 Inch Laptop (Intel Celeron, 2GB, 500GB, Black)",$219.98,$249.99,"Intel Celeron N2840 2.16 GHz Processor. 2 GB DDR3 RAM; 500 GB HDD. HDMI 1.4a, USB 3.0 (1), USB 2.0 (2), Kensington lock slot, Media Card Reader 3-in-1, headphone/mic. 14 inch 1366 x 768 pixels LED-lit Screen. Windows 8.1; Free upgrade to Windows 10 when available"
373,Toshiba,"2015 Newest Toshiba Satellite 11.6 Inch Laptop, 11.6 Inch LED-backlit TFT Display, Intel Celeron N2840, 2GB RAM, 128GB SSD, Windows 8.1, Satin Gold (Certified Refurbished)",$259.00,$399.00,"This Certified Refurbished product is manufacturer refurbished, shows limited or no wear, and includes all original accessories plus a 270 days warranty.. 11.6 inch LED-backlit TFT high-definition display With TruBrite technology and 1366 x 768 resolution provides clear images with built-in high-definition webcam with stereo microphone. 2GB DDR3L memory, 128GB SSD, Intel Celeron processor N2840 (Features a 2MB cache and 2.16GHz up to 2.58 GHz processor speed). Mobile Intel HD graphics, 1 HMDI output, Bluetooth 4.0, 1 USB 3.0 port and 1 USB 2.0 port, High-speed wireless LAN (802.11b/g/n), Multiformat media reader. Windows 8.1 64-bit , free upgrade to Windows 10"
374,Asus,Asus Transformer Book 10.1-inch 32GB Detachable 2-in-1 Touch Laptop/Tablet T100TA 2GB RAM With Keyboard Dock - Grey (Certified Refurbished),$185.99,$399.99,"This Certified Refurbished product is factory refurbished, shows limited or no wear, and includes all original accessories plus a 90 day warranty. Chiclet Keyboard Dock with USB 2.0 port included with bundle*. 32 GB Storage (expandable up to 128GB via microSD).. Dual-band 802.11N WiFi for fast web browsing. MicroSDXC card reader, microHDMI, microUSB ports, &amp; Bluetooth 4.0.. Lightning fast Intel Quad-Core Processor with 2 GB RAM."
375,Toshiba,Toshiba Satellite C55-B5240X 15.6-Inch Laptop,$269.00,$299.99,"Intel Celeron N2840 2.16 GHz. 4 GB DDR3L SDRAM. 500 GB 5400 rpm Hard Drive. 15.6-Inch Screen, Mobile Intel HD graphics. Windows 10"
376,Other,Timbuk2 Slate Laptop Backpack,$52.98,$89.00,
377,HP,"HP Flyer Red 15.6\  15-G227WM Laptop PC Bundle with AMD Quad-Core A6-5200 Processor, 4GB Memory, 500GB Hard Drive and Windows 8.1",$384.25,$599.99,"AMD Quad-Core A6-5200 processor 2.0GHz, 2MB L2 Cache. 4GB DDR3 SDRAM system memory. 500GB SATA hard drive, SuperMulti DVD Burner. 15.6\  HD BrightView WLED-backlit display. 10/100Base-T Ethernet, 802.11b/g/n Wireless LAN"
378,Apple,High Sierra Elite Fly-By TSA Friendly Black 17\  Laptop / MacBook Pro Backpack,$77.89,,"Like carrying your office on your back, this checkpoint-friendly laptop backpack handles your daily business in a fully mobile way. Padded laptop compartment inside the back zippered compartment transports up to a 17\  laptop and allows for easy airport inspection. Additional space in the multi-section main compartment is also provided for your textbooks and work files. Also includes a padded pocket dedicated to your tablet or e-reader. One side of the backpack offers easy-access bottle and accessory pockets so you can even pack your daily re-supply"
379,Asus,"ASUS C201 11.6 Inch Chromebook (Rockchip, 2 GB, 16GB SSD, Navy Blue)",$161.99,$169.00,Rockchip  1.8 GHz Processor. 2 GB DDR3 RAM. 16GB SSD Storage; No Optical Drive. 11.6 inches 1366*768 pixels LED-lit Screen. Chrome Operating System; Navy Blue Chassis
380,Acer,Acer Aspire E 11 ES1-111M-C40S 11.6-Inch Laptop (Diamond Black),$159.49,$199.99,"Intel Celeron N2840 2.16 GHz Processor (1 MB Cache). 2 GB DDR3L SDRAM. 32 GB Internal Storage. 11.6-Inch Screen, Intel HD Graphics. Windows 8.1 with Bing, 5-hour battery life"
381,Lenovo,"Lenovo S21e 11.6 Inch Laptop (Intel Celeron, 2 GB, 32 GB SSD) - Free Upgrade to Windows 10",$169.59,$199.99,Intel Celeron N2840 2.1 GHz Processor. 2 GB DDR3 RAM. 32 GB SSD Storage; No optical drive. 11.6 inches 1366x768 pixels LED-lit Screen. Windows 8.1 Operating System
382,Samsung,"Samsung Chromebook 2 11.6 Inch  Laptop (Intel Celeron, 2 GB, 16 GB SSD, Silver)",,,Intel Celeron 2.16 GHz Processor. 2 GB DDR3L SDRAM. 16 GB SSD Storage; No Optical Drive. 11.6 inches 1366 x 768 pixels LED-lit Screen. Chrome Operating System; Silver Chassis
383,Other,Kailo Chic 15.4\  Structured Laptop Tote in Silver Flower,$65.99,$79.99,"Fits most 15.4\  PC Laptops, Fits 17\  Mac Book Pros. Padded laptop pocket and Ipad Pocket. Back pocket opens to slide over luggage handles during travel. Organization includes: Pens Slots, Power Brick Pocket, Credit Card Slots, Clear Zip Pocket, and Exterior Cell Phone Pocket. Features two front pockets on exterior of bag"
384,Lenovo,Lenovo - G50 15.6\  Laptop - Intel Core i3 - 4GB Memory - 1TB Hard Drive - Black G50 80L000ALUS,$363.59,$499.99,"4th Gen Intel CoreTM i3-4030U processor featuring a 3MB cache and 1.9GHz processor speed.and smart 4-way processing performance for HD quality computing. Intel? HD graphics provide extra graphics power for your laptop when you need it.. 15.6\  LED-backlit high-definition display with With 1366 x 768 resolution presents media in rich detail. 4GB DDR3L memory, 1TB Serial ATA III hard drive (5400 rpm), and Multiformat DVD��RW/CD-RW drive. Built-in webcam, 2-in-1 media reader, 1 USB 3.0 port and 2 USB 2.0 ports, Bluetooth 4.0, Built-in wireless and 10/100/1000 Ethernet LAN. Microsoft Windows 8.1 operating system preinstalled, Upgrade to Windows 10 for free"
385,Toshiba,"Toshiba Satellite C55D-B5308 15.6-Inch Laptop (AMD E1-Series, 4GB Memory, 500GB Hard Drive) Jet Black",$289.00,$499.00,"4GB DDR3 Memory, 500GB Hard Drive. AMD E1-2100 Accelerated Processor with AMD Radeon HD 8210 graphics. Windows 8 64-bit. Built-in high-definition webcam with microphone, Multiformat DVDRW/CD-RW drive. 15.6\  LED-backlit TFT high-definition widescreen display with Intel HD graphics"
386,HP,HP ENVY 15-k253ca 15\  Notebook PC - Intel Core i7 2.6GHz 8GB 1TB DVDRW Windows 8.1 (Certified Refurbished),$579.99,$799.99,"This Certified Refurbished product is tested &amp; certified by HP to look and work like new. The product includes accessories, and is backed by a 90 Day warranty.. 2.6GHz 4th generation Intel Core i7-4720HQ Processor with Turbo Boost up to 3.6GHz. 8GB DDR3L SDRAM (1 DIMM) - 1TB 5400RPM hard drive with HP ProtectSmart Hard Drive Protection. 15.6-inch diagonal Full HD AntiGlare WLED-backlit display. Microsoft Windows 8.1 (64-bit)"
387,Other,mStand Laptop Stand,$42.99,$59.99,"Raises notebook screen height to eye level for better ergonomics (5.9 inches). Tilt design brings screen closer and improves airflow around laptop. Single piece aluminum design provides solid stability. Aluminum panel acts as a heat sink to cool laptop. Cable organizer behind routes wires neatly. Keyboard stash clears up desk area when not in use. Sand-blasted and silver anodized finish matches Apple notebooks. Compatible with Apple Macbook Pro, Macbook Air and other laptops with depths less than 10.4 inches"
388,Dell,"Dell Insprion 15.6-inch HD LED Gaming Laptop/Intel i7-5500U,NVIDIA GeForce 920M with 8GB DDR3L+1TB HDD",$799.99,$879.99,"5th Generation Intel Core i7-5500U Processor (4M Cache, up to 3.00 GHz). 8GB Dual Channel DDR3L 1600MHz. NVIDIA GeForce 920M 4GB DDR3. 1TB 5400 rpm Hard Drive. 15.6-inch HD Truelife LED-Backlit Display"
389,Asus,"2015 Newest Asus Premium High Performance 15.6-inch Laptop, Intel Pentium N3540 2M Cache 2.16GHz-2.66GHz, 4GB DDR3L, 750GB HDD, DVD drive, 1366 X 768 HD display, HDMI, WiFi, Windows 8.1 / Windows 10",$359.00,$599.00,"Intel Pentium N3540 Processor (2M Cache, 2.16GHz base, turbo boost up to 2.66 GHz), UMA Graphics. 4GB PC3-12800 DDR3L 1600MHz SDRAM, 750GB 5400 rpm Hard Drive, Multiformat Super-Multi DVD drive, USB 3.0, USB 2.0. 15.6-inch High-Definition (1366 x 768) LED-Backlit Display, 720p HD Webcam, HDMI, VGA port/Mini D-sub. 802.11 b/g/n WiFi, 1G LAN Ethernet, SonicFocus Audio, card reader ( SD SDHC ). Windows 8.1 64-bit free upgrade to Windows 10"
390,Dell,2015 Newest Premium Dell Black Gloss 15.6\  Laptop (5th Generation Intel Core i3-5005U Processor /6GB Memory /1TB Hard Drive /DVD Drive /Webcam /3-in-1 card reader /WiFi /Bluetooth /Windows 8.1),$464.00,$799.99,"Intel Core i3-5005U processor 2.0GHz, 3M Cache / Bluetooth 4.0. 6GB DDR3L SDRAM system memory (expandable to 16GB). 1TB SATA hard drive / DVD-ROM. 10/100 Fast Ethernet, 802.11ac Wireless LAN / 720p webcam with mic. 3-in-1 memory card reader / 1 x USB 3.0 port, 2 x USB 2.0 ports, 1 x RJ-45 Ethernet port, 1 x HDMI port, 1 x DC-in"
391,Acer,Acer Touch R3-471T Ultra Portable Convertible Ultrabook Intel i5-5200U up to 2.7GHz 8GB RAM 1TB 14\  Touch HD Display Cam HDMI (Certified Refurbished),$444.99,$699.99,"Manufacturer refurbished with 90 Day Warranty. Ships only within continental USA (please no PO BOX; APO/FPO/DPO and AK/PR/HI/GU/VI/MP).. Ultra-thin design (.9-inch) Convertible 360 Degrees Touchscreen Laptop; Windows 8.1-64bit; 5th generation Intel Core i5-5200U 2.2GHz with Turbo Boost up to 2.7GHz (3MB L3 Cache). 14\  HD (1366 x 768) widescreen CineCrystal Multi-touch Display - 10-point multi-touch control (supporting 10 finger touch); Zero Air Gap technology helps reduce reflections, delivering clear images.. 8GB DDR3 memory (Expandable up to 12GB); 1TB Hard Drive; Intel HD Graphics 5500; Precision Touchpad for improved better screen navigation + gesture recognition technology that distinguishes between intentional finger gestures and accidental contact. Built-in 10/100/1000 Gigabit Ethernet LAN; HD Audio + Built-in Stereo Speakers; Wireless IEEE 802.11a/b/g/n; HD Webcam; HDMI Port with HDCP Support; USB 3.0 (2-USB 2.0 Ports and 1-USB 3.0 Port with Power-off Charging); Card reader; Up to 8-hour battery (varies depending settings and usage); Color: Silver"
392,Apple,Executive Office Solutions Portable Adjustable Aluminum Laptop Desk/Stand/Table Vented w/CPU Fans Mouse Pad Side Mount-Notebook-Macbook-Light Weight Ergonomic TV Bed Lap Tray Stand Up/Sitting-Black,,,"LIGHT WEIGHT, HIGH STRENGTH ALUMINUM TRAY, STURDY LEGS - Makes Carrying Easy and Holds Your Computer Firm and Steady.. FULLY ADJUSTABLE LEGS - Rotate 360 Degrees and Lock in Place at Various Angles. Quickly Collapse The Stand to Make it Portable.. MULTIPLE USES - Table Can Also Be Used For a TV Dinner Tray, Sound Equipment, Projector, Standing Desk, Book Tray, Writing Desk, and Tablet Holder.. SILENT USB POWERED CPU COOLING FANS - Connect USB Cord (Included) to Your Computer to Power The Quiet Cooling Fans.. MONEY BACK GUARANTEE - If You Do Not Like It or Don't Want It For Any Reason, We Will Happily Accept The Return and Give You Your Money Back. No Questions Asked."
393,Other,AmazonBasics 15-Inch to 15.6-Inch Laptop Sleeve,$11.49,,Form-fitting sleeve with quick top-loading access. Precise fit for laptops and ultrabooks with a 15.6 inch display. Slim design allows you to carry the case by itself or in a bag. Internal Dimensions: 15\  x 0.4\  x 11\  (LxWxH). External Dimensions: 15.7\  x 0.8\  x 11.6\  (LxWxH)
394,Apple,Maclocks 13-Inch Lock and Bracket for MacBook Pro Retina Laptop (MBPR13BRW),$68.21,$76.95,MacBook Pro Retina 13-Inch Laptop security bracket. Integrated low-profile security Wedge Lock slot. 6-foot Wedge Cable Lock. Includes two Keys. Tamper Proof Screws and Dedicated Screwdriver. Includes 2 keys. Tamper Proof Screws and Dedicated Screwdriver
395,Lenovo,Lenovo Z50-70 Laptop Computer - 59444501 - Black: Web Special - 4th Generation Intel Core i7-4510U (2.00GHz 1600 MHz 4MB),$608.90,,"i7-4510U Processor (2C, 2.0GHz / 3.1GHz, 4MB, 1600MHz). NVIDIA GeForce 820M 2GB. 15.6\  Full HD (1920x1080). 500GB 5400 rpm. 8GB Memory"
396,Other,"HAVIT? HV-F2056 15.6\ -17\  Laptop Cooler - Three Quiet 110mm Fans at 1,000RPM, Ultra-portable and Light Weight (3 Fans)",$19.99,$65.99,"[Ultra-Portable]: Slim, portable, and light weight allowing you to protect your investment wherever you go. [Ergonomic Comfort]: Doubles as an ergonomic stand with two adjustable height settings. [Optimized for Laptop Carrying]: The high-quality multi-directional metal mesh provides your laptop with a wear-resisting and stable laptop carrying surface.. [Ultra-Quiet Fans]: Three ultra-quiet fans create a noise-free environment for you. [Extra USB Ports]: Extra USB port and power switch design. Built-in dual-USB hub allows for connecting more USB devices."
397,Toshiba,Toshiba Satellite Radius L15W-B1310 11.6-Inch 2 in 1 Touchscreen Laptop,$319.56,$379.99,"Intel Celeron N2840 Processor. 2 GB DDR3 RAM. 500 GB 5400 rpm Hard Drive. 11.6-Inch Screen, Mobile Intel HD graphics. Windows 8.1"
398,Other,3M Gold Privacy Filter for Widescreen Laptop 15.6\  (GPF15.6W),$45.20,$94.60,"Keeps your personal or confidential information safe from prying eyes. User sees clearly while people on either side see a vivid golden screen. Designed to fit widescreen laptops with a diagonally measured 15 9/16\  viewing screen and a 16:9 aspect ratio. Actual filter dimensions are 13 9/16\  wide x 7 5/8\  high (345 mm x 194 mm). Includes your choice of two easy-to-use attachment methods. Offers the highest level of clarity within 3M's line of privacy filters. Reversible, privacy filter can be used with either gold or black side facing the user. span class=\ a-list-item\ >Lightweight, thin, frameless design. span class=\ a-list-item\ >Protects display from dirt, debris and scratches. span class=\ a-list-item\ >Cleans easily with a soft cloth and water. span class=\ a-list-item\ >Great for high traffic areas such as airports, airplanes, commuter trains, coffee shops and other public places. span class=\ a-list-item\ >Limited 1-year warranty"
399,Panasonic,Panasonic Toughbook CF-F9KWJZZ1M 14.1-Inch Laptop (Black),"$1,467.52","$1,529.00","Intel Core i5-560M 2.66 GHz (3 MB Cache). 2 GB DDR3. 320 GB 5400 rpm Hard Drive. 14.1-Inch Screen, Intel HD Graphics. Windows 7 Professional, 6.5-hour battery life"
400,Other,Loctek Laptop Notebook Tray Plate Mount Stand Universal for 7\  -15.6\  DA1,$28.80,,"Toggle clip design, can be connected with monitor mount, as well as stand on the desk.. Has gripper-dots to avoid laptop sliding while in use. Replaceable anti-slip column (fit for the laptop at different thicknesses). Sideslip grip laptop, prevent the laptop from dropping and keep off the cable hole and USB socket of it. The fan can be remove freely, and install based on the heat parts of the laptop arbitrarily. Comply with human ergonomics, the height and degree of the laptop can be adjust at best position"
401,Dell,"Dell Inspiron i3148-6840sLV 11.6-Inch 2 in 1 Convertible Touchscreen Laptop (Intel Core i3 Processor, 4GB RAM)",$436.69,$549.99,"4th Generation Intel Core i3-4010U processor. 4 GB DDR3L RAM. 500 GB 5400 rpm Hard Drive, Built in Wireless b/g/n. 12-inch Screen. Windows 8.1 (64-bit) operating system"
402,Lenovo,Lenovo ThinkPad L440 20AS002FUS 14-Inch Laptop (Black),"$1,240.99","$1,454.00","Intel Core i5-4200M 2.5 GHz (3 MB Cache). 4 GB DDR3L SDRAM. 500 GB 7200 rpm Hard Drive. 14-Inch Screen, Intel HD Graphics 4600. Windows 8 Professional, 7.5-hour battery life"
403,HP,New 6 cell Laptop Battery HP PAVILION G6-1A32 G6-1B79DX G6-1B79US G6-1B81CA G6-1B87CL g6-2235us g6-1b81ca g7-1117cl g7-2288nr G72-b27CL,$14.78,,New 6 cell Laptop Battery HP PAVILION G6-1A32 G6-1B79DX G6-1B79US G6-1B81CA G6-1B87CL g6-2235us g6-1b81ca g7-1117cl g7-2288nr G72-b27CL
404,Samsung,New Laptop Battery for Samsung Np305e5a-a01us A03us A04us A06us A07us 6 Cell Ship From USA Warehouse,$15.49,,[Capacity] 4400mAh. [Voltage(V)] 11.1. [Cells] 6 Cells. [Color] Black. [Type] Li-ion.. Replacement for: SAMSUNG AA-PB9NS6B AA-PL9NC6W AA-PB9NC6B. Fit Machine Models: Samsung R428 R430 R439 R429 R440 R466 R467 R468 R470 R718 R720 R507 X360 R478 R517 R480 R518 R522 R463 R464 R460 Series. Fit Machine Models: Samsung E251 E252 E372 E152 R423 R428 R429 R430 R431 R439 R440 R458 R460 R462 R463 R464 R465 R466 R467 R468 R478 R480 R507 R518 R519 R520 R522 R523 R538 R540 R580 R620 R718 R720 R728 R730 R780 RV408 RV409 RV410 RV415 RV508 RV509 RV511 RF410 RF510 RF511 RF710 RF711 Q230 Q318 Q320 Q322 Q428 Q430 Q520 Q528 P428 P230 P330 P530 P480 P430 P510 Series.
405,Apple,Canvaslife Flower Patten Laptop Sleeve 13 Inch Macbook Air 13 Case Macbook Pro 13 Sleeve and 13.3 Inch Laptop Bag,,,"Canvaslife Canvas patten laptop sleeve is speical and nice. 4.0 mm Neoprene, comfortable soft, high anti-pressure,water-proof. Soft and fluffy interior for bump and shock absorption. Top-loading zipper on the sleeve glides smoothly and allows convenient access to your laptop computer. Dimension: 350mm(L)x235mm(W)x20mm(H) can hold most 13.3 inch laptop,macbook air 13 and macbook pro 13"
406,Micro-Star International,USTEK? Laptop Cooler Cooling Pad Super Mini Portable USB Cooling Fan Air Extracting Vacuum with LED Display Wind Speed Adjustable for Notebook Laptop Color Black,$26.66,,"Higher Cooling Capacity - Temperature of laptop decreases significantly by 18 - 50 F Degrees.. Temperature Monitoring - Equipped with a LCD Display, check on the temperature whenever you want.. More Than Small - Super mini pocket size, portable and taking no space wherever you put it.. Higher Compatibility - Flexible rotatable fixing clip and different sizes and colors of air inlet silicone case, compatible with most laptop air outlet thickness and width, and powered by an Android USB cable.. Wind Speed Adjustable - Multiple levels of wind speed adjusting, the lower the quieter, keeping everything in control."
407,Lenovo,Lenovo Y50 Touch 4K UHD Laptop Computer - 59423621 - Intel Core i7-4700HQ / 256GB Solid State Drive / 16GB RAM / 15.6\  UHD MultiTouch 3840x2160 Display / NVidia GeForce 860M 2GB / Dual Band Wireless AC / Windows 8.1,"$1,196.00","$1,499.00","Display: 15.6\  Ultra HD Touchscreen Display (3840 x 2160), 10-finger multi-touch support. CPU:  Intel i7-4700HQ (Haswell) 2.4GHz with Turbo Boost Technology up to 3.40 GHz. Memory: 16GB DDR3L, 256GB Solid State Drive. Graphics: NVIDIA GeForce GTX 860M with 2GB graphics memory. Windows 8.1, Backlit Keyboard, HD Webcam, WiFi, Bluetooth, JBL Stereo Speakers with Dolby Advanced Audio"
408,HP,2015 Newest HP Premium 15.6-inch Laptop (Latest Intel 5th Processor Core i5-5200U/4GB DDR3L Memory/500GB HDD/Webcam/Bluetooth/USB 3.0/HDMI/Windows 8.1 64-bit free upgrade to Windows 10),$519.99,$799.99,5th Gen Intel? Core i5 CPU featuring a 3MB L3 cache with 2.2GHz processor speed. 4GB DDR3L SDRAM. 15.6-inch backlit display 1366x768. 500GB Serial ATA hard drive (5400 rpm). Windows 8.1 free upgrade to windows 10
409,Toshiba,Toshiba Satellite L55T-B5257W 15.6-Inch Touchscreen Laptop,$693.74,$779.99,"Intel Core i5-4210U Processor (3M Cache, up to 2.7 GHz) with Intel Turbo Boost Technology 2.0. 6 GB DIMM RAM. 750 GB 5400 rpm Hard Drive. 15.6-Inch Screen, Mobile Intel HD graphics. Windows 8.1"
410,Lenovo,Lenovo ThinkPad T540p 20BE003SUS 15.5-Inch Laptop (Black),"$1,685.99","$1,799.00","Intel Intel Core i7 4500U 2.9 GHz (4 MB Cache). 4 GB DDR3L SDRAM. 1 rpm 256 GB Solid-State Drive. 15.5-Inch Screen, NVIDIA GeForce GT 730M / Intel HD Graphics 4600. Windows 8 Professional, 11-hour battery life"
411,Other,"Victoriatourist V6002 Laptop Backpack with Check-Fast Airport Security Friendly Sleeve, Fits Most 16-inch Laptops (Black)",,$159.00,"----- CHECK-FAST ----- Airport Security-Friendly design makes the backpack getting through Airport Security quick and easy by allowing laptop to remain in bag for screening.. ----- ROOMY ----- Integrated laptop compartment holds laptops with screens up to 16-inch. ----- COMFORTABLE ----- Airflow back system multi-panel Airflow design provides extra padding for comfort and Maximum back Support.. ----- EASY TRANSPORT ----- A padded strap allows backpack to slide over the luggage upright handle tube for easy TRANSPORT, and the pocket on strap keep your valuables hidden.. ----- DURABLE ----- V6002 is crafted of rugged 1680D ballistic nylon for lasting durability. Loosely defined, denier (D) refers to the yarn size: the larger the denier, the bigger the yarn."
412,Dell,"Dell Inspiron 13 7000 Series 13-Inch 2-in-1 Convertible Touchscreen Laptop, Intel Core i5-5200U Processor, 8GB DDR3L 500GB HDD, 1920 x 1080 FHD, backlit keyboard (Certified Refurbished)",$597.00,$999.00,"This Certified Refurbished product is manufacturer refurbished, shows limited or no wear, and includes all original accessories plus a 90 day warranty.. 13.3-inch FHD (1920 x 1080) Truelife LED-Backlit Touch Display with Wide Viewing Angle (IPS). 5th Generation Intel Core i5-5200U 2.2 GHz (3M Cache, up to 2.70 GHz). 8GB Single Channel DDR3L 1600MHz (8GBx1), 500GB 5400 rpm SATA Hybrid Hard Drive with 8GB Cache. Windows 8.1 (64Bit) English"
413,Dell,Dell Inspiron i5447-6250sLV 14-Inch Touchscreen Laptop,$629.95,$699.99,"Intel Core i5-4210U Processor, 2 cores, 4 threads. 8GB DDR3. 1 TB Hard Drive. 14.0-Inch Screen, Integrated Graphics. Windows 8.1"
414,Acer,"Acer Aspire 17.3-Inch Laptop Intel Core, 4GB RAM, 500GB HDD, Windows 7 Home Premium 64 bits",$469.95,$547.65,"Intel Pentium B960 Dual Core 2.2 GHz processor. 4 GB DDR3 RAM, 500 GB 5400 rpm Hard Drive, 4 USB ports, HDMI output. DVD+RW 8x Optical drive, Intel HD Graphics, 1600 x 900 display, 17-inch Active Matrix TFT Color LCD LED Screen, CineCrystal Display Screen Technology. Windows 7 Home Premium 64-bit operating system. Colour: Nightfall Grey"
