_id,ltable.id,rtable.id,ltable.authors,ltable.title,ltable.venue,ltable.year,rtable.authors,rtable.title,rtable.venue,rtable.year,gold
84,conf/sigmod/MassariPSC95,673142,"Antonio Massari, Panos K. Chrysanthis, Lorenzo Saladini, Stefano Pavani",QBI: Query By Icons,SIGMOD Conference,1995.0,"Marek Rusinkiewicz, Wolfgang Klas, Thomas Tesch, Jrgen Wsch, Peter Muth",Towards a Cooperative Transaction Model - The Cooperative Activity Model,Very Large Data Bases,1995,0
85,conf/sigmod/MatiasVW98,276344,"Jeffrey Scott Vitter, Yossi Matias, Min Wang",Wavelet-Based Histograms for Selectivity Estimation,SIGMOD Conference,1998.0,"Yossi Matias, Jeffrey Scott Vitter, Min Wang",Wavelet-based histograms for selectivity estimation,International Conference on Management of Data,1998,1
86,conf/sigmod/MelnikRB03,872782,"Philip A. Bernstein, Erhard Rahm, Sergey Melnik",Rondo: A Programming Platform for Generic Model Management,SIGMOD Conference,2003.0,"Sergey Melnik, Erhard Rahm, Philip A. Bernstein",Rondo: a programming platform for generic model management,International Conference on Management of Data,2003,1
87,conf/sigmod/MinPC03,872775,"Myung-Jae Park, Jun-Ki Min, Chin-Wan Chung",XPRESS: A Queriable Compression for XML Data,SIGMOD Conference,2003.0,"Jun-Ki Min, Myung-Jae Park, Chin-Wan Chung",XPRESS: a queriable compression for XML data,International Conference on Management of Data,2003,1
88,conf/sigmod/Mohan94,672835,C. Mohan,A Survey and Critique of Advanced Transaction Models,SIGMOD Conference,1994.0,"Waqar Hasan, Rajeev Motwani",Optimization Algorithms for Exploiting the Parallelism-Communication Tradeoff in Pipelined Parallelism,Very Large Data Bases,1994,0
89,conf/sigmod/Mohan96,280350,C. Mohan,State of the Art in Workflow Management Research and Products,SIGMOD Conference,1996.0,C. Mohan,State of the art in workflow management research and products,International Conference on Management of Data,1996,1
90,conf/sigmod/NgLHM99,304575,"Jiawei Han, Teresa Mah, Laks V. S. Lakshmanan, Raymond T. Ng",Exploratory Mining via Constrained Frequent Set Queries,SIGMOD Conference,1999.0,"Raymond Ng, Laks V. S. Lakshmanan, Jiawei Han, Teresa Mah",Exploratory mining via constrained frequent set queries,International Conference on Management of Data,1999,1
91,conf/sigmod/NguyenACP01,375723,"Benjamin Nguyen, Serge Abiteboul, Gregory Cobena, Mihai Preda",Monitoring XML Data on the Web,SIGMOD Conference,2001.0,"Benjamin Nguyen, Serge Abiteboul, Grgory Cobena, Miha Preda",Monitoring XML data on the Web,International Conference on Management of Data,2001,1
92,conf/sigmod/OhHP00,223895,"Kien A. Hua, Jung-Hwan Oh",Efficient and Cost-effective Techniques for Browsing and Indexing Large Video Databases,SIGMOD Conference,2000.0,"Daniel A. Keim, Hans-Peter Kriegel",VisDB: a system for visualizing large databases,International Conference on Management of Data,1995,0
93,conf/sigmod/OlstonWACELSS98,276377,"Vuk Ercegovac, Allison Woodruff, Michael Stonebraker, Mark Lin, Mybrid Spalding, Alexander Aiken, Chris Olston, Michael Chu",DataSplash,SIGMOD Conference,1998.0,"Chris Olston, Allison Woodruff, Alexander Aiken, Michael Chu, Vuk Ercegovac, Mark Lin, Mybrid Spalding, Michael Stonebraker",DataSplash,International Conference on Management of Data,1998,1
94,conf/sigmod/OrdonezC00,335468,"Paul Cereghini, Carlos Ordonez",SQLEM: Fast Clustering in SQL using the EM Algorithm,SIGMOD Conference,2000.0,"Carlos Ordonez, Paul Cereghini",SQLEM: fast clustering in SQL using the EM algorithm,International Conference on Management of Data,2000,1
95,conf/sigmod/OriaOILY00,381881,"Vincent Oria, Benjamin Bin Yao, Shu Lin, Paul Iglinski, M. Tamer zsu",DISIMA: A Distributed and Interoperable Image Database System,SIGMOD Conference,2000.0,"S. F. Andler, J. Hansson, J. Eriksson, J. Mellin, M. Berndtsson, B. Eftring",DeeDS towards a distributed and active real-time database system,ACM SIGMOD Record,1996,0
96,conf/sigmod/OzdenRSS96,233322,"Abraham Silberschatz, Rajeev Rastogi, Banu zden, Prashant J. Shenoy",Fault-tolerant Architectures for Continuous Media Servers,SIGMOD Conference,1996.0,"Banu zden, Rajeev Rastogi, Prashant Shenoy, Avi Silberschatz",Fault-tolerant architectures for continuous media servers,International Conference on Management of Data,1996,1
97,conf/sigmod/PadmanabhanBMCH03,872835,"Bishwaranjan Bhattacharjee, Sriram Padmanabhan, Matthew Huras, Leslie Cranston, Timothy Malkemus",Multi-Dimensional Clustering: A New Data Layout Scheme DB2,SIGMOD Conference,2003.0,"Sriram Padmanabhan, Bishwaranjan Bhattacharjee, Tim Malkemus, Leslie Cranston, Matthew Huras",Multi-dimensional clustering: a new data layout scheme in DB2,International Conference on Management of Data,2003,1
98,conf/sigmod/PalmerF00,671345,"Christopher R. Palmer, Christos Faloutsos",Density Biased Sampling: An Improved Method for Data Mining and Clustering,SIGMOD Conference,2000.0,"Erik Riedel, Garth A. Gibson, Christos Faloutsos",Active Storage for Large-Scale Data Mining and Multimedia,Very Large Data Bases,1998,0
99,conf/sigmod/PapadopoulosM98,276325,"Apostolos Papadopoulos, Yannis Manolopoulos",Similarity Query Processing Using Disk Arrays,SIGMOD Conference,1998.0,"Apostolos N. Papadopoulos, Yannis Manolopoulos",Similarity query processing using disk arrays,International Conference on Management of Data,1998,1
100,conf/sigmod/PaparizosACJLNPSWWY03,764201,"Laks V. S. Lakshmanan, Stelios Paparizos, Nuwee Wiwatwattana, Cong Yu, Jignesh M. Patel, H. V. Jagadish, Andrew Nierman, Divesh Srivastava, Adriane Chapman, Yuqing Wu, Shurug Al-Khalifa",TIMBER: A Native System for Querying XML,SIGMOD Conference,2003.0,"H. V. Jagadish, S. Al-Khalifa, A. Chapman, L. V. S. Lakshmanan, A. Nierman, S. Paparizos, J. M. Patel, D. Srivastava, N. Wiwatwattana, Y. Wu, C. Yu",TIMBER: A native XML database,The VLDB Journal  The International Journal on Very Large Data Bases,2002,0
101,conf/sigmod/PatelYKTNBHRLEKGDN97,672979,"Curt Ellmann, Roger Lueder, Jignesh M. Patel, Jie-Bing Yu, Nancy E. Hall, Josef Burger, David J. DeWitt, Navin Kabra, Karthikeyan Ramasamy, Shelly Guo, Jeffrey F. Naughton, Biswadeep Nag, Jim Kupsch, Kristin Tufte","Building a Scaleable Geo-Spatial DBMS: Technology, Implementation, and Evaluation",SIGMOD Conference,1997.0,"Janet L. Wiener, Jeffrey F. Naughton",Bulk Loading into an OODB: A Performance Study,Very Large Data Bases,1994,0
102,conf/sigmod/RamaswamyRS00,276312,"Kyuseok Shim, Sridhar Ramaswamy, Rajeev Rastogi",Efficient Algorithms for Mining Outliers from Large Data Sets,SIGMOD Conference,2000.0,"Sudipto Guha, Rajeev Rastogi, Kyuseok Shim",CURE: an efficient clustering algorithm for large databases,International Conference on Management of Data,1998,0
103,conf/sigmod/RaoR00,671362,Kenneth A. Ross,Making B+-Trees Cache Conscious in Main Memory,SIGMOD Conference,2000.0,"Jun Rao, Kenneth A. Ross",Cache Conscious Indexing for Decision-Support in Main Memory,Very Large Data Bases,1999,0
104,conf/sigmod/RaoR98,276309,"Jun Rao, Kenneth A. Ross",Reusing Invariants: A New Strategy for Correlated Queries,SIGMOD Conference,1998.0,"Jun Rao, Kenneth A. Ross",Reusing invariants: a new strategy for correlated queries,International Conference on Management of Data,1998,1
105,conf/sigmod/RaoZML02,564757,"Chun Zhang, Guy M. Lohman, Jun Rao, Nimrod Megiddo",Automating physical database design in a parallel database,,2002.0,"Jun Rao, Chun Zhang, Nimrod Megiddo, Guy Lohman",Automating physical database design in a parallel database,International Conference on Management of Data,2002,1
106,conf/sigmod/ReinwaldP98,276356,"Berthold Reinwald, Hamid Pirahesh",SQL Open Heterogeneous Data Access,SIGMOD Conference,1998.0,"Berthold Reinwald, Hamid Pirahesh",SQL open heterogeneous data access,International Conference on Management of Data,1998,1
107,conf/sigmod/RinfretOO01,672027,"Elizabeth J. O'Neil, Denis Rinfret, Patrick E. O'Neil",Bit-Sliced Index Arithmetic,SIGMOD Conference,2001.0,"Christian S. Jensen, David B. Lomet",Transaction Timestamping in (Temporal) Databases,Very Large Data Bases,2001,0
108,conf/sigmod/Rodriguez-Martinez00,381881,"Manuel Rodriguez-Martinez, Joseph JJ, John M. McGann, Nick Roussopoulos, Zhexuan Song, Stephen Kelley, Vadim Katz",MOCHA: A Database Middleware System Featuring Automatic Deployment of Application-Specific Functionality,SIGMOD Conference,2000.0,"S. F. Andler, J. Hansson, J. Eriksson, J. Mellin, M. Berndtsson, B. Eftring",DeeDS towards a distributed and active real-time database system,ACM SIGMOD Record,1996,0
109,conf/sigmod/RoussopoulosKR97,344825,"Nick Roussopoulos, Mema Roussopoulos, Yannis Kotidis",Cubetree: Organization of and Bulk Updates on the Data Cube,SIGMOD Conference,1997.0,"Stella Gatziu, Manfred Jeusfeld, Martin Staudt, Yannis Vassiliou",Design and management of data warehouses report on the DMDW'99 workshop,ACM SIGMOD Record,1999,0
110,conf/sigmod/RundensteinerCLCZNJLW99,672966,"Stacia De Lima, Li Chen, Ming Li, S. Weiner, Chandrakant Natarajan, Elke A. Rundensteiner, Xin Zhang, Kajal T. Claypool, Jing Jin",SERF: ODMG-Based Generic Re-structuring Facility,SIGMOD Conference,1999.0,"Sarabjot S. Anand, David A. Bell, John G. Hughes",An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System,Very Large Data Bases,1994,0
111,conf/sigmod/RundensteinerKZWLLN99,304574,"Andreas Koeller, Amy J. Lee, Xin Zhang, Anisoara Nica, Elke A. Rundensteiner, Amber van Wyk, Yong Li",Evolvable View Environment (EVE): Non-Equivalent View Maintenance under Schema Changes,SIGMOD Conference,1999.0,"E. A. Rundensteiner, A. Koeller, X. Zhang, A. J. Lee, A. Nica, A. Van Wyk, Y. Lee",Evolvable view environment (EVE): non-equivalent view maintenance under schema changes,International Conference on Management of Data,1999,1
112,conf/sigmod/Sahuguet01,375757,Arnaud Sahuguet,Kweelt: More than just yet another framework to query XML!,SIGMOD Conference,2001.0,Arnaud Sahuguet,Kweelt: more than just yet another framework to query XML!,International Conference on Management of Data,2001,1
113,conf/sigmod/SaltenisJLL00,304579,"Mario A. Lopez, Simonas Saltenis, Christian S. Jensen, Scott T. Leutenegger",Indexing the Positions of Continuously Moving Objects,SIGMOD Conference,2000.0,"E. A. Rundensteiner, K. Claypool, M. Li, L. Chen, Z. Zhang, C. Natarajan, J. Jin, S. De Lima, S. Weiner",SERF: ODMG-based generic re-structuring facility,International Conference on Management of Data,1999,0
114,conf/sigmod/SchleimerWA03,671505,"Alexander Aiken, Daniel Shawcross Wilkerson, Saul Schleimer",Winnowing: Local Algorithms for Document Fingerprinting,SIGMOD Conference,2003.0,"Alexander Hinneburg, Daniel A. Keim",Optimal Grid-Clustering: Towards Breaking the Curse of Dimensionality in High-Dimensional Clustering,Very Large Data Bases,1999,0
115,conf/sigmod/SchleimerWA03,872770,"Alexander Aiken, Daniel Shawcross Wilkerson, Saul Schleimer",Winnowing: Local Algorithms for Document Fingerprinting,SIGMOD Conference,2003.0,"Saul Schleimer, Daniel S. Wilkerson, Alex Aiken",Winnowing: local algorithms for document fingerprinting,International Conference on Management of Data,2003,1
116,conf/sigmod/SchusterW01,375728,"Ran Wolff, Assaf Schuster",Communication Efficient Distributed Mining of Association Rules,SIGMOD Conference,2001.0,"Assaf Schuster, Ran Wolff",Communication-efficient distributed mining of association rules,International Conference on Management of Data,2001,1
117,conf/sigmod/SengarH03,872867,"Jayant R. Haritsa, Vibhuti S. Sengar",PLASTIC: Reducing Query Optimization Overheads through Plan Recycling,SIGMOD Conference,2003.0,"Vibhuti S. Sengar, Jayant R. Haritsa",PLASTIC: reducing query optimization overheads through plan recycling,International Conference on Management of Data,2003,1
118,conf/sigmod/Seshadri99,304226,Praveen Seshadri,"``Honey, I Shrunk the DBMS'': Footprint, Mobility, and Beyond (Panel)",SIGMOD Conference,1999.0,Praveen Seshadri,"Honey, I shrunk the database: footprint, mobility, and beyond",International Conference on Management of Data,1999,1
119,conf/sigmod/Shasha97,253288,Dennis Shasha,"Lessons from Wall Street: Case Studies in Configuration, Tuning, and Distribution (Tutorial)",SIGMOD Conference,1997.0,"Yihong Zhao, Prasad M. Deshpande, Jeffrey F. Naughton",An array-based algorithm for simultaneous multidimensional aggregates,International Conference on Management of Data,1997,0
120,conf/sigmod/ShivakumarG97,253349,"Hector Garcia-Molina, Narayanan Shivakumar",Wave-Indices: Indexing Evolving Databases,SIGMOD Conference,1997.0,"Narayanan Shivakumar, Hctor Garca-Molina",Wave-indices: indexing evolving databases,International Conference on Management of Data,1997,1
121,conf/sigmod/SimmenSM96,233320,"Eugene J. Shekita, David E. Simmen, Timothy Malkemus",Fundamental Techniques for Order Optimization,SIGMOD Conference,1996.0,"David Simmen, Eugene Shekita, Timothy Malkemus",Fundamental techniques for order optimization,International Conference on Management of Data,1996,1
122,conf/sigmod/SionAP03,872845,"Sunil Prabhakar, Radu Sion, Mikhail J. Atallah",Rights Protection for Relational Data,SIGMOD Conference,2003.0,"Beng Chin Ooi, Kian-Lee Tan, Aoying Zhou, Chin Hong Goh, Yingguang Li, Chu Yee Liau, Bo Ling, Wee Siong Ng, Yanfeng Shu, Xiaoyu Wang, Ming Zhang",PeerDB: peering into personal databases,International Conference on Management of Data,2003,0
123,conf/sigmod/Spiro98,276359,Peter M. Spiro,"Ubiquitous, Self-tuning, Scalable Servers",SIGMOD Conference,1998.0,Peter Spiro,"Ubiquitous, self-tuning, scalable servers",International Conference on Management of Data,1998,1
124,conf/sigmod/StoltePAG03,671020,"Etzard Stolte, Thomas R. Gross, Gustavo Alonso, Christoph von Praun",Scientific Data Repositories: Designing for a Moving Target,SIGMOD Conference,2003.0,"Gustavo Alonso, Claus Hagen, Hans-Jrg Schek, Markus Tresch",Distributed Processing over Stand-alone Systems and Applications,Very Large Data Bases,1997,0
125,conf/sigmod/Stonebraker03,336577,Michael Stonebraker,Visionary: A Next Generation Visualization System for Databases,SIGMOD Conference,2003.0,"Michael Gillmann, Jeanine Weissenfels, German Shegalov, Wolfgang Wonner, Gerhard Weikum",A goal-driven auto-configuration tool for the distributed workflow management system mentorlite,International Conference on Management of Data,2000,0
126,conf/sigmod/SubramanianV98,375705,"Shivakumar Venkataraman, Subbu N. Subramanian",Cost-Based Optimization of Decision Support Queries Using Transient Views,SIGMOD Conference,1998.0,"Foto N. Afrati, Chen Li, Jeffrey D. Ullman",Generating efficient plans for queries using views,International Conference on Management of Data,2001,0
127,conf/sigmod/SwamiS94,191877,"Arun N. Swami, K. Bernhard Schiefer",Estimating Page Fetches for Index Scans with Finite LRU Buffers,SIGMOD Conference,1994.0,"Arun Swami, K. Bernhard Schiefer",Estimating page fetches for index scans with finite LRU buffers,International Conference on Management of Data,1994,1
128,conf/sigmod/Team95,223843,Fox Development Team,"Object-Oriented, Rapid Application Development in a PC Database Environment",SIGMOD Conference,1995.0,"Claudio Bettini, X. Sean Wang, Elisa Bertino, Sushil Jajodia",Semantic assumptions and query evaluation in temporal databases,International Conference on Management of Data,1995,0
129,conf/sigmod/ThomasDM95,223896,"Stefan Deloch, Joachim Thomas, Nelson Mendona Mattos",Design and Implementation of Advanced Knowledge Processing in the KDMS KRISYS (Demonstration Description),SIGMOD Conference,1995.0,"Joachim Hammer, Hctor Garca-Molina, Kelly Ireland, Yannis Papakonstantinou, Jeffrey Ullman, Jennifer Widom","Information translation, mediation, and mosaic-based browsing in the TSIMMIS system",International Conference on Management of Data,1995,0
130,conf/sigmod/TomasicGS94,762474,"Hector Garcia-Molina, Anthony Tomasic, Kurt A. Shoens",Incremental Updates of Inverted Lists for Text Document Retrieval,SIGMOD Conference,1994.0,"Sergey Melnik, Hector Garcia-Molina",Adaptive algorithms for set containment joins,ACM Transactions on Database Systems (TODS),2003,0
131,conf/sigmod/WhiteCF98,276355,"Seth J. White, R. G. G. Cattell, Sheldon J. Finkelstein",Enterprise Java Platform Data Access,SIGMOD Conference,1998.0,"Seth White, Rick Cattell, Shel Finkelstein",Enterprise Java platform data access,International Conference on Management of Data,1998,1
132,conf/sigmod/WhiteD95,223814,"Seth J. White, David J. DeWitt",Implementing Crash Recovery in QuickStore: A Performance Study,SIGMOD Conference,1995.0,"Seth J. White, David J. DeWitt",Implementing crash recovery in QuickStore: a performance study,International Conference on Management of Data,1995,1
133,conf/sigmod/WilschutFA95,276329,"Jan Flokstra, Annita N. Wilschut, Peter M. G. Apers",Parallel Evaluation of Multi-Join Queries,SIGMOD Conference,1995.0,"Yihong Zhao, Prasad M. Deshpande, Jeffrey F. Naughton, Amit Shukla",Simultaneous optimization and evaluation of multiple dimensional queries,International Conference on Management of Data,1998,0
134,conf/sigmod/ZaharioudakisC97,375737,"Michael J. Carey, Markos Zaharioudakis",Highly Concurrent Cache Consistency for Indices in Client-Server Database Systems,SIGMOD Conference,1997.0,"Julio C. Navas, Michael Wynblatt",The network is the database: data management for highly distributed systems,International Conference on Management of Data,2001,0
135,conf/sigmod/ZaharioudakisC97,765547,"Michael J. Carey, Markos Zaharioudakis",Highly Concurrent Cache Consistency for Indices in Client-Server Database Systems,SIGMOD Conference,1997.0,"Manish Mehta, David J. DeWitt",Data placement in shared-nothing parallel database systems,The VLDB Journal  The International Journal on Very Large Data Bases,1997,0
136,conf/sigmod/ZhouLP99,375762,"Ling Liu, Calton Pu, Tong Zhou",TAM: A System for Dynamic Transactional Activity Management,SIGMOD Conference,1999.0,"David Buttler, Ling Liu, Calton Pu, Henrique Paques, Wei Han, Wei Tang",OminiSearch: a method for searching dynamic content on the Web,International Conference on Management of Data,2001,0
137,conf/sigmod/ZhuS03,872780,"Dennis Shasha, Yunyue Zhu",Warping Indexes with Envelope Transforms for Query by Humming,SIGMOD Conference,2003.0,"Yunyue Zhu, Dennis Shasha",Warping indexes with envelope transforms for query by humming,International Conference on Management of Data,2003,1
138,conf/sigmod/ZhuSZ03,872780,"Yunyue Zhu, Xiaojian Zhao, Dennis Shasha",Query by Humming - in Action with its Technology Revealed,SIGMOD Conference,2003.0,"Yunyue Zhu, Dennis Shasha",Warping indexes with envelope transforms for query by humming,International Conference on Management of Data,2003,0
139,conf/sigmod/ZhugeGHW95,223848,"Jennifer Widom, Hector Garcia-Molina, Yue Zhuge, Joachim Hammer",View Maintenance in a Warehousing Environment,SIGMOD Conference,1995.0,"Yue Zhuge, Hctor Garca-Molina, Joachim Hammer, Jennifer Widom",View maintenance in a warehousing environment,International Conference on Management of Data,1995,1
140,conf/vldb/AbiteboulAAACHHMMMMSTV99,671497,"Bruno Tessier, Amlie Marian, Brendan Hills, Sophie Cluet, Jean-Claude Mamou, Bernd Amann, Anne-Marie Vercoustre, Frdric Hubert, Vincent Aguilera, Laurent Mignet, Serge Abiteboul, Sbastien Ailleret, Tova Milo, Cassio Souza dos Santos",XML Repository and Active Views Demonstration,VLDB,1999.0,"Serge Abiteboul, Vincent Aguilera, Sbastien Ailleret, Bernd Amann, Sophie Cluet, Brendan Hills, Frdric Hubert, Jean-Claude Mamou, Amlie Marian, Laurent Mignet, Tova Milo, Cassio Souza dos Santos, Bruno Tessier, Anne-Marie Vercoustre",XML Repository and Active Views Demonstration,Very Large Data Bases,1999,1
141,conf/vldb/AbiteboulACEMM99,262770,"Laurent Mignet, Serge Abiteboul, Tova Milo, Adi Eyal, Bernd Amann, Sophie Cluet",Active Views for Electronic Commerce,VLDB,1999.0,"Jason McHugh, Serge Abiteboul, Roy Goldman, Dallas Quass, Jennifer Widom",Lore: a database management system for semistructured data,ACM SIGMOD Record,1997,0
142,conf/vldb/AbrolLMMMRTWZ01,767151,"Michel Tourn, Man Abrol, John Wang, Grace Zhang, Jianchang Mao, Uma Mahadevan, Rajat Mukherjee, Prabhakar Raghavan, Neil Latarche",Navigating large-scale semi-structured data in business portals,VLDB,2001.0,Alon Y. Halevy,Answering queries using views: A survey,The VLDB Journal  The International Journal on Very Large Data Bases,2001,0
143,conf/vldb/AgarwalADGNRS96,233324,"Sunita Sarawagi, Ashish Gupta, Rakesh Agrawal, Prasad Deshpande, Jeffrey F. Naughton, Sameet Agarwal, Raghu Ramakrishnan",On the Computation of Multidimensional Aggregates,VLDB,1996.0,"Tian Zhang, Raghu Ramakrishnan, Miron Livny",BIRCH: an efficient data clustering method for very large databases,International Conference on Management of Data,1996,0
144,conf/vldb/AggarwalHWY03,253364,"Philip S. Yu, Charu C. Aggarwal, Jiawei Han, Jianyong Wang",A Framework for Clustering Evolving Data Streams,VLDB,2003.0,"Sushil Jajodia, Pierangela Samarati, V. S. Subrahmanian, Eliza Bertino",A unified framework for enforcing multiple access control policies,International Conference on Management of Data,1997,0
145,conf/vldb/AggarwalY02,564774,"Philip S. Yu, Charu C. Aggarwal",An Automated System for Web Portal Personalization,VLDB,2002.0,"Tengjiao Wang, Shiwei Tang, Dongqing Yang, Jun Gao, Yuqing Wu, Jian Pei","COMMIX: towards effective web information extraction, integration and query answering",International Conference on Management of Data,2002,0
146,conf/vldb/AgrawalLSS95,671701,"King-Ip Lin, Harpreet S. Sawhney, Rakesh Agrawal, Kyuseok Shim","Fast Similarity Search in the Presence of Noise, Scaling, and Translation in Time-Series Databases",VLDB,1995.0,"Sanjay Agrawal, Surajit Chaudhuri, Vivek R. Narasayya",Automated Selection of Materialized Views and Indexes in SQL Databases,Very Large Data Bases,2000,0
147,conf/vldb/AlexandrovABBBCDFHJKKKLLMMMPNPPRRSSW02,673642,"L. Pedro, V. Kotov, I. Papadopoulos, L. Mapelli, A. Ribeiro, A. Amorim, R. Hart, M. Nassiakou, H. Wolters, N. Parrington, D. Liko, Yu. Ryabov, R. Jones, I. Alexandrov, L. Lucio, I. Soloviev, M. Caprini, E. Badescu, S. Kolos, M. Dobson, L. Moneta, D. Schweiger, M. Barczyk, A. Kazarov, D. Burckhart-Chromek, M. Mineev, J. Flammer",OBK - An Online High Energy Physics' Meta-Data Repository,VLDB,2002.0,"David M. Malon, Edward N. May",Critical Database Technologies for High Energy Physics,Very Large Data Bases,1997,0
148,conf/vldb/AmirKN01,672215,"Reuven Kashi, Nathan S. Netanyahu, Amihood Amir",Analyzing Quantitative Databases: Image is Everything,VLDB,2001.0,"Amihood Amir, Reuven Kashi, Nathan S. Netanyahu",Analyzing Quantitative Databases: Image is Everything,Very Large Data Bases,2001,1
149,conf/vldb/AmmannJR95,673164,"Paul Ammann, Indrakshi Ray, Sushil Jajodia",Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions,VLDB,1995.0,"Paul Ammann, Sushil Jajodia, Indrakshi Ray",Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions,Very Large Data Bases,1995,1
150,conf/vldb/AnSVKIG01,672374,"Anand Sivasubramaniam, Sudhanva Gurumurthi, Narayanan Vijaykrishnan, Ning An, Mary Jane Irwin, Mahmut T. Kandemir",Analyzing energy behavior of spatial access methods for memory-resident data,VLDB,2001.0,"Ning An, Anand Sivasubramaniam, Narayanan Vijaykrishnan, Mahmut T. Kandemir, Mary Jane Irwin, Sudhanva Gurumurthi",Analyzing energy behavior of spatial access methods for memory-resident data,Very Large Data Bases,2001,1
151,conf/vldb/AnciauxBP03,223791,"Luc Bouganim, Nicolas Anciaux, Philippe Pucheral",Memory Requirements for Query Execution in Highly Constrained Devices,VLDB,2003.0,"Georges Gardarin, Fernando Machuca, Philippe Pucheral",OFL: a functional execution model for object query languages,International Conference on Management of Data,1995,0
152,conf/vldb/AnkerstBKS98,671198,"Hans-Peter Kriegel, Bernhard Braunmller, Thomas Seidl, Mihael Ankerst",Improving Adaptable Similarity Query Processing by Using Approximations,VLDB,1998.0,"Mihael Ankerst, Bernhard Braunmller, Hans-Peter Kriegel, Thomas Seidl",Improving Adaptable Similarity Query Processing by Using Approximations,Very Large Data Bases,1998,1
153,conf/vldb/Banerjee00,671683,Sandeepan Banerjee,A Database Platform for Bioinformatics,VLDB,2000.0,Sandeepan Banerjee,A Database Platform for Bioinformatics,Very Large Data Bases,2000,1
154,conf/vldb/BaumgartnerFG01a,672189,"Sergio Flesca, Robert Baumgartner, Georg Gottlob",Supervised Wrapper Generation with Lixto,VLDB,2001.0,"Robert Baumgartner, Sergio Flesca, Georg Gottlob",Supervised Wrapper Generation with Lixto,Very Large Data Bases,2001,1
155,conf/vldb/Bayer95,673133,Rudolf Bayer,Document Management as a Database Problem,VLDB,,Rudolf Bayer,Document Management as a Database Problem,Very Large Data Bases,1995,1
156,conf/vldb/BliujuteJSS98,767093,"Simonas Saltenis, Christian S. Jensen, Giedrius Slivinskas, Rasa Bliujute",R-Tree Based Indexing of Now-Relative Bitemporal Data,VLDB,1998.0,"Simonas altenis, Christian S. Jensen",Indexing of now-relative spatio-bitemporal data,The VLDB Journal  The International Journal on Very Large Data Bases,2002,0
157,conf/vldb/BlokWZPAKJ01,767153,"Peter M. G. Apers, Milan Petkovic, Roelof van Zwol, Menzo Windhouwer, Henk Ernst Blok, Martin L. Kersten, Willem Jonker",Flexible and scalable digital library search,VLDB,2001.0,"Paul Grefen, Jochem Vonk, Peter Apers",Global transaction support for workflow management systems: from formal specification to practical implementation,The VLDB Journal  The International Journal on Very Large Data Bases,2001,0
158,conf/vldb/BohlenSS96,673474,"Michael D. Soo, Richard T. Snodgrass, Michael H. Bhlen",Coalescing in Temporal Databases,VLDB,1996.0,"Michael H. Bhlen, Richard Thomas Snodgrass, Michael D. Soo",Coalescing in Temporal Databases,Very Large Data Bases,1996,1
159,conf/vldb/BrightR02,248611,"Louiqa Raschid, Laura Bright",Using Latency-Recency Profiles for Data Delivery on the Web,VLDB,2002.0,"Peter Buneman, Louiqa Raschid, Jeffrey Ullman","Mediator languages-a proposal for a standard: report of an I3/POB working group held at the University of Maryland, April 12 and 13, 1996",ACM SIGMOD Record,1997,0
160,conf/vldb/BrownCC94,672985,"W. Bruce Croft, James P. Callan, Eric W. Brown",Fast Incremental Indexing for Full-Text Information Retrieval,VLDB,1994.0,"Eric W. Brown, James P. Callan, W. Bruce Croft",Fast Incremental Indexing for Full-Text Information Retrieval,Very Large Data Bases,1994,1
161,conf/vldb/BunemanDHOW95,673160,"Susan B. Davidson, Limsoon Wong, Kyle Hart, Peter Buneman, G. Christian Overton",A Data Transformation System for Biological Data Sources,VLDB,1995.0,"Peter Buneman, Susan B. Davidson, Kyle Hart, G. Christian Overton, Limsoon Wong",A Data Transformation System for Biological Data Sources,Very Large Data Bases,1995,1
162,conf/vldb/CareyD96,673465,"David J. DeWitt, Michael J. Carey",Of Objects and Databases: A Decade of Turmoil,VLDB,1996.0,"Michael J. Carey, David J. DeWitt",Of Objects and Databases: A Decade of Turmoil,Very Large Data Bases,1996,1
163,conf/vldb/ChaudhuriW00,671696,"Surajit Chaudhuri, Gerhard Weikum",Rethinking Database System Architecture: Towards a Self-Tuning RISC-Style Database System,VLDB,2000.0,"Surajit Chaudhuri, Gerhard Weikum",Rethinking Database System Architecture: Towards a Self-Tuning RISC-Style Database System,Very Large Data Bases,2000,1
164,conf/vldb/CherniackFZ01,672180,"Mitch Cherniack, Stanley B. Zdonik, Michael J. Franklin",Data Management for Pervasive Computing,,2001.0,"Mitch Cherniack, Michael J. Franklin, Stanley B. Zdonik",Data Management for Pervasive Computing,Very Large Data Bases,2001,1
165,conf/vldb/ChristopheBPV00,758380,"Luc Bouganim, Patrick Valduriez, Philippe Pucheral, Christophe Bobineau",PicoDMBS: Scaling Down Database Techniques for the Smartcard,VLDB,2000.0,"Christophe Bobineau, Luc Bouganim, Philippe Pucheral, Patrick Valduriez",PicoDMBS: Scaling Down Database Techniques for the Smartcard,Very Large Data Bases,2000,1
