id,movie_name,year,directors,actors,critic_rating,genre,pg_rating,duration
629,Area 51,2015,Oren Peli,"Reid Warner,Ben Rovner,Darrin Bragg",1.5,"Horror, Science Fiction, Thriller",Rated R,86 minutes
630,Pitch Perfect 2,2015,Elizabeth Banks,"Anna Kendrick,Rebel Wilson,Brittany Snow,Hailee Steinfeld,Hana Mae Lee,Shelley Regner",2.5,"Comedy, Music",Rated PG-13,115 minutes
631,I'll See You in My Dreams,2015,Brett Haley,"Blythe Danner,June Squibb,Rhea Perlman,Mary Kay Place,Martin Starr,Sam Elliott,Malin Akerman",3.5,"Comedy, Drama",Rated PG-13,92 minutes
632,Paul Blart: Mall Cop 2,2015,Andy Fickman,"Kevin James,Raini Rodriguez,Eduardo Verástegui,Daniella Alonso,Neal McDonough,David Henrie,D. B. Woodside,Nicholas Turturro",0,Comedy,Rated PG,94 minutes
633,The Mind of Mark DeFriest,2015,Gabriel London,,3,"Animation, Documentary",Rated NR,92 minutes
634,The Second Best Exotic Marigold Hotel,2015,John Madden,"Dev Patel,Richard Gere,Maggie Smith,Bill Nighy,Judi Dench",1.5,"Comedy, Drama",Rated PG,122 minutes
635,October Gale,2015,Ruba Nadda,"Patricia Clarkson,Scott Speedman,Tim Roth,Callum Keith Rennie",2,"Drama, Romance, Thriller",Rated NR,91 minutes
636,Unfinished Business,2015,Ken Scott,"Dave Franco,Vince Vaughn,James Marsden,June Diane Raphael,Sienna Miller,Nick Frost,Tom Wilkinson",1.5,Comedy,Rated R,91 minutes
637,Buzzard,2015,Joel Potrykus,"Joshua Burge,Joel Potrykus,Teri Ann Nelson,Alan Longstreet,Rico Bruce Wade,Katie Call",3,"Comedy, Drama, Horror",Rated NR,97 minutes
638,Chappie,2015,Neill Blomkamp,"Sharlto Copley,Dev Patel,Brandon Auret,Eugene Khumbanyiwa,Anri du Toit,Watkin Tudor Jones,Sigourney Weaver,Hugh Jackman",1,"Action, Comedy, Science Fiction, Thriller",Rated R,120 minutes
639,Treading Water,2015,Analeine Cal y Mayor,"Douglas Smith,Zoë Kravitz,Ariadna Gil,Don McKellar,Kim Ly,Gonzalo Vega",2.5,"Comedy, Drama",,92 minutes
640,3 Hearts,2015,Benoît Jacquot,"Charlotte Gainsbourg,Benoit Poelvoorde,Chiara Mastroianni,Catherine Deneuve",2,"Drama, Romance",Rated PG-13,106 minutes
641,An Honest Liar,2015,"Tyler Measom,Justin Weinstein","James Randi,Adam Savage,Bill Nye,Uri Geller,Penn Jillette,Alice Cooper",3.5,"Comedy, Documentary, History",Rated NR,90 minutes
642,Accidental Love,2015,"David O. Russell,Stephen Greene","Jake Gyllenhaal,Jessica Biel,James Marsden,Catherine Keener,Paul Reubens,Kirstie Alley,James Brolin,Tracy Morgan",1,"Comedy, Romance",Rated PG-13,100 minutes
643,Zombeavers,2015,Jordan Rubin,"Rachel Melvin,Cortney Palm,Lexi Atkins,Hutch Dano,Peter Gilroy,Rex Linn",1,"Action, Comedy, Horror",Rated R,85 minutes
644,La Sapienza,2015,Eugène Green,"Fabrizio Rongione,Christelle Prot,Ludovico Succio,Arianna Nastro,Hervé Compagne,Sabine Ponte",4,Drama,Rated NR,100 minutes
645,The Gunman,2015,Pierre Morel,"Sean Penn,Javier Bardem,Ray Winstone,Jasmine Trinca,Peter Franzén",2,"Action, Crime, Drama, Thriller",Rated R,115 minutes
646,Spring,2015,"Aaron Moorhead,Justin Benson","Lou Taylor Pucci,Nadia Hilker,Nick Nevern,Augie Duke,Jeremy Gardner,Vinny Curran",2.5,"Horror, Romance, Science Fiction",Rated NR,109 minutes
647,Out of the Dark,2015,Lluís Quílez,"Julia Stiles,Scott Speedman,Stephen Rea,Alejandro Furth,Pixie Davies,Guillermo Morales Vitola",1,"Horror, Thriller",Rated R,92 minutes
648,My Life Directed by Nicolas Winding Refn,2015,Liv Corfixen,,2,Documentary,Rated NR,58 minutes
649,Bluebird,2015,Lance Edmands,"Amy Morton,John Slattery,Adam Driver,Margo Martindale,Louisa Krause,Emily Meade",3,Drama,,90 minutes
650,Everly,2015,Joe Lynch,"Salma Hayek,Jennifer Blanc,Hiroyuki Watanabe,Togo Igawa,Caroline Chikezie,Gabriella Wright,Akie Kotabe",2,"Action, Thriller",Rated R,92 minutes
651,Danny Collins,2015,Dan Fogelman,"Jennifer Garner,Al Pacino,Josh Peck,Annette Bening,Bobby Cannavale,Christopher Plummer,Melissa Benoist",3.5,"Comedy, Drama",Rated R,106 minutes
652,'71,2015,Yann Demange,"Jack O'Connell,Paul Anderson,Sean Harris,Sam Reid,Sam Hazeldine,Charlie Murphy,David Wilmot,Killian Scott",3,"Action, Drama, Thriller, War",Rated R,99 minutes
653,The Lazarus Effect,2015,David Gelb,"Olivia Wilde,Mark Duplass,Donald Glover,Evan Peters,Sarah Bolger,Bruno Gunn",1,Thriller,Rated PG-13,83 minutes
654,The Salvation,2015,Kristian Levring,"Mads Mikkelsen,Eva Green,Jeffrey Dean Morgan,Eric Cantona,Mikael Persbrandt,Douglas Henshall,Michael Raymond-James,Jonathan Pryce",3,"Drama, Western",,92 minutes
655,The Hunting Ground,2015,Kirby Dick,,3.5,Documentary,,90 minutes
656,A Year in Champagne,2015,David Kennard,,2.5,Documentary,Rated NR,82 minutes
657,Two Men in Town,2015,Rachid Bouchareb,"Forest Whitaker,Harvey Keitel,Brenda Blethyn,Luis Guzmán,Dolores Heredia,Ellen Burstyn",2.5,"Crime, Drama",Rated R,120 minutes
658,Maps to the Stars,2015,David Cronenberg,"Julianne Moore,Mia Wasikowska,Evan Bird,John Cusack,Robert Pattinson,Sarah Gadon,Olivia Williams",3,Drama,Rated R,111 minutes
659,These Final Hours,2015,Zak Hilditch,"Nathan Phillips,Angourie Rice,Daniel Henshall,Jessica De Gouw,David Field,Sarah Snook,Kathryn Beck,Lynette Curran",2,"Drama, Thriller",Rated NR,87 minutes
660,Merchants of Doubt,2015,Robert Kenner,,3,Documentary,Rated PG-13,96 minutes
661,Faults,2015,Riley Stearns,"Mary Elizabeth Winstead,Jon Gries,Lance Reddick,Leland Orser",3,"Drama, Thriller",Rated NR,89 minutes
662,That Guy Dick Miller,2015,Elijah Drenner,"Dick Miller,Lainie Miller,Allan Arkush,Belinda Balaski,Roger Corman,Joe Dante,Fred Dekker,Corey Feldman,Robert Forster,Leonard Maltin",3.5,Documentary,Rated NR,91 minutes
663,Kidnapping Mr. Heineken,2015,Daniel Alfredson,"Anthony Hopkins,Jim Sturgess,Sam Worthington,Ryan Kwanten,Mark van Eeuwen,Thomas Cocquerel",1,"Action, Crime, Drama, Thriller",Rated R,
664,The Lovers,2015,Roland Joffé,"Josh Hartnett,Tamsin Egerton,Simone Kessell,Bipasha Basu,Abhay Deol,Tehmina Sunny,Alice Englert",1,"Action, Adventure, Romance, Science Fiction",Rated R,109 minutes
665,Champs,2015,Bert Marcus,"Mike Tyson,Evander Holyfield,Bernard Hopkins",2.5,Documentary,,86 minutes
666,The Wrecking Crew,2015,Denny Tedesco,"Lou Adler,Herb Alpert,Hal Blaine,Sonny Bono,James Burton,Glen Campbell,Al Casey,Dick Clark,Sam Cooke,Sammy Davis Jr.,The Beach Boys",2.5,Documentary,Rated PG,101 minutes
667,Home Sweet Hell,2015,Anthony Burns,"Patrick Wilson,Katherine Heigl,Jordana Brewster,Kevin McKidd,Bryce Johnson,James Belushi",1,"Comedy, Drama",Rated R,98 minutes
668,Seymour: An Introduction,2015,Ethan Hawke,Seymour Bernstein,3,Documentary,Rated PG,84 minutes
669,Cymbeline,2015,Michael Almereyda,"Ethan Hawke,Ed Harris,Milla Jovovich,John Leguizamo,John Leguizamo,Dakota Johnson,Anton Yelchin,Bill Pullman,Delroy Lindo",2,Drama,Rated R,98 minutes
670,The Cobbler,2015,Thomas McCarthy,"Adam Sandler,Dan Stevens,Steve Buscemi,Dustin Hoffman,Ellen Barkin,Dascha Polanco,Elena Kampouris,Melonie Diaz,Method Man,Yul Vazquez",0.5,"Comedy, Drama, Fantasy",Rated PG-13,99 minutes
671,Going Clear: Scientology and the Prison of Belief,2015,Alex Gibney,,3.5,Documentary,,119 minutes
672,Run All Night,2015,Jaume Collet-Serra,"Liam Neeson,Joel Kinnaman,Ed Harris,Génesis Rodríguez,Vincent D'Onofrio,Common,Boyd Holbrook,Holt McCallany",3,"Action, Crime, Drama, Mystery, Thriller",Rated R,114 minutes
673,It Follows,2015,David Robert Mitchell,"Maika Monroe,Keir Gilchrist,Olivia Luccardi,Lili Sepe,Bailey Spry,Daniel Zovatto,Jake Weary",3.5,Horror,Rated R,100 minutes
674,Amour fou,2015,Jessica Hausner,"Christian Friedel,Birte Schnoeink,Stephan Grossmann,Katharina Schüttler,Hana Sofia Lopes",4,"Comedy, Romance",Rated NR,96 minutes
675,"Kumiko, the Treasure Hunter",2015,David Zellner,"Rinko Kikuchi,Nobuyuki Katsube,Shirley Venard,David Zellner,David Zellner",2.5,"Comedy, Drama",Rated NR,105 minutes
676,Insurgent,2015,Robert Schwentke,"Shailene Woodley,Theo James,Ansel Elgort,Miles Teller,Naomi Watts,Maggie Q,Kate Winslet,Jai Courtney,Zoë Kravitz,Ray Stevenson,Octavia Spencer",2.5,"Action, Adventure, Romance, Science Fiction",Rated PG-13,119 minutes
677,Backcountry,2015,Adam MacDonald,"Missy Peregrym,Eric Balfour,Nicholas Campbell,Jeff Roop,Melanie Mullen,Ashley Nay",2.5,"Drama, Horror, Thriller",Rated NR,92 minutes
678,Cinderella,2015,Kenneth Branagh,"Cate Blanchett,Holliday Grainger,Sophie McShera,Stellan Skarsgård,Lily James,Helena Bonham-Carter,Richard Madden,Hayley Atwell,Nonso Anozie,Derek Jacobi,Ben Chaplin",3,"Adventure, Drama, Family, Science Fiction",Rated PG,112 minutes
679,Do You Believe?,2015,,"Mira Sorvino,Sean Astin,Alexa PenaVega,Cybill Shepherd",1.5,Drama,Rated NR,115 minutes
680,The Kidnapping of Michel Houellebecq,2015,Guillaume Nicloux,"Michel Houellebecq,Mathieu Nicourt,Maxime Lefrancois,Françoise Lebrun,Luc Schwarz",2.5,"Comedy, Drama",,96 minutes
681,Nightlight,2015,Scott Beck,"Shelby Young,Chloe Bridges,Carter Jenkins,Mitch Hewer,Taylor Ashley Murphy,Kyle Fain",1.5,"Horror, Thriller",,
682,Dreamcatcher,2015,Kim Longinotto,,3.5,"Crime, Documentary, Family",,98 minutes
683,Marfa Girl,2015,Larry Clark,"Adam Mediano,Drake Burnette,Jeremy St. James,Mary Farley,Mercedes Maxwell,Indigo Rael,Tina Rodriguez",0.5,"Drama, Romance",,105 minutes
684,A Wolf at the Door,2015,Fernando Coimbra,"Milhem Cortaz,Fabiula Nascimento,Leandra Leal,Antonio Saboia",3.5,"Drama, Thriller",,100 minutes
685,Man from Reno,2015,Dave Boyle,"Ayako Fujitani,Pepe Serna,Kazuki Kitamura,Hiroshi Watanabe,Tetsuo Kuramochi,Elisha Skorman,Masami Kosaka,Rome Kanda",3,"Crime, Mystery, Thriller",,111 minutes
686,The Riot Club,2015,Lone Scherfig,"Natalie Dormer,Sam Claflin,Jessica Brown Findlay,Max Irons,Douglas Booth,Holliday Grainger,Sam Reid,Tom Hollander,Olly Alexander,Ben Schnetzer",2,"Drama, Thriller",Rated R,107 minutes
687,The Salt of the Earth,2015,"Juliano Ribeiro Salgado,Wim Wenders","Sebastião Salgado,Juliano Ribeiro Salgado,Wim Wenders,Hugo Barbier",3.5,Documentary,Rated PG-13,110 minutes
688,Welcome to New York,2015,Abel Ferrara,"Gérard Depardieu,Jacqueline Bisset,Drena De Niro,Amy Ferguson,Paul Calderon,Paul Hipp,Ronald Guttman",0,Drama,Rated R,125 minutes
689,While We're Young,2015,Noah Baumbach,"Ben Stiller,Adam Driver,Amanda Seyfried,Naomi Watts,Brady Corbet",3,"Comedy, Drama",Rated R,97 minutes
690,Home,2015,Tim Johnson,"Jim Parsons,Rihanna,Jennifer Lopez,Matt Jones,Steve Martin",2,"Animation, Comedy, Family, Fantasy, Science Fiction",Rated PG,94 minutes
691,White God,2015,Kornél Mundruczó,"Zsófia Psotta,Sándor Zsótér,Lili Horváth,Szabolcs Thuróczy",3.5,Drama,Rated R,121 minutes
692,Get Hard,2015,Etan Cohen,"Will Ferrell,Kevin Hart,Alison Brie,Craig T. Nelson,Edwina Findley,T.I.",2,Comedy,Rated R,100 minutes
693,Ned Rifle,2015,Hal Hartley,"Liam Aiken,Aubrey Plaza,Parker Posey,Martin Donovan,James Urbaniak,Thomas Jay Ryan",3,Drama,,85 minutes
694,Woman in Gold,2015,Simon Curtis,"Helen Mirren,Ryan Reynolds,Tatiana Maslany,Katie Holmes,Max Irons,Charles Dance,Daniel Brühl,Elizabeth McGovern",2.5,"Drama, History",Rated PG-13,109 minutes
695,The Hand That Feeds,2015,"Rachel Lears,Robin Blotnick",,3,Documentary,,85 minutes
696,Serena,2014,Susanne Bier,"Jennifer Lawrence,Bradley Cooper,Rhys Ifans,Toby Jones,Blake Ritson,Sean Harris",1,Drama,Rated R,109 minutes
697,Cheatin',2015,Bill Plympton,,3.5,Animation,,76 minutes
698,5 to 7,2015,Victor Levin,"Anton Yelchin,Olivia Thirlby,Bérénice Marlohe,Lambert Wilson,Frank Langella,Glenn Close,Eric Stoltz,Jocelyn DeBoer,Joe D'Onofrio",1,"Comedy, Romance",Rated R,95 minutes
699,Cut Bank,2015,Matt Shakman,"Teresa Palmer,Liam Hemsworth,John Malkovich,Bruce Dern,Billy Bob Thornton,Michael Stuhlbarg",1.5,Thriller,Rated R,93 minutes
700,Jauja,2015,Lisandro Alonso,"Viggo Mortensen,Ghita Nørby,Viilbjork Mallin Agger,Adrián Fondari,Esteban Bigliardi,Diego Román Harillo",3.5,"Drama, Western",Rated NR,109 minutes
701,Effie Gray,2015,Richard Laxton,"Emma Thompson,Dakota Fanning,Tom Sturridge,Robbie Coltrane,Julie Walters,Derek Jacobi,Claudia Cardinale,David Suchet,James Fox",2.5,Drama,Rated PG-13,108 minutes
702,Lambert & Stamp,2015,James D. Cooper,,3,Documentary,Rated R,117 minutes
703,The Girl is in Trouble,2015,Julius Onah,"Jesse Spencer,Columbus Short,Wilmer Valderrama,Alicja Bachleda-Curuś,Miriam Colon,Paz de la Huerta",3,Thriller,,90 minutes
704,Furious 7,2015,James Wan,"Vin Diesel,Dwayne Johnson,Jason Statham,Paul Walker,Lucas Black,Michelle Rodriguez,Elsa Pataky,Jordana Brewster,Djimon Hounsou,Tyrese Gibson,Nathalie Emmanuel,Tony Jaa,Shad Moss,Ludacris",3.5,"Action, Crime, Thriller",Rated PG-13,137 minutes
705,Last Knights,2015,Kazuaki Kiriya,"Clive Owen,Morgan Freeman,Aksel Hennie",1.5,"Action, Adventure",Rated R,115 minutes
706,About Elly,2015,Asghar Farhadi,"Golshifteh Farahani,Shahab Hosseini,Taraneh Alidoosti",4,Drama,,119 minutes
707,Ex Machina,2015,Alex Garland,"Domhnall Gleeson,Oscar Isaac,Alicia Vikander",4,"Drama, Science Fiction, Thriller",Rated R,108 minutes
708,Dior and I,2015,Frederic Tcheng,,3,Documentary,,90 minutes
709,Desert Dancer,2015,Richard Raymond,"Nazanin Boniadi,Freida Pinto,Marama Corlett,Tom Cullen,Reece Ritchie",2,Drama,Rated PG-13,98 minutes
710,The Harvest,2015,John McNaughton,"Samantha Morton,Michael Shannon,Natasha Calis,Charlie Tahan,Peter Fonda,Leslie Lyles,Meadow Williams",3.5,"Drama, Thriller",,104 minutes
711,Lost River,2015,Ryan Gosling,"Christina Hendricks,Iain De Caestecker,Saoirse Ronan,Eva Mendes,Matt Smith,Ben Mendelsohn,Barbara Steele",2,"Fantasy, Thriller",Rated R,95 minutes
712,Black Souls,2015,Francesco Munzi,"Marco Leonardi,Peppino Mazzotta,Fabrizio Ferracane,Anna Ferruzzo,Barbora Bobuľová,Giuseppe Fumo,Pasquale Romeo",3,"Crime, Drama",,103 minutes
713,Kill Me Three Times,2015,Kriv Stenders,"Simon Pegg,Teresa Palmer,Luke Hemsworth,Sullivan Stapleton,Alice Braga,Callan Mulvey",1,Thriller,Rated R,90 minutes
714,Clouds of Sils Maria,2015,Olivier Assayas,"Juliette Binoche,Kristen Stewart,Chloë Grace Moretz,Brady Corbet,Johnny Flynn",3.5,Drama,Rated R,124 minutes
715,The Longest Ride,2015,George Tillman Jr,"Scott Eastwood,Britt Robertson,Lolita Davidovich,Melissa Benoist,Jack Huston,Oona Chaplin,Alan Alda,Amy Parrish",1.5,"Drama, Romance",Rated PG-13,139 minutes
716,Rebels of the Neon God,2015,Tsai Ming-liang,"Chen Chao-jung,Kang-sheng Lee,Lu Yi-Ching,Tien Miao",3.5,Drama,,106 minutes
717,True Story,2015,Rupert Goold,"James Franco,Jonah Hill,Felicity Jones,Gretchen Mol,Robert John Burke,Maria Dizzia",1.5,"Drama, Mystery, Thriller",Rated R,100 minutes
718,The Human Experiment,2015,Dana Nachman,Sean Penn,2.5,Documentary,,91 minutes
719,The Squeeze,2015,Terry Jastrow,"Jeremy Sumpter,Jason Dohring,Katherine LaNasa,Michael Nouri,Christopher McDonald",1.5,"Comedy, Drama",Rated PG-13,95 minutes
720,Roar,2015,Noel Marshall,"Tippi Hedren,Melanie Griffith,Jerry Marshall,Kyalo Mativo,Rick Glassey,Steve Miller,Noel Marshall",2.5,"Adventure, Thriller",Rated PG,102 minutes
721,The Dead Lands,2015,Toa Fraser,"James Rolleston,Lawrence Makoare,Te Kohe Tuhaka,Xavier Horan",2,Action,Rated R,107 minutes
722,Felix and Meira,2015,Maxime Giroux,"Martin Dubreuil,Hadas Yaron,Luzer Twersky,Anne-Élisabeth Bossé,Benoît Girard",2,"Drama, Family, Romance",Rated R,105 minutes
723,Monkey Kingdom,2015,"Mark Linfield,Alastair Fothergill",Tina Fey,3,Documentary,Rated G,81 minutes
724,Unfriended,2015,Leo Gabriadze,"Heather Sossaman,Matthew Bohrer,Courtney Halverson,Shelley Hennig,Renee Olstead,Cal Barnes,William Peltz,Mickey River,Moses Jacob Storm,Jacob Wysocki",1,"Horror, Thriller",Rated R,82 minutes
725,Tangerines,2013,Zaza Urushadze,"Giorgi Nakashidze,Misha Meskhi,Elmo Nüganen,Lembit Ulfsak",3.5,"Drama, War",,87 minutes
726,Alex of Venice,2015,Chris Messina,"Mary Elizabeth Winstead,Chris Messina,Don Johnson,Derek Luke",2.5,Drama,Rated R,86 minutes
727,Child 44,2015,Daniel Espinosa,"Tom Hardy,Noomi Rapace,Gary Oldman,Joel Kinnaman,Paddy Considine,Jason Clarke,Vincent Cassel,Fares Fares",1.5,"Drama, Thriller",Rated R,137 minutes
728,The World Made Straight,2015,David Burris,"Haley Joel Osment,Minka Kelly,Noah Wyle,Jeremy Irvine,Adelaide Clemens,Steve Earle",2.5,Drama,Rated R,119 minutes
729,Winter Sleep,2014,Nuri Bilge Ceylan,"Haluk Bilginer,Melisa Sözen,Demet Akbağ,Ayberk Pekcan,Serhat Mustafa Kiliç,Tamer Levent,Nadir Sarıbacak",4,Drama,,196 minutes
730,Tales of the Grim Sleeper,2014,Nick Broomfield,,3,Documentary,,110 minutes
731,Song of the Sea,2014,Tomm Moore,"Brendan Gleeson,Fionnula Flanagan,David Rawle,Pat Shortt,Jon Kenny,Lisa Hannigan",2.5,"Animation, Family, Fantasy",Rated PG,93 minutes
732,"Two Days, One Night",2014,"Jean-Pierre Dardenne,Luc Dardenne","Marion Cotillard,Fabrizio Rongione,Olivier Gourmet,Catherine Salée,Christelle Cornil,Batiste Sornin,Pili Groyne,Simon Caudry,Alain Eloy",2.5,Drama,,95 minutes
733,Annie,2014,Will Gluck,"Quvenzhané Wallis,Jamie Foxx,Rose Byrne,Cameron Diaz,Adewale Akinnuoye-Agbaje",3,"Comedy, Drama, Music",Rated PG,118 minutes
734,Mr. Turner,2014,Mike Leigh,"Timothy Spall,Paul Jesson,Dorothy Atkinson,Marion Bailey,Karl Johnson,Ruth Sheen,Lesley Manville",3.5,Drama,Rated R,149 minutes
735,Selma,2014,Ava DuVernay,"David Oyelowo,Tom Wilkinson,Carmen Ejogo,Andre Holland,Omar J. Dorsey,Alessandro Nivola,Giovanni Ribisi,Colman Domingo,Oprah Winfrey,Common,Keith Stanfield",4,"Drama, History",Rated PG-13,127 minutes
736,Big Eyes,2014,Tim Burton,"Amy Adams,Christoph Waltz,Krysten Ritter,Danny Huston,Jason Schwartzman,Terence Stamp",2.5,Drama,Rated PG-13,105 minutes
737,Unbroken,2014,Angelina Jolie,"Jack O'Connell,Takamasa Ishihara,Garrett Hedlund,Jai Courtney,Domhnall Gleeson,Finn Wittrock,John Magaro,Alex Russell,Luke Treadaway",2.5,"Drama, War",Rated PG-13,137 minutes
738,Into the Woods,2014,Rob Marshall,"Anna Kendrick,James Corden,Chris Pine,Johnny Depp,Emily Blunt,Meryl Streep,Lucy Punch,Christine Baranski,Tracey Ullman,Simon Russell Beale",3.5,"Comedy, Family, Fantasy",Rated PG,125 minutes
739,Leviathan,2014,Andrey Zvyagintsev,"Vladimir Vdovichenkov,Elena Lyadova,Aleksey Serebryakov,Anna Ukolova,Roman Madyanov",3.5,Drama,Rated R,140 minutes
740,American Sniper,2014,Clint Eastwood,"Sienna Miller,Bradley Cooper,Jake McDorman,Luke Grimes,Kyle Gallner,Keir O'Donnell",3.5,"Action, War",Rated R,132 minutes
741,The Gambler,2014,Rupert Wyatt,"Mark Wahlberg,Brie Larson,John Goodman,Jessica Lange,Michael K. Williams",2,"Crime, Drama, Thriller",Rated R,111 minutes
742,Taken 3,2015,Oliver Megaton,"Liam Neeson,Famke Janssen,Maggie Grace,Forest Whitaker,Dougray Scott",1.5,"Action, Crime, Thriller",Rated PG-13,109 minutes
743,Valley of Saints,2015,Musa Syeed,"Mohammed Afzal,Gulzar Ahmed Bhat,Neelofar Hamid",4,Drama,,82 minutes
744,The Interview,2014,"Evan Goldberg,Seth Rogen","James Franco,Seth Rogen,Lizzy Caplan,Randall Park,Timothy Simons",2,Comedy,Rated R,112 minutes
745,A Most Violent Year,2014,J.C. Chandor,"Oscar Isaac,Jessica Chastain,Albert Brooks,Elyes Gabel,David Oyelowo,Alessandro Nivola,Catalina Sandino Moreno",3,"Action, Crime, Drama, Thriller",Rated R,125 minutes
746,Match,2015,Stephen Belber,"Matthew Lillard,Carla Gugino,Patrick Stewart,Maduka Steady",3,"Comedy, Drama",Rated R,90 minutes
747,Blackhat,2015,Michael Mann,"Chris Hemsworth,Viola Davis,Tang Wei,Leehom Wang,Manny Montana,William Mapother",3.5,"Action, Crime, Thriller",Rated R,135 minutes
748,Human Capital,2015,Paolo Virzì,"Fabrizio Bentivoglio,Valeria Golino,Luigi Lo Cascio,Valeria Bruni-Tedeschi,Fabrizio Gifuni,Matilde Gioli,Guglielmo Pinelli",2,Drama,,111 minutes
749,Loitering with Intent,2015,Adam Rapp,"Michael Godere,Ivan Martin,Marisa Tomei,Sam Rockwell,Brian Geraghty,Isabelle McNally",2.5,"Comedy, Drama",Rated NR,80 minutes
750,Medeas,2015,Andrea Pallaoro,,2,Drama,Rated NR,97 minutes
751,Vice,2015,Brian A Miller,"Ambyr Childers,Bruce Willis,Thomas Jane,Bryan Greenberg",1,"Action, Adventure, Science Fiction",Rated R,96 minutes
752,Still Life,2015,Uberto Pasolini,"Eddie Marsan,Joanne Froggatt,Karen Drury,Andrew Buchan,Neil D'Souza",2,"Comedy, Drama",Rated NR,92 minutes
753,Three Night Stand,2015,Pat Kiely,"Sam Huntington,Meaghan Rath,Emmanuelle Chriqui,Reagan Pasternak,Jonathan Cherry",2.5,"Comedy, Drama",Rated NR,86 minutes
754,The Wedding Ringer,2015,Jeremy Garelick,"Kevin Hart,Josh Gad,Kaley Cuoco,Affion Crockett,Jorge Garcia,Cloris Leachman,Olivia Thirlby",2,Comedy,Rated R,101 minutes
755,Paddington,2015,Paul King,"Nicole Kidman,Peter Capaldi,Ben Whishaw,Michael Gambon,Imelda Staunton,Sally Hawkins,Julie Walters,Hugh Bonneville,Jim Broadbent",3,"Comedy, Family",Rated PG,95 minutes
756,Little Accidents,2015,Sara Colangelo,"Elizabeth Banks,Boyd Holbrook,Chloë Sevigny,Jacob Lofland,Josh Lucas",1.5,Drama,Rated NR,105 minutes
757,Spare Parts,2015,Sean McNamara,"Alexa PenaVega,George Lopez,Jamie Lee Curtis,Marisa Tomei,Carlos Pena,Esai Morales",2,"Drama, Family, Sport",Rated PG-13,83 minutes
758,Appropriate Behavior,2015,Desiree Akhavan,"Desiree Akhavan,Rebecca Henderson,Halley Feiffer,Scott Adsit,Anh Duong",3,Comedy,Rated NR,90 minutes
759,Gangs of Wasseypur,2015,Anurag Kashyap,"Manoj Bajpai,Tigmanshu Dhulia,Nawazuddin Siddiqui,Richa Chadda",4,"Action, Crime, Thriller",,320 minutes
760,Black Sea,2015,Kevin MacDonald,"Jude Law,Jodie Whittaker,Scoot McNairy,June Smith,Konstantin Khabenskiy,Karl Davies,Grigoriy Dobrygin,Daniel Ryan",3,"Adventure, Thriller",Rated R,115 minutes
761,R100,2015,Hitoshi Matsumoto,"Nao Ōmori,Mao Daichi,Shinobu Terajima,Hairi Katagiri,Eriko Satô,Ai Tominaga,Naomi Watanabe,Gin Maeda",3,"Comedy, Drama",Rated NR,100 minutes
762,The Humbling,2015,Barry Levinson,"Al Pacino,Kyra Sedgwick,Greta Gerwig,Charles Grodin,Dylan Baker,Dianne Wiest,Dan Hedaya",2.5,"Comedy, Drama",Rated R,112 minutes
763,Red Army,2015,Gabe Polsky,"Vyacheslav Fetisov,Vladimir Pozner",4,"Documentary, History, Sport",Rated PG,76 minutes
764,Mommy,2015,Xavier Dolan,"Anne Dorval,Antoine-Olivier Pilon,Suzanne Clément,Patrick Huard",1,Drama,Rated R,139 minutes
765,Cake,2015,Daniel Barnz,"Jennifer Aniston,Anna Kendrick,William H. Macy,Adriana Barraza,Felicity Huffman,Sam Worthington,Britt Robertson,Lucy Punch,Chris Messina,Mamie Gummer",2.5,Drama,Rated R,102 minutes
766,Strange Magic,2015,Gary Rydstrom,"Alan Cumming,Evan Rachel Wood,Kristin Chenoweth,Maya Rudolph,Sam Palladio,Alfred Molina,Elijah Kelley",1.5,"Animation, Family, Fantasy",Rated PG,99 minutes
767,Against The Sun,2015,Brian Falk,"Tom Felton,Garret Dillahunt,Jake Abel,Nadia Parra",3,Adventure,Rated PG,100 minutes
768,The Boy Next Door,2015,Rob Cohen,"Jennifer Lopez,Ryan Guzman,John Corbett,Kristin Chenoweth",1.5,"Drama, Thriller",Rated R,91 minutes
769,Manny,2015,"Leon Gast,Ryan Moore","Liam Neeson,Jimmy Kimmel,Jeremy Piven,Mark Wahlberg,Manny Pacquiao,Freddie Roach,Jinkee Pacquiao",2,"Documentary, Drama, Sport",Rated PG-13,88 minutes
770,The Duke of Burgundy,2015,Peter Strickland,"Sidse Babett Knudsen,Chiara D'Anna,Monica Swinn,Eugenia Caruso,Fatma Mohamed,Kata Bartsch",2.5,Drama,Rated NR,104 minutes
771,Song One,2015,Kate Barker-Froyland,"Anne Hathaway,Johnny Flynn,Mary Steenburgen,Ben Rosenfield",2,"Drama, Music",Rated PG-13,86 minutes
772,Mortdecai,2015,David Koepp,"Johnny Depp,Olivia Munn,Gwyneth Paltrow,Ewan McGregor,Jeff Goldblum,Paul Bettany",0.5,"Adventure, Comedy",Rated R,106 minutes
773,Son of a Gun,2015,Julius Avery,"Ewan McGregor,Brenton Thwaites,Alicia Vikander,Matthew Nable,Damon Herriman",2.5,"Action, Crime, Drama",Rated NR,108 minutes
774,Timbuktu,2015,Abderrahmane Sissako,"Pino Desperado,Abel Jafri,Toulou Kiki,Kettly Noël,Hichem Yacoubi",4,Drama,Rated PG-13,97 minutes
