id,movie_name,year,directors,actors,movie_rating,genre,duration
1435,Green Zone,2010,Paul Greengrass,"Matt Damon, Jason Isaacs, Greg Kinnear",6.9,"Action, Drama, Thriller",115 min 
1436,Robin Hood,2010,Ridley Scott,"Russell Crowe, Cate Blanchett, Matthew Macfadyen",6.7,"Action, Adventure, Drama",140 min 
1437,The Sorcerer's Apprentice,2010,Jon Turteltaub,"Nicolas Cage, Jay Baruchel, Alfred Molina",6.1,"Action, Adventure, Comedy",109 min 
1438,Sinatra Club,2010,James Quattrochi,"Jason Gedrick, Danny Nucci, Mark Belasco",4.6,"Action, Biography, Crime",88 min 
1439,Machete,2010,Ethan Maniquis,"Danny Trejo, Michelle Rodriguez, Robert De Niro",6.7,"Action, Crime, Thriller",105 min 
1440,Adventure Scouts,2010,Jim Fitzpatrick,"Jim Fitzpatrick, Jodi Knotts, Jim Kelly",7.5,"Action, Adventure, Comedy",83 min 
1441,Megamind,2010,Tom McGrath,"Will Ferrell, Jonah Hill, Brad Pitt",7.3,"Animation, Action, Comedy",95 min 
1442,Knight and Day,2010,James Mangold,"Tom Cruise, Cameron Diaz, Peter Sarsgaard",6.3,"Action, Comedy, Romance",109 min 
1443,Dylan Dog: Dead of Night,2010,Kevin Munroe,"Brandon Routh, Anita Briem, Sam Huntington",5.1,"Action, Comedy, Crime",107 min 
1444,Centurion,2010,Neil Marshall,"Michael Fassbender, Dominic West, Olga Kurylenko",6.4,"Action, Adventure, Drama",97 min 
1445,Kill Speed,2010,Kim Bass,"Andrew Keegan, Brandon Quinn, Natalia Cigliuti",4,"Action, Crime, Thriller",113 min 
1446,The Warrior's Way,2010,Sngmoo Lee,"Dong-gun Jang, Kate Bosworth, Geoffrey Rush",6.3,"Action, Fantasy, Western",100 min 
1447,The Book of Eli,2010,Albert Hughes,"Denzel Washington, Mila Kunis, Ray Stevenson",6.9,"Action, Adventure, Drama",118 min 
1448,The King of Fighters,2010,Gordon Chan,"Maggie Q, Sean Faris, Will Yun Lee",3.1,"Action, Sci-Fi, Thriller",93 min 
1449,Legion,2010,Scott Stewart,"Paul Bettany, Dennis Quaid, Charles S. Dutton",5.2,"Action, Fantasy, Horror",100 min 
1450,The Bounty Hunter,2010,Andy Tennant,"Jennifer Aniston, Gerard Butler, Gio Perez",5.5,"Action, Comedy, Romance",110 min 
1451,The Nutcracker in 3D,2010,Andrey Konchalovskiy,"Elle Fanning, Nathan Lane, John Turturro",4.4,"Action, Family, Fantasy",110 min 
1452,Repo Men,2010,Miguel Sapochnik,"Jude Law, Forest Whitaker, Alice Braga",6.3,"Action, Crime, Sci-Fi",111 min 
1453,Jonah Hex,2010,Jimmy Hayward,"Josh Brolin, Megan Fox, John Malkovich",4.6,"Action, Drama, Fantasy",81 min 
1454,Krews,2010,Hilbert Hakim,"Brian Geraghty, Jonathan Cake, Faune Chambers Watkins",5.7,"Action, Crime, Drama",105 min 
1455,Elimination,2010,Juan Carlos Vargas,"Danny Vasquez, Nicole Warner, Daniel Fanaberia",3.4,"Action, Horror, Thriller",87 min 
1456,Pusher,2010,Assad Raja,"Assad Raja, Mahima Chaudhry, Marc Anwar",6.1,"Action, Crime, Drama",107 min 
1457,Deadly Impact,2010,Robert Kurtzman,"Sean Patrick Flanery, Joe Pantoliano, Carmen Serano",5.2,"Action, Crime, Thriller",96 min 
1458,The Rig,2010,Peter Atencio,"William Forsythe, Stacey Hinnen, Serah D'Laine",3.1,"Action, Horror, Sci-Fi",94 min 
1459,Killers,2010,Robert Luketic,"Katherine Heigl, Ashton Kutcher, Tom Selleck",5.4,"Action, Comedy, Romance",100 min 
1460,TRON: Legacy,2010,Joseph Kosinski,"Jeff Bridges, Garrett Hedlund, Olivia Wilde",6.8,"Action, Adventure, Fantasy",125 min 
1461,You Have the Right to Remain Violent,2010,Roberto Monticello,"Mark Munford, Casey Skinner, Devyn Maggio",7.5,"Action, Drama, Thriller",88 min 
1462,Seres: Genesis,2010,Angel M. Huerta,"Gonzalo Vega, Manuel Balbi, Alejandra Barros",3.7,"Action, Adventure, Sci-Fi",110 min 
1463,Detective Dee: Mystery of the Phantom Flame,2010,Hark Tsui,"Tony Ka Fai Leung, Chao Deng, Carina Lau",6.6,"Action, Adventure, Drama",119 min 
1464,Skinning,2010,Stevan Filipovic,"Nikola Rakocevic, Viktor Savic, Natasa Tapuskovic",6.4,"Action, Crime, Drama",98 min 
1465,Sinners and Saints,2010,William Kaufman,"Johnny Strong, Kevin Phillips, Costas Mandylor",6.2,"Action, Crime, Thriller",104 min 
1466,Takers,2010,John Luessenhop,"Chris Brown, Hayden Christensen, Matt Dillon",6.2,"Action, Crime, Thriller",107 min 
1467,Abelar: Tales of an Ancient Empire,2010,Albert Pyun,"Matthew Willig, Inbar Lavi, Kevin Sorbo",3.2,"Action, Adventure",86 min 
1468,A Better Tomorrow,2010,Hae-sung Song,"Jin-mo Ju, Seung-heon Song, Kang-woo Kim",5.9,"Action, Drama",124 min 
1469,The Karate Kid,2010,Harald Zwart,"Jackie Chan, Jaden Smith, Taraji P. Henson",6.2,"Action, Drama, Family",140 min 
1470,Undisputed 3: Redemption,2010,Isaac Florentine,"Scott Adkins, Mykel Shannon Jenkins, Mark Ivanir",7.5,"Action, Crime, Drama",96 min 
1471,22 Bullets,2010,Richard Berry,"Jean Reno, Kad Merad, Jean-Pierre Darroussin",6.7,"Action, Crime, Thriller",117 min 
1472,From Paris with Love,2010,Pierre Morel,"John Travolta, Jonathan Rhys Meyers, Kasia Smutniak",6.5,"Action, Thriller",92 min 
1473,Black Death,2010,Christopher Smith,"Eddie Redmayne, Sean Bean, Carice van Houten",6.4,"Action, Adventure, Drama",102 min 
1474,Bunraku,2010,Guy Moshe,"Josh Hartnett, Demi Moore, Woody Harrelson",6.2,"Action, Drama, Thriller",124 min 
1475,Stag Night of the Dead,2010,Neil Jones,"Sebastian Street, Sophie Lovell Anderson, Bruce Lawrence",3.2,"Action, Comedy, Horror",81 min 
1476,Bad Ass,2010,Adamo P. Cultraro,"Tom Sizemore, Tony Curran, Johnny Messner",3.4,"Action, Crime, Drama",77 min 
1477,Denizen,2010,J.A. Steel,"Julie Corgill, Glen Jensen, Ben Bayless",5.5,"Action, Horror, Sci-Fi",83 min 
1478,Innocent,2010,Aram Rappaport,"Alexa PenaVega, Austin O'Brien, Carlo Lorenzo Garcia",7.1,"Action, Crime",98 min 
1479,Shadows in Paradise,2010,J. Stephen Maunder,"Mark Dacascos, Armand Assante, Tom Sizemore",4.1,Action,87 min 
1480,Mob Rules,2010,Keith Parmer,"Lennie James, Treva Etienne, Gary McDonald",4.3,Action,97 min 
1481,Resident Evil: Afterlife,2010,Paul W.S. Anderson,"Milla Jovovich, Ali Larter, Wentworth Miller",5.9,"Action, Adventure, Horror",97 min 
1482,Urgency,2010,Kantz,"Craig Barnett, Shaun T. Benjamin, Kasan Butcher",2.4,Action,90 min 
1483,Iron Man 2,2010,Jon Favreau,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow",7,"Action, Adventure, Sci-Fi",124 min 
1484,World's End,2010,Simone Bartesaghi,"Jonathon Trent, Elizabeth Roberts, Jonno Roberts",3.7,"Action, Sci-Fi",101 min 
1485,Wild Target,2010,Jonathan Lynn,"Bill Nighy, Emily Blunt, Rupert Grint",6.9,"Action, Comedy, Crime",98 min 
1486,Special Ops,2010,Tom Shell,"A.J. Draven, Steven Bauer, Finola Hughes",3.1,"Action, Thriller",98 min 
1487,D4,2010,Darrin Dickerson,"Vicki Askew, Ella Bell, Eric Berner",3.8,"Action, Horror, Sci-Fi",98 min 
1488,The Tourist,2010,Florian Henckel von Donnersmarck,"Johnny Depp, Angelina Jolie, Paul Bettany",6,"Action, Romance, Thriller",103 min 
1489,RED,2010,Robert Schwentke,"Bruce Willis, Helen Mirren, Morgan Freeman",7.1,"Action, Comedy, Crime",111 min 
1490,The Lazarus Papers,2010,Jeremiah Hundley,"Danny Trejo, Gary Daniels, Krystal Vee",2.9,"Action, Drama, Sci-Fi",90 min 
1491,The Killing Machine,2010,Dolph Lundgren,"Dolph Lundgren, Stefanie von Pfetten, Samantha Ferris",5.2,"Action, Drama, Thriller",88 min 
1492,Operation: Endgame,2010,Fouad Mikati,"Joe Anderson, Rob Corddry, Ellen Barkin",4.9,"Action, Comedy",87 min 
1493,Kandagar,2010,Andrey Kavun,"Aleksandr Baluev, Yury Belyayev, Bogdan Benyuk",6.8,"Action, Drama, War",103 min 
1494,The Spy Next Door,2010,Brian Levant,"Jackie Chan, Amber Valletta, Billy Ray Cyrus",5.4,"Action, Comedy, Family",94 min 
1495,An Immortal Tale,2010,Rick Ganz,"Justin Tully, Andrew Roth, Shannon Arney",4.6,"Action, Adventure, Sci-Fi",97 min 
1496,Genghis Khan: The Story of a Lifetime,2010,Ken Annakin,"Daming Chen, Bekim Fehmiu, Daniel Greene",6.9,Action,120 min 
1497,Supreme Champion,2010,Ted Fox,"Stephan Bonnar, Daniel Bernhardt, Leila Arcieri",3.3,Action,86 min 
1498,Lahore,2010,Sanjay Puransingh Chauhan,"Farooq Shaikh, Nafisa Ali, Aanaahad",6.5,"Action, Drama, Sport",145 min 
1499,Soldiers,2010,Jean-Claude Van Damme,"Jean-Claude Van Damme, Claudia Bassols, John Colton",7.8,"Action, Crime, Drama",108 min 
1500,Cats & Dogs: The Revenge of Kitty Galore,2010,Brad Peyton,"Bette Midler, Chris O'Donnell, Jack McBrayer",4.3,"Action, Comedy, Family",82 min 
1501,Raajneeti,2010,Prakash Jha,"Naseeruddin Shah, Arjun Rampal, Nana Patekar",7.1,"Action, Crime, Drama",163 min 
1502,Easy Money,2010,Daniel Espinosa,"Joel Kinnaman, Matias Varela, Dragomir Mrsic",6.7,"Action, Crime, Drama",124 min 
1503,People of Allah,2010,Faruk Kabir,"Varun Bhagwat, Vikram Gokhale, Zakir Hussain",6.3,"Action, Crime, Drama",123 min 
1504,Last Letters from Monte Rosa,2010,Ari Taub,"Daniel Asher, C.J. Barkus, Gianluca Bianco",5.7,"Action, Drama",88 min 
1505,Enthiran,2010,S. Shankar,"Rajinikanth, Aishwarya Rai Bachchan, Danny Denzongpa",7.1,"Action, Romance, Sci-Fi",174 min 
1506,The Big Bang,2010,Tony Krantz,"Antonio Banderas, Thomas Kretschmann, William Fichtner",5.5,"Action, Mystery, Thriller",101 min 
1507,Wushu Warrior,2010,Alain Desrochers,"Matt Frewer, Tod Fennell, Amber Goldfarb",4.2,Action,85 min 
1508,Little Big Soldier,2010,Sheng Ding,"Jackie Chan, Leehom Wang, Sung-jun Yoo",7,"Action, Adventure, Comedy",96 min 
1509,The Expendables,2010,Sylvester Stallone,"Sylvester Stallone, Jason Statham, Jet Li",6.5,"Action, Adventure, Thriller",103 min 
1510,Shank,2010,Mo Ali,"Kedar Williams-Stirling, Adam Deacon, Ashley Thomas",4,"Action, Comedy, Crime",90 min 
1511,The Zero Hour,2010,Diego Velasco,"Zapata 666, Amanda Key, Erich Wildpret",7.1,"Action, Drama, Thriller",100 min 
1512,The Terror Experiment,2010,George Mendeluk,"Andrew Amani, Brett Beoubay, Darren Arnaud",3.4,"Action, Horror, Thriller",82 min 
1513,Bold Native,2010,Denis Hennelly,"Joaquin Pastor, Randolph Mantooth, Sheila Vand",7.2,"Action, Adventure, Comedy",105 min 
1514,The Final Storm,2010,Uwe Boll,"Steve Bacic, Lauren Holly, Luke Perry",3.5,"Action, Horror, Thriller",92 min 
1515,Shoot the Hero,2010,Christian Sesma,"Jason Mewes, Samantha Lockwood, Danny Trejo",3.5,"Action, Comedy",80 min 
1516,Raavan,2010,Mani Ratnam,"Abhishek Bachchan, Aishwarya Rai Bachchan, Govinda",5.3,"Action, Adventure, Crime",130 min 
1517,Dahmer vs. Gacy,2010,Ford Austin,"Ford Austin, Art LaFleur, Randal Malone",2.4,"Action, Comedy, Horror",90 min 
1518,The Adventures of Chris Fable,2010,Andrew Wiest,"Solomon Ray, Staci Crowe, Robert Bear",2.5,"Action, Adventure, Drama",108 min 
1519,The Brest Fortress,2010,Aleksandr Kott,"Aleksey Kopashov, Andrey Merzlikin, Pavel Derevyanko",7.5,"Action, Drama, History",138 min 
1520,Nude Nuns with Big Guns,2010,Joseph Guzman,"Asun Ortega, David Castro, Perry D'Marco",3.9,"Action, Comedy, Thriller",91 min 
1521,Gunless,2010,William Phillips,"Paul Gross, Sienna Guillory, Dustin Milligan",6.5,"Action, Comedy, Drama",89 min 
1522,Freight,2010,Stuart St. Paul,"Billy Murray, Craig Fairbrass, Laura Aikman",4.2,"Action, Crime, Drama",92 min 
1523,When Soldiers Cry,2010,Joe Black,"Jess Weber, Doug Szczesny, Kristin Sargent",1.9,"Action, War",120 min 
1524,Forged,2010,William Wedig,"Manny Perez, David Castro, Margo Martindale",4.7,"Action, Drama",77 min 
1525,The Other Guys,2010,Adam McKay,"Will Ferrell, Mark Wahlberg, Derek Jeter",6.6,"Action, Comedy, Crime",107 min 
1526,Ip Man 2,2010,Wilson Yip,"Donnie Yen, Xiaoming Huang, Sammo Kam-Bo Hung",7.6,"Action, Biography, Drama",108 min 
1527,Slime City Massacre,2010,Greg Lamberson,"Jennifer Bihl, Kealan Patrick Burke, Debbie Rochon",4.7,"Action, Horror, Sci-Fi",85 min 
1528,Rage,2010,Chris Witherspoon,"Audrey Walker, Rick Crawford, Chris Witherspoon",4.3,"Action, Drama, Horror",85 min 
1529,The Bannen Way,2010,Jesse Warren,"Mark Gantt, Vanessa Marcil, Gabriel Tigerman",5.3,"Action, Comedy, Crime",93 min 
1530,Twelve,2010,Joel Schumacher,"Chace Crawford, Emma Roberts, Rory Culkin",5.7,"Action, Crime, Drama",93 min 
1531,The 5th Execution,2010,Aleksandr Yakimchuk,"Rutger Hauer, Fedor Emelianenko, Pawel Delag",4.7,Action,110 min 
1532,Night Wolf,2010,Jonathan Glendening,"Isabella Calthorpe, Tom Felton, Gemma Atkinson",4.4,"Action, Horror",81 min 
1533,Tracker,2010,Ian Sharp,"Ray Winstone, Temuera Morrison, Gareth Reeves",6.5,"Action, Adventure, Drama",102 min 
1534,True Legend,2010,Woo-Ping Yuen,"Wenzhuo Zhao, Xun Zhou, Andy On",6.4,"Action, Drama, History",115 min 
1535,Unrivaled,2010,Warren P. Sonoda,"Hector Echavarria, Steven Yaffee, Nicholas Campbell",4,"Action, Drama, Sport",109 min 
1536,Alien Opponent,2010,Colin Theys,"Jeremy London, Angela Relucio, Roddy Piper",4.3,"Action, Comedy, Sci-Fi",92 min 
1537,Faster,2010,George Tillman Jr.,"Dwayne Johnson, Billy Bob Thornton, Maggie Grace",6.5,"Action, Crime, Drama",98 min 
1538,Gladiator Games,2010,Stefano Milla,"Francesco Chinchella, Suzi Lorraine, Maurizio Corigliano",4.3,"Action, Adventure, Fantasy",100 min 
1539,Le ultime 56 ore,2010,Claudio Fragasso,"Gianmarco Tognazzi, Barbora Bobulova, Libero De Rienzo",5,"Action, Drama",107 min 
1540,Attack the Gas Station! 2,2010,Sang-Jin Kim,"Hyun-woo Joo, Han-seon Jo, Jong-hak Baek",6.2,"Action, Comedy",111 min 
1541,14 Blades,2010,Daniel Lee,"Donnie Yen, Wei Zhao, Chun Wu",6.4,"Action, Drama, History",114 min 
1542,Caught in the Crossfire,2010,Brian A Miller,"Adam Rodriguez, 50 Cent, Richard T. Jones",4.5,"Action, Crime, Thriller",85 min 
1543,Devil's Playground,2010,Mark McQueen,"Craig Fairbrass, Danny Dyer, MyAnna Buring",5.2,"Action, Horror",92 min 
1544,Caribbean Basterds,2010,Enzo G. Castellari,"Vik C. Ryan, Eleonora Albrecht, Maximiliano Hernando Bruno",3.3,Action,90 min 
1545,Prince,2010,Kookie V. Gulati,"Vivek Oberoi, Isaiah, Aruna Shields",4.1,"Action, Crime, Drama",138 min 
1546,Boy Wonder,2010,Michael Morrissey,"Caleb Steinmeyer, Zulay Henao, Bill Sage",6.9,"Action, Crime, Drama",93 min 
1547,Legend of the Fist: The Return of Chen Zhen,2010,Wai-Keung Lau,"Donnie Yen, Alex Ahlstrom, Qi Shu",6.3,"Action, Drama, History",106 min 
1548,Reign of Assassins,2010,Chao-Bin Su,"Michelle Yeoh, Woo-sung Jung, Xueqi Wang",6.9,Action,117 min 
1549,Falling Down,2010,Ford Austin,"Ford Austin, Dana Bretz, Jennifer Hynes",3.8,"Action, Drama, Thriller",124 min 
1550,The Weathered Underground,2010,David N. Donihue,"Michael Ciriaco, Brea Grant, Hollis McLachlan",6.1,"Action, Comedy, Drama",310 min 
1551,Caged Animal,2010,Ryan Combs,"Ving Rhames, Nipsey Hussle, Gillie Da Kid",4.6,"Action, Drama",84 min 
1552,MacGruber,2010,Jorma Taccone,"Will Forte, Kristen Wiig, Val Kilmer",5.5,"Action, Comedy, Romance",90 min 
1553,Transparency,2010,Raul Inglis,"Lou Diamond Phillips, Estella Warren, Deborah Kara Unger",4.7,"Action, Crime, Drama",96 min 
1554,Wildfire: The Arabian Heart,2010,Michael Vincent,"Willa Townsend, Alex Bartlett, Gary David Keast",4.2,"Action, Comedy, Drama",88 min 
1555,Asal,2010,Saran,,4,Action,135 min 
1556,Anima and Persona,2010,Thiagarajan Kumararaja,"Sampath Raj, Jackie Shroff, Ravi Krishna",8.5,"Action, Comedy, Crime",153 min 
1557,Paiyaa,2010,N. Linguswamy,"Karthi, Tamannaah Bhatia, Milind Soman",6.1,"Action, Comedy, Musical",152 min 
1558,Paiyaa,2010,N. Linguswamy,"Karthi, Tamannaah Bhatia, Milind Soman",6.1,"Action, Comedy, Musical",152 min 
1559,Thillalangadi,2010,M. Raja,"Jeyam Ravi, Tamannaah Bhatia, Shaam",4.7,"Action, Comedy, Romance",181 min 
1560,Better Mus' Come,2010,Storm Saulter,"Sheldon Shepherd, Sky Nicole Grey, Duane Pusey",6.3,"Action, Crime, Drama",104 min 
1561,The Blood Bond,2010,Michael Biehn,"Michael Biehn, Phoenix Chou, Simon Yam",3.5,"Action, Thriller",86 min 
1562,Broken Springs,2010,Neeley Lawson,"Teague Quillen, Travis Moody, Brandon Jenkins",5.6,"Action, Comedy, Drama",85 min 
1563,The Man from Nowhere,2010,Jeong-beom Lee,"Bin Won, Sae-ron Kim, Tae-hoon Kim",7.9,"Action, Crime, Thriller",119 min 
1564,Last Kung Fu Monk,2010,Peng Zhang Li,"Cindy Carino, Robert Christie, Matt Harlan Cohen",3.9,"Action, Adventure, Comedy",93 min 
1565,Cartel War,2010,Jack Lucarelli,"Jack Lucarelli, Mercedes Brito, Roberto 'Sanz' Sanchez",3.8,"Action, Crime, Drama",94 min 
1566,Route Irish,2010,Ken Loach,"Mark Womack, Andrea Lowe, John Bishop",6.4,"Action, Drama, Thriller",109 min 
1567,Born to Raise Hell,2010,Lauro Chartrand,"Steven Seagal, Dan Badarau, Darren Shahlavi",4.5,"Action, Thriller",98 min 
1568,Rocksteady,2010,Mustapha Khan,"Cedric Sanders, Natalie Knepp, Jonny Orsini",6.3,"Action, Comedy, Drama",90 min 
1569,Let the Bullets Fly,2010,Wen Jiang,"Yun-Fat Chow, Wen Jiang, You Ge",7.3,"Action, Comedy, Western",132 min 
1570,The Stool Pigeon,2010,Dante Lam,"Nicholas Tse, Nick Cheung, Lun Mei Gwei",6.8,"Action, Drama, Thriller",113 min 
1571,Triple Tap,2010,Tung-Shing Yee,"Louis Koo, Daniel Wu, Charlene Choi",6.4,"Action, Thriller",118 min 
1572,Treasure of the Black Jaguar,2010,Mike Bruce,"Cameron Van Hoy, Michael Drayer, Timothy V. Murphy",5.8,"Action, Adventure",102 min 
1573,Amphibious Creature of the Deep,2010,Brian Yuzna,"Verdi Solaiman, Mohammad Aditya, Steven Baray",3.6,"Action, Horror, Thriller",83 min 
1574,The Drawn Together Movie: The Movie!,2010,Greg Franklin,"Adam Carolla, Abbey DiGregorio, Jess Harnell",6.4,"Animation, Action, Comedy",70 min 
1575,Airiseu: Deo mubi,2010,Kyoo-tae Kim,"Byung-hun Lee, Seung Hyun Choi, Tae-hee Kim",6.1,"Action, Adventure, Drama",125 min 
1576,Gun,2010,Jessy Terrero,"50 Cent, Val Kilmer, AnnaLynne McCord",3.8,"Action, Crime, Thriller",82 min 
1577,To Die Is Hard,2010,Glenn Berggoetz,"Glenn Berggoetz, Baird Lefter, Lauren von Engeln",7.2,"Action, Comedy",87 min 
1578,Hunt to Kill,2010,Keoni Waxman,"Eric Roberts, Steve Austin, Gary Daniels",5.2,"Action, Thriller",98 min 
1579,Skyline,2010,Colin Strause,"Eric Balfour, Donald Faison, Scottie Thompson",4.4,"Action, Sci-Fi, Thriller",97 min 
1580,Beatdown,2010,Mike Gunther,"Susie Abromeit, Rudy Youngblood, Michael Bisping",4.5,"Action, Crime, Thriller",90 min 
1581,Kutsal Damacana 2: Itmen,2010,Korhan Bozkurt,"Aydemir Akbas, Eris Akman, Ferhat Guzel",2.7,"Action, Comedy, Horror",98 min 
1582,See piu fung wan,2010,Kwok-Man Keung,"Simon Yam, Kiu Wai Miu, Fala Chen",5.7,"Action, Thriller",93 min 
1583,Repeaters,2010,Carl Bessai,"Dustin Milligan, Amanda Crew, Richard de Klerk",5.8,"Action, Crime, Drama",89 min 
1584,Khaleja,2010,Trivikram Srinivas,"Mahesh Babu, Anushka Shetty, Prakash Raj",7.7,"Action, Comedy, Drama",170 min 
1585,Kedi,2010,Kiran Kumar,"Nagarjuna Akkineni, Mamta Mohandas, Sayaji Shinde",4.8,Action,153 min 
1586,Maryada Ramanna,2010,S.S. Rajamouli,"Suneel, Saloni Aswani, Nagineedu",7.4,"Action, Comedy",125 min 
1587,Varudu,2010,Gunasekhar,"Suhasini, Sayaji Shinde, Singeetham Srinivasa Rao",3.6,"Action, Crime, Drama",147 min 
1588,Gekijouban Fate/Stay Night: Unlimited Blade Works,2010,Ken'ichi Takeshita,"Yu Asakawa, Mai Kadowaki, Ayako Kawasumi",6.9,"Animation, Action, Drama",107 min 
1589,Lego: The Adventures of Clutch Powers,2010,Howard E. Baker,"Ryan McPartlin, Yvonne Strahovski, Paul Michael Glaser",5.8,"Animation, Action, Adventure",78 min 
1590,71: Into the Fire,2010,John H. Lee,"Seung-won Cha, Sang-Woo Kwon, Seung Hyun Choi",7.4,"Action, Drama, War",120 min 
1591,How I Ended This Summer,2010,Aleksey Popogrebskiy,"Grigoriy Dobrygin, Sergey Puskepalis, Igor Chernevich",7,"Action, Drama",130 min 
1592,Amongst Heroes,2010,Andres Puustusmaa,"Igor Petrenko, Aleksey Barabash, Ekaterina Klimova",5.2,"Action, Adventure, Sci-Fi",98 min 
1593,The Book of Zombie,2010,Paul Cranefield,"Brian Ibsen, Larisa Peters, Andrew Loviska",3.6,"Action, Comedy, Horror",61 min 
1594,Chase,2010,Jag Mundhra,"Anuj Saxena, Udita Goswami, Tarina Patel",4.8,"Action, Crime, Drama",103 min 
1595,Donkey,2010,Adrian Langley,"Matthew Stefiuk, Cassandra Petrella, Greg Hiscock",4,"Action, Crime, Drama",90 min 
1596,Deadly Closure,2010,Andrzej Mrotek,"Lisa Varga, Audrey Landers, Diane Ford",2.4,"Action, Drama, Mystery",100 min 
1597,Hunted by Night,2010,Juan Bofill,,2.8,Action,110 min 
1598,Locked Down,2010,Daniel Zirilli,"Tony Schiena, Rashad Evans, Vinnie Jones",4.2,"Action, Crime, Thriller",99 min 
1599,Fire of Conscience,2010,Dante Lam,"Leon Lai, Richie Jen, Baoqiang Wang",6.3,"Action, Crime, Mystery",106 min 
1600,Prasthanam,2010,Katta Deva,"Jeeva, Sundeep Kishan, Vennela Kishore",8.2,"Action, Drama",153 min 
1601,Caught Inside,2010,Adam Blaiklock,"Ben Oxenbould, Daisy Betts, Sam Lyndon",5.4,"Action, Adventure, Thriller",93 min 
1602,Yakuza-Busting Girls: Duel in Hell,2010,Shin'ichi Okuda,"Asami, Chuck Johnson, Naoki Kawano",5,Action,73 min 
1603,Evolusi: KL Drift 2,2010,Syamsul Yusof,"Rizal Ashraf, Aaron Aziz, Adam Corrie",6.1,Action,100 min 
1604,Ladron,2010,Damian Chapa,"Ricco Chapa, Stanley Griego, Sultria Demirjian",7,"Action, Crime",83 min 
1605,Gallants,2010,Clement Sze-Kit Cheng,"Siu-Lung Leung, Kuan Tai Chen, Teddy Robin Kwan",6.6,"Action, Comedy, Drama",98 min 
1606,Once a Gangster,2010,Felix Chong,"Ekin Cheng, Jordan Chan, Alex Fong",5.8,"Action, Comedy, Crime",95 min 
1607,Na igre 2. Novyy uroven,2010,Pavel Sanaev,"Sergey Chirkov, Marina Petrenko, Pavel Priluchnyy",5.4,"Action, Sci-Fi",86 min 
1608,Dabangg,2010,Abhinav Kashyap,"Salman Khan, Sonakshi Sinha, Vinod Khanna",6.3,"Action, Comedy, Crime",126 min 
1609,Kidnapper,2010,Kelvin Tong,"Fish Chaar, Anthony Levi Kho, Michael Kwah",6.4,"Action, Thriller",98 min 
1610,Gintama: The Movie,2010,Shinji Takamatsu,"Susumu Chiba, Satoshi Hino, Akira Ishida",7.2,"Animation, Action, Comedy",96 min 
1611,The Legend Is Born: Ip Man,2010,Herman Yau,"Yu-Hang To, Yi Huang, Biao Yuen",7.1,"Action, Biography, Drama",100 min 
1612,The Big Tits Dragon,2010,Takao Nakano,"Sora Aoi, Risa Kasumi, Mari Sakurai",4.5,"Action, Comedy, Horror",73 min 
1613,Planzet,2010,Jun Awazu,"Kaori Ishihara, Masami Iwasaki, Mamoru Miyano",4.7,"Animation, Action, Sci-Fi",53 min 
1614,Outbound,2010,Bogdan George Apetri,"Ana Ularu, Andi Vasluianu, Ioana Flora",6.7,"Action, Drama",87 min 
1615,Iron Lord,2010,Dmitriy Korobkin,"Aleksandr Ivashkevich, Svetlana Chuykina, Aleksey Kravchenko",5.2,"Action, Biography, Drama",100 min 
1616,Cowboys and Vampires,2010,Douglas Myers,,2.4,"Action, Horror, Western",94 min 
1617,New Kids Turbo,2010,Steffen Haars,"Huub Smit, Tim Haars, Wesley van Gaalen",6.4,"Action, Comedy",84 min 
1618,Shark,2010,S.P. Rajkumar,"Vijay, Tamannaah Bhatia, Vadivelu",2.6,Action,159 min 
1619,WebSiteStory,2010,Dan Chisu,"Crina Semciuc, Diana Gursca, Oreste Alexandru Scarlat Teodorescu",6.3,"Action, Drama",82 min 
1620,Ong-bak 3,2010,Tony Jaa,"Tony Jaa, Dan Chupong, Sarunyu Wongkrachang",4.9,Action,99 min 
1621,Singam,2010,Hari,"Suriya, Anushka Shetty, Prakash Raj",6.5,"Action, Crime, Drama",160 min 
1622,Megaman,2010,Eddie Lebron,"Jun Naito, Jeanie Tse, Edward X. Young",3.9,"Action, Drama, Sci-Fi",93 min 
1623,Pixels,2010,Jacek Lusinski,"Marcin Adamkiewicz, Dominik Bak, Mieszko Barglik",4.5,"Action, Comedy",100 min 
1624,Rakhta Charitra,2010,Ram Gopal Varma,"Vivek Oberoi, Shatrughan Sinha, Sudeep",7.6,"Action, Biography, Crime",125 min 
1625,Golimar,2010,Puri Jagannadh,"Tottempudi Gopichand, Priyamani, Roja",5.7,"Action, Crime, Drama",160 min 
1626,Vixen Highway 2006: It Came from Uranus!,2010,Tony Watt,"Tony Watt, Vivita, Amabelle Singson",3.5,"Action, Horror, Thriller",250 min 
1627,Conned,2010,Arthur Luhn,"Charlie Alejandro, Rudi Anna, Hilary Barraford",5.1,"Action, Comedy, Thriller",98 min 
1628,A Chemical Skyline,2010,Jason Swinchock,"Orris L. Johnson, Sean Dungee, Christine Soltis",4.4,"Action, Horror, Thriller",45 min 
1629,A Chemical Skyline,2010,Jason Swinchock,"Orris L. Johnson, Sean Dungee, Christine Soltis",4.4,"Action, Horror, Thriller",45 min 
