ID,title,booktitle,author,pages,year,organization,ENTRYTYPE,publisher,journal,number,volume
723,Alternative correctness criteria for concurrent execution of transactions in multilevel secure databases,,"Atluri, Vijayalakshmi and Jajodia, Sushil and Bertino, Elisa",839--854,1996,,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",5,8
724,Security in SOA and web services,"Services Computing, 2006. SCC'06. IEEE International Conference on","Bertino, Elisa and Martino, Lorenzo",xli--xli,2006,IEEE,inproceedings,,,,
725,Privacy requirements in identity management solutions,Human Interface and the Management of Information. Interacting in Information Environments,"Bhargav-Spantzel, Abhilasha and Squicciarini, Anna C and Young, Matthew and Bertino, Elisa",694--702,2007,,incollection,Springer Berlin Heidelberg,,,
726,Extended RBAC with role attributes,,"Yong, Jianming and Bertino, Elisa and Roberts, Mark Toleman Dave",8,2006,,article,,PACIS 2006 Proceedings,,
727,Merkle tree authentication in UDDI registries,,"Bertino, Elisa and Carminati, Barbara and Ferrari, Elena",37--57,2004,,article,,Int. J. Web Service Res.,2,1
728,"CONCERTO, an environment for the “intelligent’indexing, querying and retrieval of digital documents",Foundations of Intelligent Systems,"Zarri, Gian Piero and Bertino, Elisa and Black, Bill and Brasher, Andrew and Catania, Barbara and Deavin, Diana and Di Pace, Liugi and Esposito, Floriana and Leo, Pietro and McNaught, John and others",226--234,1999,,incollection,Springer Berlin Heidelberg,,,
729,Clustering techniques in object bases: a survey,,"Bertino, Elisa and Saad, Amani A and Ismail, Mohamed A.",255--275,1994,,article,Elsevier,Data \& knowledge engineering,3,12
730,Access control policy analysis and visualization tools for security professionals,,"Vaniea, Kami and Ni, Qun and Cranor, Lorrie and Bertino, Elisa",,2008,,article,,Proceedings of the 4th Symposium on Usable Privacy and Security (SOUPS'08),,
731,Privacy-preserving enforcement of spatially aware RBAC,,"Kirkpatrick, Michael S and Ghinita, Gabriel and Bertino, Elisa",627--640,2012,,article,IEEE,"Dependable and Secure Computing, IEEE Transactions on",5,9
732,Querying multiple temporal granularity data,"Temporal Representation and Reasoning, 2000. TIME 2000. Proceedings. Seventh International Workshop on","Merlo, Isabella and Bertino, Elisa and Ferrari, Elena and Gadia, Shashi and Guerrini, Giovanna",103--114,2000,IEEE,inproceedings,,,,
733,A Bottom-Up Interpreter for a Database Language with Updates and Transactions.,GULP-PRODE (2),"Bertino, Elisa and Catania, Barbara and Guerrini, Giovanna and Martelli, Maurizio and Montesi, Danilo",206--220,1994,,inproceedings,,,,
734,Specification and enforcement of flexible security policy for active cooperation,,"Sun, Yuqing and Gong, Bin and Meng, Xiangxu and Lin, Zongkai and Bertino, Elisa",2629--2642,2009,,article,Elsevier,Information Sciences,15,179
735,A comprehensive simulation tool for the analysis of password policies,,"Shay, Richard and Bertino, Elisa",275--289,2009,,article,Springer-Verlag,International Journal of Information Security,4,8
736,Single-database private information retrieval from fully homomorphic encryption,,"Yi, Xun and Kaosar, Mohammed Golam and Paulet, Russell and Bertino, Elisa",1125--1134,2013,,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",5,25
737,A framework for contractual resource sharing in coalitions,"Policies for Distributed Systems and Networks, 2004. POLICY 2004. Proceedings. Fifth IEEE International Workshop on","Firozabadi, Babak Sadighi and Sergot, Marek and Squicciarin, A and Bertino, Elisa",117--126,2004,IEEE,inproceedings,,,,
738,Protecting location privacy through semantics-aware obfuscation techniques,Trust Management II,"Damiani, Maria Luisa and Bertino, Elisa and Silvestri, Claudio",231--245,2008,,incollection,Springer US,,,
739,Measuring the structural similarity among XML documents and DTDs,,"Bertino, Elisa and Guerrini, Giovanna and Mesiti, Marco and Rivara, I and others",,2001,,article,Citeseer,,,
740,Issues on modeling spatial granularities,,"Camossi, Elena and Bertolotto, Michela and Bertino, Elisa and Guerrini, Giovanna",,2003,,article,,COSIT,,
741,Threat modelling for SQL Servers,Communications and Multimedia Security,"Bertino, E and Bruschi, D and Franzoni, S and Nai-Fovino, I and Valtolina, S",159--171,2005,,incollection,Springer US,,,
742,"Access control, confidentiality and privacy for video surveillance databases",Proceedings of the eleventh ACM symposium on Access control models and technologies,"Thuraisingham, Bhavani and Lavee, Gal and Bertino, Elisa and Fan, Jianping and Khan, Latifur",1--10,2006,ACM,inproceedings,,,,
743,Viewpoints in object database systems,Joint proceedings of the second international software architecture workshop (ISAW-2) and international workshop on multiple perspectives in software development (Viewpoints' 96) on SIGSOFT'96 workshops,"Bertino, Elisa and Guerrini, Giovanna",289--293,1996,ACM,inproceedings,,,,
744,Reputation management in crowdsourcing systems,"Collaborative Computing: Networking, Applications and Worksharing (CollaborateCom), 2012 8th International Conference on","Allahbakhsh, Mohammad and Ignjatovic, Aleksandar and Benatallah, Boualem and Beheshti, Soosan and Bertino, Elisa and Foo, Norman",664--671,2012,IEEE,inproceedings,,,,
745,Publishing time-series data under preservation of privacy and distance orders,Database and Expert Systems Applications,"Moon, Yang-Sae and Kim, Hea-Suk and Kim, Sang-Pil and Bertino, Elisa",17--31,2010,,incollection,Springer Berlin Heidelberg,,,
746,An interoperable approach to multifactor identity verification,,"Paci, Federica and Ferrini, Rodolfo and Musci, Andrea and Steuer Jr, Kevin and Bertino, Elisa",50--57,2009,,article,IEEE,Computer,5,
747,Tagging stream data for rich real-time services,,"Nehme, Rimma V and Rundensteiner, Elke A and Bertino, Elisa",73--84,2009,,article,VLDB Endowment,Proceedings of the VLDB Endowment,1,2
748,Role based access control models,,"Bellettini, Carlo and Bertino, Elisa and Ferrari, Elena",21--29,2001,,article,Elsevier Advanced Technology,Information Security Technical Report,2,6
749,Towards optimal two-dimensional indexing for constraint databases,,"Bertino, Elisa and Catania, Barbara and Shidlovsky, Boris",1--8,1997,,article,Elsevier,Information Processing Letters,1,64
750,ARUBA: A risk-utility-based algorithm for data disclosure,Secure Data Management,"Fouad, Mohamed R and Lebanon, Guy and Bertino, Elisa",32--49,2008,,incollection,Springer Berlin Heidelberg,,,
751,Content-based filtering of Web documents: The MaX system and the EUFORBIA project,,"Bertino, Elisa and Ferrari, Elena and Perego, Andrea",45--58,2003,,article,Springer-Verlag,International Journal of Information Security,1,2
752,Navigational accesses in a temporal object model,,"Bertino, Elisa and Ferrari, Eiena and Guerrini, Giovanna",656--665,1998,,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",4,10
753,Location-aware authentication and access control,2009 International Conference on Advanced Information Networking and Applications,"Bertino, Elisa and Kirkpatrick, Michael",10--15,2009,IEEE,inproceedings,,,,
754,Policy mapper: Administering location-based access-control policies,,"Bhatti, Rafae and Damiani, Maria Luisa and Bettis, David W and Bertino, Elisa",38--45,2008,,article,IEEE,"Internet Computing, IEEE",2,12
755,A reference framework for integrating multiple representations of geographical maps,Proceedings of the 11th ACM international symposium on Advances in geographic information systems,"Belussi, Alberto and Catania, Barbara and Bertino, Elisa",33--40,2003,ACM,inproceedings,,,,
756,Multifactor identity verification using aggregated proof of knowledge,,"Bhargav-Spantzel, Abhilasha and Squicciarini, Anna Cinzia and Xue, Rui and Bertino, Elisa",372--383,2010,,article,IEEE,"Systems, Man, and Cybernetics, Part C: Applications and Reviews, IEEE Transactions on",4,40
757,A policy-based authorization framework for web services: Integrating xgtrbac and ws-policy,"Web Services, 2007. ICWS 2007. IEEE International Conference on","Bhatti, Rafae and Sanz, Daniel and Bertino, Elisa and Ghafoor, Arif",447--454,2007,IEEE,inproceedings,,,,
758,An analytical model of object-oriented query costs,Persistent Object Systems,"Bertino, Elisa and Foscoli, Paola",241--261,1993,,incollection,Springer London,,,
759,Approach to supporting continuity of usage in location-based access control,"Future Trends of Distributed Computing Systems, 2008. FTDCS'08. 12th IEEE International Workshop on","Damiani, Maria Luisa and Bertino, Elisa and Silvestri, Claudio",199--205,2008,IEEE,inproceedings,,,,
760,Secure provenance transmission for streaming data,,"Sultana, Shabana and Shehab, Mohamed and Bertino, Elisa",1890--1903,2013,,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",8,25
761,Attribute based group key management,,"Nabeel, Mohamed and Yoosuf, Mohamed and Bertino, Elisa",,2014,,article,,,,
762,Dissemination of cultural heritage content through virtual reality and multimedia techniques: a case study,"Multimedia Modelling Conference, 2005. MMM 2005. Proceedings of the 11th International","Valtolina, Stefano and Franzoni, Stefano and Mazzoleni, Pietro and Bertino, Elisa",214--221,2005,IEEE,inproceedings,,,,
763,Secure third party distribution of XML data,"Data Engineering, 2005. ICDE 2005. Proceedings. 21st International Conference on","Carminati, Barbara and Ferrari, Elena and Bertino, Elisa",547--548,2005,IEEE,inproceedings,,,,
764,Data protection from insider threats,,"Bertino, Elisa",1--91,2012,,article,Morgan \& Claypool Publishers,Synthesis Lectures on Data Management,4,4
765,Mask: a system for privacy-preserving policy-based access to published content,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,"Nabeel, Mohamed and Shang, Ning and Zage, John and Bertino, Elisa",1239--1242,2010,ACM,inproceedings,,,,
766,Efficient systematic clustering method for k-anonymization,,"Kabir, Md Enamul and Wang, Hua and Bertino, Elisa",51--66,2011,,article,Springer-Verlag,Acta Informatica,1,48
767,CiVeDi: a customized virtual environment for database interaction,,"Mazzoleni, Pietro and Bertino, Elisa and Ferrari, Elena and Valtolina, Stefano",15--20,2004,,article,ACM,ACM SIGMOD Record,3,33
768,Navigating through multiple temporal granularity objects,"Temporal Representation and Reasoning, 2001. TIME 2001. Proceedings. Eighth International Symposium on","Bertino, Elisa and Ferrari, Elena and Guerrini, Giovanna and Merlo, Isabella",147--155,2001,IEEE,inproceedings,,,,
769,An object-oriented approach to the interconnection of heterogenous databases,,"Bertino, E and Pelagatti, G and Sbattella, L",,1989,,article,,Proceedings of the Workshop on Heterogenous Databases. NSF,,
770,Object evolution in object databases,Dynamic Worlds,"Bertino, Elisa and Guerrini, Giovanna and Rusca, Luca",219--246,1999,,incollection,Springer Netherlands,,,
771,A system for securing push-based distribution of XML documents,,"Bertino, Elisa and Ferrari, Elena and Paci, Federica and Provenza, Loredana Parasiliti",255--284,2007,,article,Springer-Verlag,International Journal of Information Security,4,6
772,k-shares: A privacy preserving reputation protocol for decentralized environments,Security and Privacy--Silver Linings in the Cloud,"Hasan, Omar and Brunie, Lionel and Bertino, Elisa",253--264,2010,,incollection,Springer Berlin Heidelberg,,,
773,Adaptive management of multigranular spatio-temporal object attributes,Advances in Spatial and Temporal Databases,"Camossi, Elena and Bertino, Elisa and Guerrini, Giovanna and Bertolotto, Michela",320--337,2009,,incollection,Springer Berlin Heidelberg,,,
774,A secure publishing service for digital libraries of XML documents,Information Security,"Bertino, Elisa and Carminati, Barbara and Ferrari, Elena",347--362,2001,,incollection,Springer Berlin Heidelberg,,,
775,A policy-based accountability tool for grid computing systems,"Asia-Pacific Services Computing Conference, 2008. APSCC'08. IEEE","Squicciarini, Anna Cinzia and Lee, Wonjun and Bertino, Elisa and Song, Carol X",95--100,2008,IEEE,inproceedings,,,,
776,A multi-strategy approach to rating and filtering online resources,"Database and Expert Systems Applications, 2005. Proceedings. Sixteenth International Workshop on","Bertino, Elisa and Ferrari, Elena and Perego, Andrea and Zarri, Gian Piero",519--523,2005,IEEE,inproceedings,,,,
777,Systematic clustering method for l-diversity model,Proceedings of the Twenty-First Australasian Conference on Database Technologies-Volume 104,"Kabir, Md Enamul and Wang, Hua and Bertino, Elisa and Chi, Yunxiang",93--102,2010,"Australian Computer Society, Inc.",inproceedings,,,,
778,Matching an XML Document against a Set of DTDs,Foundations of Intelligent Systems,"Bertino, Elisa and Guerrini, Giovanna and Mesiti, Marco",412--422,2002,,incollection,Springer Berlin Heidelberg,,,
779,XACML function annotations,"Policies for Distributed Systems and Networks, 2007. POLICY'07. Eighth IEEE International Workshop on","Rao, Prathima and Lin, Dan and Bertino, Elisa",178--182,2007,IEEE,inproceedings,,,,
780,An update protocol for XML documents in distributed and cooperative systems,"Distributed Computing Systems, 2005. ICDCS 2005. Proceedings. 25th IEEE International Conference on","Koglin, Yunhua and Mella, Giovanni and Bertino, Elisa and Ferrari, Elena",314--323,2005,IEEE,inproceedings,,,,
781,Extending the ODMG object model with triggers,,"Bertino, Elisa and Guerrini, Giovanna and Merlo, Isabella",170--188,2004,,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",2,16
782,Using spatial data access structures for filtering nearest neighbor queries,,"Belussi, Alberto and Bertino, Elisa and Catania, Barbara",1--31,2002,,article,Elsevier,Data \& Knowledge Engineering,1,40
783,Multi-route query processing and optimization,,"Nehme, Rimma V and Works, Karen and Lei, Chuan and Rundensteiner, Elke A and Bertino, Elisa",312--329,2013,,article,Academic Press,Journal of computer and system sciences,3,79
784,Collusion Detection in Online Rating Systems.,APWeb,"Allahbakhsh, Mohammad and Ignjatovic, Aleksandar and Benatallah, Boualem and Seyed-Mehdi-Reza Beheshti, Elisa Bertino and Bertino, Elisa and Foo, Norman",196--207,2013,,inproceedings,,,,
785,Rule termination analysis investigating the interaction between transactions and triggers,"Database Engineering and Applications Symposium, 2002. Proceedings. International","Montesi, Danilo and Bertino, Elisa and Bagnato, Maria and Dearnley, Peter",285--294,2002,IEEE,inproceedings,,,,
786,Trust-$\backslash$ mathcal $\{$X$\}$: An XML Framework for Trust Negotiations,Communications and Multimedia Security. Advanced Techniques for Network and Data Protection,"Bertino, Elisa and Ferrari, Elena and Squicciarini, Anna Cinzia",146--157,2003,,incollection,Springer Berlin Heidelberg,,,
787,End-to-end accountability in grid computing systems for coalition information sharing,Proceedings of the 4th annual workshop on Cyber security and information intelligence research: developing strategies to meet the cyber security and information intelligence challenges ahead,"Bertino, Elisa and Lee, Wonjun and Squicciarini, Anna C and Thuraisingham, Bhavani",29,2008,ACM,inproceedings,,,,
788,Replacing lost or stolen E-passports,,"Yong, Jianming and Bertino, Elisa",89--91,2007,,article,IEEE,Computer,10,40
789,PAtterns for Next-generation DAtabase systems: preliminary results of the PANDA project.,SEBD,"Bartolini, Ilaria and Bertino, Elisa and Catania, Barbara and Ciaccia, Paolo and Golfarelli, Matteo and Patella, Marco and Rizzi, Stefano",293--300,2003,,inproceedings,,,,
790,Digital identity protection-concepts and issues,,"Bertino, Elisa and Paci, Federica and Shang, Ning",69--78,2009,,article,,"4th International Conference on Availability, Reliability and Security, Fukuoka, Japan",,
791,An apples-to-apples comparison of two database journals,,"Bernstein, Philip A and Bertino, Elisa and Heuer, Andreas and Jensen, Christian S and Meyer, Holger and {\""O}zsu, M Tamer and Snodgrass, Richard T and Whang, Kyu-Young",61--64,2005,,article,ACM,ACM SIGMOD Record,4,34
792,Emerging trends around big data analytics and security: panel,Proceedings of the 17th ACM symposium on Access Control Models and Technologies,"Bhatti, Rafae and LaSalle, Ryan and Bird, Rob and Grance, Tim and Bertino, Elisa",67--68,2012,ACM,inproceedings,,,,
793,A privacy preserving assertion based policy language for federation systems,Proceedings of the 12th ACM symposium on Access control models and technologies,"Squicciarini, Anna C and Hintoglu, Ayca Azgin and Bertino, Elisa and Saygin, Yucel",51--60,2007,ACM,inproceedings,,,,
794,Multigranular spatio-temporal models: implementation challenges,Proceedings of the 16th ACM SIGSPATIAL international conference on Advances in geographic information systems,"Camossi, Elena and Bertolotto, Michela and Bertino, Elisa",63,2008,ACM,inproceedings,,,,
795,Fault tolerance and recovery in mobile computing systems,,"Bertino, Elisa and Pagani, Elena and Rossi, Gian Paolo",,1997,,article,,Recovery Mechanisms in Database Systems (Eds. V. Kumar and M. Hsu). Prentice-Hall,,
796,A distributed approach to enabling privacy-preserving model-based classifier training,,"Luo, Hangzai and Fan, Jianping and Lin, Xiaodong and Zhou, Aoying and Bertino, Elisa",157--185,2009,,article,Springer-Verlag,Knowledge and information systems,2,20
797,Integrity aspects in database management systems,,"Bertino, E and Apuzzo, D",,,,article,,"Proc. IEEE Trends and Applications Conference, Making Database Work,(43 $\{$52)}, year={1984",,
798,Integrated document and knowledge management for the knowledge-based enterprise,,"McNaught, J and Black, W and Rinaldi, F and Bertino, E and Brasher, A and Deavin, D and Catania, B and Silvestri, D and Armani, B and Persidis, A and others",,2000,,article,Citeseer,Proceedings of the 3rd International Conference on the practical application of Knowledge Management,,
799,Repository management in an intelligent indexing approach for multimedia digital libraries,,"Armani, B and Catania, B and Bertino, E and Laradi, D and Marin, B and Zarri, Gian Piero",431--440,2010,,article,Springer Berlin/Heidelberg,Foundations of Intelligent Systems,,
800,Finitely representable nested relations,,"Bertino, Elisa and Catania, Barbara and Wong, Limsoon",165--173,1999,,article,Elsevier,Information Processing Letters,4,70
801,Privacy preserving olap over distributed xml data: A theoretically-sound secure-multiparty-computation approach,,"Cuzzocrea, Alfredo and Bertino, Elisa",965--987,2011,,article,Academic Press,Journal of Computer and System Sciences,6,77
802,Secure delta-publishing of XML content,"Data Engineering, 2008. ICDE 2008. IEEE 24th International Conference on","Nabeel, Mohamed and Bertino, Elisa",1361--1363,2008,IEEE,inproceedings,,,,
803,Trustworthy information: concepts and mechanisms,Web-Age Information Management,"Xu, Shouhuai and Qian, Haifeng and Wang, Fengying and Zhan, Zhenxin and Bertino, Elisa and Sandhu, Ravi",398--404,2010,,incollection,Springer Berlin Heidelberg,,,
804,Secure knn query processing in untrusted cloud environments,,"Choi, Sunoh and Ghinita, Gabriel and Lim, Hyo-Sang and Bertino, Elisa",2818--2831,2014,,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",11,26
805,A general framework for web content filtering,,"Bertino, Elisa and Ferrari, Elena and Perego, Andrea",215--249,2010,,article,Springer US,World Wide Web,3,13
806,Visualization for access control policy analysis results using multi-level grids,"Policies for Distributed Systems and Networks, 2009. POLICY 2009. IEEE International Symposium on","Rao, Prathima and Ghinita, Gabriel and Bertino, Elisa and Lobo, Jorge",25--28,2009,IEEE,inproceedings,,,,
807,Effective and efficient implementation of an information flow control protocol for service composition,"Service-Oriented Computing and Applications (SOCA), 2009 IEEE International Conference on","She, Wei and Yen, I and Thuraisingham, Bhavani and Bertino, Elisa and others",1--8,2009,IEEE,inproceedings,,,,
808,xfACL: An extensible functional language for access control,Proceedings of the 16th ACM symposium on Access control models and technologies,"Ni, Qun and Bertino, Elisa",61--72,2011,ACM,inproceedings,,,,
809,Flexible commit protocols for advanced transaction processing,Advanced Transaction Models and Architectures,"Mancini, Luigi and Ray, Indrajit and Jajodia, Sushil and Bertino, Elisa",91--124,1997,,incollection,Springer US,,,
810,Marlin: A fine grained randomization approach to defend against ROP attacks,Network and System Security,"Gupta, Aditi and Kerr, Sam and Kirkpatrick, Michael S and Bertino, Elisa",293--306,2013,,incollection,Springer Berlin Heidelberg,,,
811,A flexible approach to multisession trust negotiations,,"Squicciarini, Anna C and Bertino, Elisa and Trombetta, Alberto and Braghin, Stefano",16--29,2012,,article,IEEE,"Dependable and Secure Computing, IEEE Transactions on",1,9
812,Integrating federated digital identity management and trust negotiation,,"Bhargav-Spantzel, Abhilasha and Squicciarini, Anna C and Bertino, Elisa",,2005,,article,,review IEEE Security and Privacy Magazine,,
813,Enhancing the expressive power of the U-Datalog language,,"Bertino, Elisa and Catania, Barbara and Gori, Roberta",105--122,2001,,article,Cambridge University Press,Theory and Practice of Logic Programming,1,1
814,An access control mechanism for large scale data dissemination systems,"Research Issues in Data Engineering, 2001. Proceedings. Eleventh International Workshop on","Bertino, Elisa and Ferrari, Elena and Pitoura, Evaggelia",43--50,2001,IEEE,inproceedings,,,,
815,Controlling data disclosure in computational PIR protocols,"Proceedings of the 5th ACM Symposium on Information, Computer and Communications Security","Shang, Ning and Ghinita, Gabriel and Zhou, Yongbin and Bertino, Elisa",310--313,2010,ACM,inproceedings,,,,
816,Towards a contextualized access to the cultural heritage world using 360 Panoramic Images.,SEKE,"Mazzoleni, Pietro and Valtolina, Stefano and Franzoni, Stefano and Mussio, Piero and Bertino, Elisa",416--419,2006,,inproceedings,,,,
817,Efficient and privacy-preserving enforcement of attribute-based access control,Proceedings of the 9th Symposium on Identity and Trust on the Internet,"Shang, Ning and Paci, Federica and Bertino, Elisa",63--68,2010,ACM,inproceedings,,,,
818,Identidroid: Android can finally wear its anonymous suit,,"Shebaro, Bilal and Ogunwuyi, Oluwatosin and Midi, Daniele and Bertino, Elisa",,2014,,article,,,,
819,Local Closed-World Assumptions for reasoning about Semantic Web data.,APPIA-GULP-PRODE,"Bertino, Elisa and Provetti, Alessandro and Salvetti, Franco",314--323,2003,,inproceedings,,,,
820,Traceable and automatic compliance of privacy policies in federated digital identity management,Privacy Enhancing Technologies,"Squicciarini, Anna and Bhargav-Spantzel, Abhilasha and Czeskis, Alexei and Bertino, Elisa",78--98,2006,,incollection,Springer Berlin Heidelberg,,,
821,Identity attribute-based role provisioning for human ws-bpel processes,"Web Services, 2009. ICWS 2009. IEEE International Conference on","Paci, Federica and Ferrini, Rodolfo and Bertino, Elisa",535--542,2009,IEEE,inproceedings,,,,
822,Achieving anonymity in mobile ad hoc networks using fuzzy position information,Mobile Ad-hoc and Sensor Networks,"Wu, Xiaoxin and Liu, Jun and Hong, Xiaoyan and Bertino, Elisa",461--472,2006,,incollection,Springer Berlin Heidelberg,,,
823,PDL with Maximum Consistency Monitors,Foundations of Intelligent Systems,"Bertino, Elisa and Mileo, Alessandra and Provetti, Alessandro",65--74,2003,,incollection,Springer Berlin Heidelberg,,,
824,Transactions and updates in deductive databases,,"Montesi, Danilo and Bertino, Elisa and Martelli, Maurizio",784--797,1997,,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",5,9
825,Access control strategies for virtualized environments in grid computing systems,"Future Trends of Distributed Computing Systems, 2007. FTDCS'07. 11th IEEE International Workshop on","Squicciarini, Anna Cinzia and Bertino, Elisa and Goasguen, Sebastien",48--54,2007,IEEE,inproceedings,,,,
826,A conceptual annotation approach to indexing in a web-based information system,,"Bertino, Elisa and Catania, Barbara and Zarri, Gian Piero",247--264,2000,,article,Kluwer Academic Publishers,Netnomics,3,2
827,Authorization and user failure resiliency for ws-bpel business processes,Service-Oriented Computing--ICSOC 2008,"Paci, Federica and Ferrini, Rodolfo and Sun, Yuqing and Bertino, Elisa",116--131,2008,,incollection,Springer Berlin Heidelberg,,,
828,Towards optimal indexing for segment databases,Advances in Database Technology—EDBT'98,"Bertino, Elisa and Catania, Barbara and Shidlovsky, Boris",39--53,1998,,incollection,Springer Berlin Heidelberg,,,
829,Automatic compliance of privacy policies in federated digital identity management,"Policies for Distributed Systems and Networks, 2008. POLICY 2008. IEEE Workshop on","Squicciarini, Anna and Mont, Marco Casassa and Bhargav-Spantzel, Abhilasha and Bertino, Elisa",89--92,2008,IEEE,inproceedings,,,,
830,A formal proximity model for RBAC systems,,"Gupta, Aditi and Kirkpatrick, Michael S and Bertino, Elisa",52--67,2014,,article,Elsevier Advanced Technology,Computers \& Security,,41
831,Guest Editors' Introduction: Data Quality in the Internet Era,,"Bertino, Elisa and Maurino, Andrea and Scannapieco, Monica",11--13,2010,,article,IEEE,IEEE Internet Computing,4,
832,A lightweight secure provenance scheme for wireless sensor networks,"Parallel and Distributed Systems (ICPADS), 2012 IEEE 18th International Conference on","Sultana, Shabana and Ghinita, Gabriel and Bertino, Elisa and Shehab, Mohamed",101--108,2012,IEEE,inproceedings,,,,
833,A non-timestamped authorization model for data management systems,Proceedings of the 3rd ACM Conference on Computer and Communications Security,"Bertino, Elisa and Jajodia, Sushil and Samarati, Pierangela",169--178,1996,ACM,inproceedings,,,,
834,Xjoin index: Indexing xml data for efficient handling of branching path expressions,"Data Engineering, 2004. Proceedings. 20th International Conference on","Bertino, Elisa and Catania, Barbara and Wang, Wen Qiang",828,2004,IEEE,inproceedings,,,,
835,Towards a differentially private data anonymization,,"Fouad, Mohamed R and Elbassioni, Khaled and Bertino, Elisa",2012,2012,,article,,"Purdue Univ., West Lafayette, IN, USA, Tech. Rep. CERIAS",,1
836,Achieving stricter correctness requirements in multilevel secure databases,"Research in Security and Privacy, 1993. Proceedings., 1993 IEEE Computer Society Symposium on","Atluri, Vijayalakshmi and Bertino, Elisa and Jajodia, Sushil",135--147,1993,IEEE,inproceedings,,,,
837,UCS-Router: a policy engine for enforcing message routing rules in a universal communication system,"Mobile Data Management, 2002. Proceedings. Third International Conference on","Bertino, Elisa and Cochinwala, Munir and Mesiti, Marco",8--15,2002,IEEE,inproceedings,,,,
838,Efficient integration of fine-grained access control and resource brokering in grid,,"Mazzoleni, Pietro and Crispo, Bruno and Sivasubramanian, Swaminathan and Bertino, Elisa",108--126,2009,,article,Springer US,The Journal of Supercomputing,1,49
839,Performance evaluation of two concurrency control mechanisms in a distributed database system,Trends in Information Processing Systems,"Thanos, Costantino and Carlesi, Carlo and Bertino, Elisa",266--279,1981,,incollection,Springer Berlin Heidelberg,,,
840,High-assurance integrity techniques for databases,"Sharing Data, Information and Knowledge","Bertino, Elisa and Dai, Chenyun and Lim, Hyo-Sang and Lin, Dan",244--256,2008,,incollection,Springer Berlin Heidelberg,,,
841,Document query processing strategies: cost evaluation and heuristics,ACM SIGOIS Bulletin,"Bertino, E and Gibbs, S and Rabitti, F",169--181,1988,ACM,inproceedings,,,03-Feb,9
842,Security-aware service composition with fine-grained information flow control,,"She, Wei and Yen, I-Ling and Thuraisingham, Bhavani and Bertino, Elisa",330--343,2013,,article,IEEE,"Services Computing, IEEE Transactions on",3,6
843,Static analysis of intensional databases in U-Datalog,Proceedings of the fifteenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,"Bertino, Elisa and Catania, Barbara",202--212,1996,ACM,inproceedings,,,,
844,Privacy-preserving authentication of trees and graphs,,"Kundu, Ashish and Bertino, Elisa",467--494,2013,,article,Springer Berlin Heidelberg,International journal of information security,6,12
845,Decentralized authorization and data security in web content delivery,Proceedings of the 2007 ACM symposium on Applied computing,"Yao, Danfeng and Koglin, Yunhua and Bertino, Elisa and Tamassia, Roberto",1654--1661,2007,ACM,inproceedings,,,,
846,An approach to cooperative updates of XML documents in distributed systems,,"Bertino, Elisa and Ferrari, Elena and Mella, Giovanni",191--242,2005,,article,,Journal of Computer Security,2,13
847,Query processing techniques for compliance with data confidence policies,Secure Data Management,"Dai, Chenyun and Lin, Dan and Kantarcioglu, Murat and Bertino, Elisa and Celikel, Ebru and Thuraisingham, Bhavani",49--67,2009,,incollection,Springer Berlin Heidelberg,,,
848,Tiupam: A framework for trustworthiness-centric information sharing,Trust Management III,"Xu, Shouhuai and Sandhu, Ravi and Bertino, Elisa",164--175,2009,,incollection,Springer Berlin Heidelberg,,,
849,Trigger inheritance and overriding in active object database systems,Deductive and Object-Oriented Databases,"Bertino, Elisa and Guerrini, Giovanna and Merlo, Isabella",193--210,1997,,incollection,Springer Berlin Heidelberg,,,
850,ACConv--An Access Control Model for Conversational Web Services,,"Paci, Federica and Mecella, Massimo and Ouzzani, Mourad and Bertino, Elisa",13,2011,,article,ACM,ACM Transactions on the Web (TWEB),3,5
851,Context-based Access Control Systems for Mobile Devices,,"Shebaro, Bilal and Oluwatimi, Oyindamola and Bertino, Elisa",150--163,2015,,article,IEEE,"Dependable and Secure Computing, IEEE Transactions on",2,12
852,An abstraction-based approach to measuring the structural similarity between two unordered XML documents,Proceedings of the 1st international symposium on Information and communication technologies,"Mesiti, Marco and Bertino, Elisa and Guerrini, Giovanna",316--321,2003,Trinity College Dublin,inproceedings,,,,
853,Managing risks in RBAC employed distributed environments,"On the Move to Meaningful Internet Systems 2007: CoopIS, DOA, ODBASE, GADA, and IS","Celikel, Ebru and Kantarcioglu, Murat and Thuraisingham, Bhavani and Bertino, Elisa",1548--1566,2007,,incollection,Springer Berlin Heidelberg,,,
854,Privacy preserving identity attribute verification in windows cardspace,Proceedings of the 6th ACM workshop on Digital identity management,"Steuer Jr, Kevin and Fernando, Ruchith and Bertino, Elisa",13--16,2010,ACM,inproceedings,,,,
