ID,publisher,isbn,title,series,author,year,ENTRYTYPE,journal,number,volume,link,pages,booktitle,crossref
1144,,,"Machine Learning and Lightweight Semantics to Improve Enterprise Search
and Knowledge Management",,"Rayid Ghani and
Divna Djordjevic and
Chad M. Cumby",2011,incollection,,,,http://dx.doi.org/10.1007/978-3-642-19510-5_9,171--188,"Context and Semantics for Knowledge Management - Technologies for
Personal Productivity.",DBLP:books/daglib/0027800
1145,,,Labeled Data,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_439,571,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1146,,,The changing science of machine learning,,Pat Langley,2011,article,Machine Learning,3,82,http://dx.doi.org/10.1007/s10994-011-5242-y,275--279,,
1147,,,"Development and application of global databases: considerable progress, but more collaboration needed",,"David A. Hastings and
John J. Kineman and
David M. Clark",1991,article,International Journal of Geographical Information Science,1,5,http://dx.doi.org/10.1080/02693799108927837,137--146,,
1148,,,Big Data on the Internet of Things: An Example for the E-health,,"Martin Diaz and
Gonzalo Juan and
Oikawa Lucas and
Alberto Ryuga",2012,inproceedings,,,,http://dx.doi.org/10.1109/IMIS.2012.198,898--900,"Sixth International Conference on Innovative Mobile and Internet Services
in Ubiquitous Computing, {IMIS} 2012, Palermo, Italy, July 4-6, 2012",DBLP:conf/imis/2012
1149,,,Learning Bias,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_446,577,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1150,,,Document Classification,,"Dunja Mladenic and
Janez Brank and
Marko Grobelnik",2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_230,289--293,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1151,,,Learning By Demonstration,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_447,577,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1152,,,Is More Specific Than,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_420,558,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1153,,,Is More General Than,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_419,558,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1154,,,Iterative Classification,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_422,558,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1155,,,"A Logical Operational Semantics of Full Prolog Part {II:} Built-in
Predicates for Database Manipulations",,"Egon B{\""{o}}rger",1990,article,{IWBS} Report,,115,,,,
1156,,,Inverse Entailment,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_415,553--554,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1157,,,"Earth Science Markup Language {(ESML):} : a solution for scientific
data-application interoperability problem",,"Rahul Ramachandran and
Sara J. Graves and
Helen Conover and
Karen Moe",2004,article,Computers {\&} Geosciences,1,30,http://dx.doi.org/10.1016/j.cageo.2003.08.010,117--124,,
1158,,,Inverse Resolution,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_418,558,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1159,,,Inverse Optimal Control,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_416,554,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1160,,,Kernels,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_433,570,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1161,,,"Experimental Grid Access for Dynamic Discovery and Data Transfer in
Distributed Interactive Simulation Systems",,"Alfredo Tirado{-}Ramos and
Katarzyna Zajac and
Zhiming Zhao and
Peter M. A. Sloot and
G. Dick van Albada and
Marian Bubak",2003,inproceedings,,,,http://dx.doi.org/10.1007/3-540-44860-8_29,284--294,"Computational Science - {ICCS} 2003, International Conference, Melbourne, Australia and St. Petersburg, Russia, June 2-4, 2003. Proceedings, Part {I}",DBLP:conf/iccS/2003-1
1162,,,Multi-Agent Learning {I:} Problem Definition,,"Yoav Shoham and
Rob Powers",2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_563,694--696,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1163,,,Active Machine Learning for Consideration Heuristics,,"Daria Dzyabura and
John R. Hauser",2011,article,Marketing Science,5,30,http://dx.doi.org/10.1287/mksc.1110.0660,801--819,,
1164,,,Kernel Density Estimation,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_428,566,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1165,,,Junk Email Filtering,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_423,559,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1166,,,Development and Programming of Deductive Databases with {PROTOS-L},,"Stefan B{\""{o}}ttcher",1990,article,{IWBS} Report,,118,,,,
1167,,,Kernel Matrix,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_429,566,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1168,,,Toward Interactive Computations: {A} Rough-Granular Approach,,"Andrzej Skowron and
Marcin S. Szczuka",2010,incollection,,,,http://dx.doi.org/10.1007/978-3-642-05179-1_2,23--42,"Advances in Machine Learning II, Dedicated to the Memory of Professor
Ryszard S. Michalski",DBLP:series/sci/2010-263
1169,,,Directed Graphs,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_218,279,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1170,,,Dimensionality Reduction on Text via Feature Selection,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_217,279,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1171,,,Data at work: supporting sharing in science and engineering,,"Jeremy P. Birnholtz and
Matthew J. Bietz",2003,inproceedings,,,,http://doi.acm.org/10.1145/958160.958215,339--348,"Proceedings of the 2003 International {ACM} {SIGGROUP} Conference
on Supporting Group Work, {GROUP} 2003, Sanibel Island, Florida, USA, November 9-12, 2003",DBLP:conf/group/2003
1172,,,{DIID} - Data independent interface for database (abstract),,"Klaus K. Obermeier and
David de Hilster",1986,inproceedings,,,,http://doi.acm.org/10.1145/324634.325103,439,"Proceedings of the 14th {ACM} Annual Conference on Computer Science, Cincinnati, Ohio, USA, 1986",DBLP:conf/acm/1986
1173,,,"Identifying Trends Concerning Computer Science Students with Dyslexia:
{A} Data Mining Approach",,"Mohamad Saraee and
Christine Edwards and
Adam Peers",2005,inproceedings,,,,,117,"Proceedings of The 2005 International Conference on Computers for
People with Special Needs, {CPSN} 2005, Las Vegas, Nevada, USA, June
20-23, 2005",DBLP:conf/cpsn/2005
1174,,,Media and Personal Involvement in the Perceptions of Data Quality,,Andrew Borchers,2005,incollection,,,,http://www.igi-global.com/Bookstore/Chapter.aspx?TitleId=14537,1917--1921,Encyclopedia of Information Science and Technology {(5} Volumes),DBLP:books/idea/Ency05
1175,,,Deductive Learning,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_206,267,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1176,,,Decision Trees For Regression,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_205,267,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1177,,,Digraphs,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_215,274,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1178,,,Deterministic Decision Rule,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_214,274,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1179,Springer,3-540-22983-3,"Secure Data Management, {VLDB} 2004 Workshop, {SDM} 2004, Toronto, Canada, August 30, 2004, Proceedings",Lecture Notes in Computer Science,,2004,proceedings,,,3178,,,,
1180,Springer,3-540-28798-1,"Secure Data Management, Second {VLDB} Workshop, {SDM} 2005, Trondheim, Norway, September 2-3, 2005, Proceedings",Lecture Notes in Computer Science,,2005,proceedings,,,3674,,,,
1181,,,Classifier Systems,,Pier Luca Lanzi,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_115,172--178,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1182,,,Data Set,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_196,261,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1183,,,"Performance comparison of machine learning algorithms and number of
independent components used in fMRI decoding of belief vs. disbelief",,"Pamela K. Douglas and
Sam Harris and
Alan L. Yuille and
Mark S. Cohen",2011,article,NeuroImage,2,56,http://dx.doi.org/10.1016/j.neuroimage.2010.11.002,544--553,,
1184,,,Data Mining On Text,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_193,259,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1185,,,An Approximate Lp Difference Algorithm for Massive Data Streams,,"Jessica H. Fong and
Martin Strauss",2001,article,Discrete Mathematics {\&} Theoretical Computer Science,2,4,http://dmtcs.loria.fr/volumes/abstracts/dm040217.abs.html,301--322,,
1186,,,Decision Stump,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_202,262--263,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1187,,,Decision Rule,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_201,262,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1188,,,Decision Epoch,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_198,261,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1189,,,Covering Algorithm,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_184,238,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1190,,,Cost-to-Go Function Approximation,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_182,235,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1191,,,Missing Attribute Values,,Ivan Bruha,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_543,674--680,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1192,,,Cross-Validation,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_190,249,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1193,,,Cross-Language Question Answering,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_188,242,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1194,,,Compression-aware {I/O} performance analysis for big data clustering,,"Zhenghua Xue and
Geng Shen and
Jianhui Li and
Qian Xu and
Yang Zhang and
Jing Shao",2012,inproceedings,,,,http://doi.acm.org/10.1145/2351316.2351323,45--52,"Proceedings of the 1st International Workshop on Big Data, Streams
and Heterogeneous Source Mining: Algorithms, Systems, Programming
Models and Applications, BigMine 2012, Beijing, China, August 12, 2012",DBLP:conf/kdd/2012bigmine
1195,,,Cross-Language Document Categorization,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_186,242,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1196,,,Design Principles for Effective Knowledge Discovery from Big Data,,"Edmon Begoli and
James L. Horey",2012,inproceedings,,,,http://dx.doi.org/10.1109/WICSA-ECSA.212.32,215--218,"2012 Joint Working {IEEE/IFIP} Conference on Software Architecture
and European Conference on Software Architecture, {WICSA/ECSA} 2012, Helsinki, Finland, August 20-24, 2012",DBLP:conf/wicsa/2012
1197,,,"Disaggregated {GIS} architecture Lessons from recent developments
in multi-site database management systems",,Chris Webster,1988,article,International Journal of Geographical Information Science,1,2,http://dx.doi.org/10.1080/02693798808927880,67--79,,
1198,,,Modelling database based expert systems at the conceptual level,,Ramin Yasdi,1985,inproceedings,,,,http://doi.acm.org/10.1145/320599.320723,400--413,"Proceedings of the 13th {ACM} Annual Conference on Computer Science, New Orleans, Louisiana, USA, 1985",DBLP:conf/acm/1985
1199,,,"Open science - combining open data and open source software: Medical
image analysis with the Insight Toolkit",,"Terry S. Yoo and
Dimitris N. Metaxas",2005,article,Medical Image Analysis,6,9,http://dx.doi.org/10.1016/j.media.2005.04.008,503--506,,
1200,,,"Remotely-sensed data as an information source for geographical information
systems in natural resource management a review",,Craig M. Trotter,1991,article,International Journal of Geographical Information Science,2,5,http://dx.doi.org/10.1080/02693799108927845,225--239,,
1201,,,ClassySeg: {A} Machine Learning Approach to AutomaticStroke Segmentation,,"James Herold and
Thomas F. Stahovich",2011,inproceedings,,,,http://dx.doi.org/10.2312/SBM/SBM11/109-116,109--116,"Sketch Based Interfaces and Modeling, Vancouver, BC, Canada, 5-7 August
2011. Proceedings",DBLP:conf/sbm/2011
1202,,,"A fast recognition framework based on extreme learning machine using
hybrid object information",,"Rashid Minhas and
Abdul Adeel Mohammed and
Q. M. Jonathan Wu",2010,article,Neurocomputing,10-Dec,73,http://dx.doi.org/10.1016/j.neucom.2009.11.049,1831--1839,,
1203,Computer Science Press,0-7167-8200-6,A Logical Language for Data and Knowledge Bases,,"Shamim A. Naqvi and
Shalom Tsur",1989,book,,,,,,,
1204,,,"Stochastic simulation and modelling of metabolic networks in a machine
learning framework",,"Marenglen Biba and
Fatos Xhafa and
Floriana Esposito and
Stefano Ferilli",2011,article,Simulation Modelling Practice and Theory,9,19,http://dx.doi.org/10.1016/j.simpat.2011.05.002,1957--1966,,
1205,,,Machine Learning Based Performance Prediction for Multi-core Simulation,,"Jitendra Kumar Rai and
Atul Negi and
Rajeev Wankar",2011,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-25725-4_21,236--247,"Multi-disciplinary Trends in Artificial Intelligence - 5th International
Workshop, {MIWAI} 2011, Hyderabad, India, December 7-9, 2011. Proceedings",DBLP:conf/miwai/2011
1206,,,Constraint-Based Mining,,Siegfried Nijssen,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_164,221--225,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1207,,,The {SHOGUN} Machine Learning Toolbox,,"S{\""{o}}ren Sonnenburg and
Gunnar R{\""{a}}tsch and
Sebastian Henschel and
Christian Widmer and
Jonas Behr and
Alexander Zien and
Fabio De Bona and
Alexander Binder and
Christian Gehl and
Vojtech Franc",2010,article,Journal of Machine Learning Research,,11,http://portal.acm.org/citation.cfm?id=1859911,1799--1802,,
1208,,,"Biomarker information extraction tool {(BIET)} development using natural
language processing and machine learning",,"Md. Tawhidul Islam and
M. Shaikh and
A. Nayak and
S. Ranganathan",2010,inproceedings,,,,http://doi.acm.org/10.1145/1741906.1741927,121--126,"Proceedings of the {ICWET} '10 International Conference {\&} Workshop
on Emerging Trends in Technology, Mumbai, Maharashtra, India, February
26 - 27, 2010",DBLP:conf/icwet/2010
1209,,,"Combination of Fingerprint-Based Similarity Coefficients Using Data
Fusion",,"Naomie Salim and
John D. Holliday and
Peter Willett",2003,article,Journal of Chemical Information and Computer Sciences,2,43,http://dx.doi.org/10.1021/ci025596j,435--442,,
1210,,,"On the accuracy of TIGER-type geocoded address data in relation to
cadastral and census areal units",,Jerry H. Ratcliffe,2001,article,International Journal of Geographical Information Science,5,15,http://dx.doi.org/10.1080/13658810110047221,473--485,,
1211,Springer,3-540-67743-7,"Advances in Databases, 17th British National Conferenc on Databases, {BNCOD} 17, Exeter, UK, July 3-5, 2000, Proceedings",Lecture Notes in Computer Science,,2000,proceedings,,,1832,,,,
1212,Springer,3-540-42265-X,"Advances in Databases, 18th British National Conference on Databases, {BNCOD} 18, Chilton, UK, July 9-11, 2001, Proceedings",Lecture Notes in Computer Science,,2001,proceedings,,,2097,,,,
1213,Springer,3-540-22382-7,"Key Technologies for Data Management, 21st British National Conference
on Databases, {BNCOD} 21, Edinburgh, UK, July 7-9, 2004, Proceedings",Lecture Notes in Computer Science,,2004,proceedings,,,3112,,,,
1214,,,"Special Features of NBS's Omnidata System Applicable to the Retrieval, Analysis, and Dissemination of Chemical Data",,John W. Murdock,1980,article,Journal of Chemical Information and Computer Sciences,3,20,http://dx.doi.org/10.1021/ci60023a003,136--138,,
1215,,,BigCube: {A} Metamodel for Managing Multidimensional Data,,"Ganesh Viswanathan and
Markus Schneider",2010,inproceedings,,,,,237--242,"{ISCA} 19th International Conference on Software Engineeringand Data
Engineering {(SEDE-2010)} June 16-18, 2010, Hilton Fisherman's Wharf, San Francisco, CA, {USA}",DBLP:conf/sede/2010
1216,,,"Overview of the {IMSA} project, a patient-oriented information system",,Olivier Cur{\'{e}},2002,article,Data Science Journal,2,1,http://dx.doi.org/10.2481/dsj.1.193,66--75,,
1217,,,Instance,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_406,549,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1218,,,"Capturing and supporting contexts for scientific data sharing via
the biological sciences collaboratory",,"George Chin Jr. and
Carina Lansing",2004,inproceedings,,,,http://doi.acm.org/10.1145/1031607.1031677,409--418,"Proceedings of the 2004 {ACM} Conference on Computer Supported Cooperative
Work, {CSCW} 2004, Chicago, Illinois, USA, November 6-10, 2004",DBLP:conf/cscw/2004
1219,,,"Using machine learning techniques to enhance the performance of an
automatic backup and recovery system",,"Dan Pelleg and
Eran Raichstein and
Amir Ronen",2010,inproceedings,,,,http://doi.acm.org/10.1145/1815695.1815697,,"Proceedings of of {SYSTOR} 2010: The 3rd Annual Haifa Experimental
Systems Conference, Haifa, Israel, May 24-26, 2010",DBLP:conf/systor/2010
1220,,,Preprocessing Input Data for Machine Learning by {FCA},,Jan Outrata,2010,inproceedings,,,,http://ceur-ws.org/Vol-672/paper17.pdf,187--198,"Proceedings of the 7th International Conference on Concept Lattices
and Their Applications, Sevilla, Spain, October 19-21, 2010",DBLP:conf/cla/2010
1221,,,Structured biological data in the molecular access system,,"Sandor Barcza and
Lawrence A. Kelly and
Siegfried S. Wahrman and
Richard E. Kirschenbaum",1985,article,Journal of Chemical Information and Computer Sciences,1,25,http://dx.doi.org/10.1021/ci00045a013,55--59,,
1222,,,Connections Between Inductive Inference and Machine Learning,,"John Case and
Sanjay Jain",2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_160,210--219,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1223,,,Posterior Probability,,Geoffrey I. Webb,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_648,780,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1224,,,Parallel-processing applications for data analysis in the social sciences,,"John Skvoretz and
Shelley A. Smith and
Chuck Baldwin",1992,article,Concurrency - Practice and Experience,3,4,http://dx.doi.org/10.1002/cpe.4330040302,207--221,,
1225,,,"Opening the Knowledge Tombs - Web Based Text Mining as Approach for
Re-evaluation of Machine Learning Rules",,"Milan Zorman and
Sandi Pohorec and
Bostjan Brumen",2010,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-15576-5_40,533--542,"Advances in Databases and Information Systems - 14th East European
Conference, {ADBIS} 2010, Novi Sad, Serbia, September 20-24, 2010.
Proceedings",DBLP:conf/adbis/2010
1226,,,"Improving kernel-energy trade-offs for machine learning in implantable
and wearable biomedical applications",,"Kyong{-}Ho Lee and
Sun{-}Yuan Kung and
Naveen Verma",2011,inproceedings,,,,http://dx.doi.org/10.1109/ICASSP.2011.5946802,1597--1600,"Proceedings of the {IEEE} International Conference on Acoustics, Speech, and Signal Processing, {ICASSP} 2011, May 22-27, 2011, Prague Congress
Center, Prague, Czech Republic",DBLP:conf/icassp/2011
1227,,,"BioDataServer: {A} SQL-based service for the online integration of
life science data",,"Andreas Freier and
Ralf Hofest{\""{a}}dt and
Matthias Lange and
Uwe Scholz and
Andreas Stephanik",2002,article,In Silico Biology,2,2,http://content.iospress.com/articles/in-silico-biology/isb00028,37--57,,
1228,,,Deduplication,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_207,267,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1229,Springer,978-3-642-12210-1,"Evolutionary Computation, Machine Learning and Data Mining in Bioinformatics, 8th European Conference, EvoBIO 2010, Istanbul, Turkey, April 7-9, 2010. Proceedings",Lecture Notes in Computer Science,,2010,proceedings,,,6023,http://dx.doi.org/10.1007/978-3-642-12211-8,,,
1230,Morgan {\&} Claypool Publishers,,Data Integration: The Relational Logic Approach,Synthesis Lectures on Artificial Intelligence and Machine Learning,Michael R. Genesereth,2010,book,,,,http://dx.doi.org/10.2200/S00226ED1V01Y200911AIM008,,Data Integration: The Relational Logic Approach,
1231,,,Minimum Description Length Principle,,Jorma Rissanen,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_540,666--668,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1232,,,"Estimating vegetation height and canopy cover from remotely sensed
data with machine learning",,"Daniela Stojanova and
Pance Panov and
Valentin Gjorgjioski and
Andrej Kobler and
Saso Dzeroski",2010,article,Ecological Informatics,4,5,http://dx.doi.org/10.1016/j.ecoinf.2010.03.004,256--266,,
1233,,,"Using Polynomial Smoothing and Data Bounding for the Detection of
Adverse Process Changes in a Chemical Process",,"Paul R. Sebastian and
David E. Booth and
Michael Y. Hu",1994,article,Journal of Chemical Information and Computer Sciences,4,34,http://dx.doi.org/10.1021/ci00020a023,881--889,,
1234,,,Operating System Principles and Undergraduate Computer Science Curicula,,Peter J. Denning,1972,article,{DATA} {BASE},2,4,http://doi.acm.org/10.1145/2579434.2579437,5--10,,
1235,,,"Acquisition of adaptive walking behaviors using machine learning with
Central Pattern Generator",,"Takahiro Sato and
Kota Watanabe and
Hajime Igarashi",2010,inproceedings,,,,http://dx.doi.org/10.1109/IJCNN.2010.5596483,1--8,"International Joint Conference on Neural Networks, {IJCNN} 2010, Barcelona, Spain, 18-23 July, 2010",DBLP:conf/ijcnn/2010
1236,,,"Mining {RNA} Structure Elements from the Structure Data of Protein-RNA
Complexes",,"Daeho Lim and
Kyungsook Han",2003,inproceedings,,,,http://dx.doi.org/10.1007/978-3-540-39644-4_33,352--359,"Discovery Science, 6th International Conference, {DS} 2003, Sapporo, Japan, October 17-19,2003, Proceedings",DBLP:conf/dis/2003
1237,,,Ordinal Attribute,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_619,743,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1238,,,"Statistical Machine Learning for Automatic Assessment of Physical
Activity Intensity Using Multi-axial Accelerometry and Heart Rate",,"Fernando Garc{\'{\i}}a{-}Garc{\'{\i}}a and
Gema Garc{\'{\i}}a{-}S{\'{a}}ez and
Paloma Chausa and
I{\~{n}}aki Mart{\'{\i}}nez{-}Sarriegui and
Pedro Jos{\'{e}} Benito and
Enrique J. G{\'{o}}mez and
M. Elena Hernando",2011,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-22218-4_9,70--79,"Artificial Intelligence in Medicine - 13th Conference on Artificial
Intelligence in Medicine, {AIME} 2011, Bled, Slovenia, July 2-6, 2011.
Proceedings",DBLP:conf/aime/2011
1239,,,Concepts of Emergence Index in Image Databases,,Sagarmay Deb,2005,incollection,,,,http://www.igi-global.com/Bookstore/Chapter.aspx?TitleId=14290,519--522,Encyclopedia of Information Science and Technology {(5} Volumes),DBLP:books/idea/Ency05
1240,,,A relational model of non-deterministic dataflow,,"Thomas T. Hildebrandt and
Prakash Panangaden and
Glynn Winskel",2004,article,Mathematical Structures in Computer Science,5,14,http://dx.doi.org/10.1017/S0960129504004293,613--649,,
1241,,,Search Bias,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_743,881,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1242,,,Matrix Completion from Noisy Entries,,"Raghunandan H. Keshavan and
Andrea Montanari and
Sewoong Oh",2010,article,Journal of Machine Learning Research,,11,http://portal.acm.org/citation.cfm?id=1859920,2057--2078,,
1243,,,"Different Discrete Wavelet Transforms Applied to Denoising Analytical
Data",,"Chunsheng Cai and
Peter de B. Harrington",1998,article,Journal of Chemical Information and Computer Sciences,6,38,http://dx.doi.org/10.1021/ci980210j,1161--1170,,
1244,,,Credit Card Users' Data Mining,,"Andr{\'{e}} Carlos Ponce Leon Ferreira de Carvalho and
Ant{\^{o}}nio de P{\'{a}}dua Braga and
Teresa Bernarda Ludermir",2005,incollection,,,,http://www.igi-global.com/Bookstore/Chapter.aspx?TitleId=14305,603--605,Encyclopedia of Information Science and Technology {(5} Volumes),DBLP:books/idea/Ency05
1245,,,"Reactive chemical hedges: a search tool for comprehensive retrieval
of chemical safety data",,"Gerald L. Curnutt and
Kirk L. Curnutt",1991,article,Journal of Chemical Information and Computer Sciences,1,31,http://dx.doi.org/10.1021/ci00001a020,116--119,,
1246,,,"An Efficient Algorithm for Enumerating Closed Patterns in Transaction
Databases",,"Takeaki Uno and
Tatsuya Asai and
Yuzo Uchida and
Hiroki Arimura",2004,inproceedings,,,,http://dx.doi.org/10.1007/978-3-540-30214-8_2,16--31,"Discovery Science, 7th International Conference, {DS} 2004, Padova, Italy, October 2-5, 2004, Proceedings",DBLP:conf/dis/2004
1247,,,"Information system for production engineering: contribution to maintaining
consistency of composite data using an object-oriented approach",,"Djibril Ndiaye and
Michel Bigand and
Didier Corbeel and
Jean Pierre Bourey",2002,article,Int. J. Computer Integrated Manufacturing,3,15,http://dx.doi.org/10.1080/09511920110056569,233--241,,
1248,,,"Bigtable: {A} Distributed Storage System for Structured Data (Awarded
Best Paper!)",,"Fay Chang and
Jeffrey Dean and
Sanjay Ghemawat and
Wilson C. Hsieh and
Deborah A. Wallach and
Michael Burrows and
Tushar Chandra and
Andrew Fikes and
Robert Gruber",2006,inproceedings,,,,http://www.usenix.org/events/osdi06/tech/chang.html,205--218,"7th Symposium on Operating Systems Design and Implementation {(OSDI}
'06), November 6-8, Seattle, WA, {USA}",DBLP:conf/osdi/2006
1249,,,The Machine Learning and Traveling Repairman Problem,,"Theja Tulabandhula and
Cynthia Rudin and
Patrick Jaillet",2011,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-24873-3_20,262--276,"Algorithmic Decision Theory - Second International Conference, {ADT}
2011, Piscataway, NJ, USA, October 26-28, 2011. Proceedings",DBLP:conf/aldt/2011
1250,,,A two-stage machine learning approach for pathway analysis,,"Wei Zhang and
Scott J. Emrich and
Erliang Zeng",2010,inproceedings,,,,http://dx.doi.org/10.1109/BIBM.2010.5706576,274--279,"2010 {IEEE} International Conference on Bioinformatics and Biomedicine, {BIBM} 2010, Hong Kong, China, 18 - 21 December 2010, Proceedings",DBLP:conf/bibm/2010
1251,,,Mining Semi-structured Data by Path Expressions,,"Katsuaki Taniguchi and
Hiroshi Sakamoto and
Hiroki Arimura and
Shinichi Shimozono and
Setsuo Arikawa",2001,inproceedings,,,,http://dx.doi.org/10.1007/3-540-45650-3_32,378--388,"Discovery Science, 4th International Conference, {DS} 2001, Washington, DC, USA, November 25-28, 2001, Proceedings",DBLP:conf/dis/2001
1252,,,"Building {XML} Applications in Science and Technology: {XML} Schema
for Scientific Databases",,Zhongyu Lu,2002,inproceedings,,,,,395--402,"Proceedings of the {IADIS} International Conference WWW/Internet 2002, {ICWI} 2002, Lisbon, Portugal, November 13-15, 2002",DBLP:conf/iadis/2002icwi
1253,,,"Harnessing Twitter ""Big Data"" for Automatic Emotion Identification",,"Wenbo Wang and
Lu Chen and
Krishnaprasad Thirunarayan and
Amit P. Sheth",2012,inproceedings,,,,http://dx.doi.org/10.1109/SocialCom-PASSAT.2012.119,587--592,"2012 International Conference on Privacy, Security, Risk and Trust, {PASSAT} 2012, and 2012 International Confernece on Social Computing, SocialCom 2012, Amsterdam, Netherlands, September 3-5, 2012",DBLP:conf/socialcom/2012
