ID,Title,Episodes,Producers,Genres,Type,Year,Rating
615,Kuroshitsuji,24,A-1 Pictures,"['Based on a Manga', 'Comedy', 'Europe', 'Master-Servant Relationship', 'Supernatural']",TV,2008,4.18
616,Gekijouban Fate/stay night: Unlimited Blade Works,1,Studio Deen,"['Action', 'Fantasy', 'Magic', 'Superpowers', 'Violence']",Movie,2010,4.18
617,Fate/stay night: Unlimited Blade Works,1,Studio Deen,"['Action', 'Fantasy', 'Magic', 'Superpowers', 'Violence']",Movie,2010,4.18
618,Ginga: Nagareboshi Gin,21,Toei Animation,"['Action', 'Adventure', 'Animal Protagonists', 'Based on a Manga']",TV,1986,4.18
619,Silver Fang,21,Toei Animation,"['Action', 'Adventure', 'Animal Protagonists', 'Based on a Manga']",TV,1986,4.18
620,Byousoku 5 Centimeter,1,CoMix Wave Inc.,"['Drama', 'Original Work', 'Romance', 'Trains']",Movie,2007,4.18
621,5 Centimeters per Second,1,CoMix Wave Inc.,"['Drama', 'Original Work', 'Romance', 'Trains']",Movie,2007,4.18
622,Emma Second Act,12,Studio Pierrot,"['Based on a Manga', 'Drama', 'Europe', 'Maids', 'Romance', 'Work Life']",TV,2007,4.18
623,Victorian Romance Emma: Second Act,12,Studio Pierrot,"['Based on a Manga', 'Drama', 'Europe', 'Maids', 'Romance', 'Work Life']",TV,2007,4.18
624,Zoku Sayonara Zetsubou Sensei,13,Shaft,"['Based on a Manga', 'Comedy', 'School Life', 'Slice of Life', 'Suicide']",TV,2008,4.18
625,Detective Conan Movie 8: Magician of the Silver Sky,1,TMS Entertainment,"['Detectives', 'Mystery']",Movie,2004,4.28
626,Meitantei Conan Movie 8: Ginyoku no kijutsushi,1,TMS Entertainment,"['Detectives', 'Mystery']",Movie,2004,4.28
627,Break Blade Movie 6: Doukoku no Toride,1,Production I.G,"['Action', 'Fantasy', 'Magic', 'Mecha', 'Military', 'Violence', 'War']",Movie,2011,4.28
628,Broken Blade: Fortress of Lamentation,1,Production I.G,"['Action', 'Fantasy', 'Magic', 'Mecha', 'Military', 'Violence', 'War']",Movie,2011,4.28
629,Junjou Romantica,12,Studio Deen,"['Age Gap', 'Based on a Manga', 'Comedy', 'Drama', 'LGBT Themes', 'Romance', 'Sexual Content', 'Shounen-ai', 'Yaoi Hand Syndrome']",TV,2008,4.28
630,Gekijouban Major,1,XEBEC,"['Baseball', 'Shounen', 'Sports']",Movie,2008,4.28
631,Major: Yuujou no Winning Shot,1,XEBEC,"['Baseball', 'Shounen', 'Sports']",Movie,2008,4.28
632,Seitokai Yakuindomo* OVA,4+,GoHands,"['Based on a Manga', 'Comedy', 'Crude', 'Parody', 'School Life', 'Sexual Content']",OVA,2014,4.28
633,One Piece: Strong World Episode 0,1,Toei Animation,"['Action', 'Adventure', 'Pirates', 'Shounen', 'Superpowers']",OVA,2010,4.28
634,Kenichi the Mightiest Disciple OVA,11,Brains-Base,"['Action', 'Hand to Hand Combat', 'Martial Arts', 'Shounen']",OVA,2012,4.28
635,History's Strongest Disciple Kenichi OVA,11,Brains-Base,"['Action', 'Hand to Hand Combat', 'Martial Arts', 'Shounen']",OVA,2012,4.28
636,Shijou Saikyou no Deshi Kenichi OVA,11,Brains-Base,"['Action', 'Hand to Hand Combat', 'Martial Arts', 'Shounen']",OVA,2012,4.28
637,Ghost in the Shell 2.0,1,Production I.G,"['Cyberpunk', 'Cyborgs', 'Futuristic', 'Hacking', 'Sci Fi']",Movie,2008,4.28
638,Koukaku Kidoutai 2.0,1,Production I.G,"['Cyberpunk', 'Cyborgs', 'Futuristic', 'Hacking', 'Sci Fi']",Movie,2008,4.28
639,Hybrid Child,4,Studio Deen,"['Androids', 'Drama', 'Feudal Japan', 'Historical', 'Robots', 'Romance', 'Samurai', 'Shounen-ai']",OVA,2014,4.27
640,Spice and Wolf II OVA,1,Brains-Base,"['Adventure', 'Fantasy']",OVA,2009,4.27
641,Ghost in the Shell,1,Production I.G,"['Cyberpunk', 'Cyborgs', 'Futuristic', 'Hacking', 'Police', 'Sci Fi']",Movie,1995,4.27
642,Kokuriko-Zaka Kara,1,Studio Ghibli,"['Based on a Manga', 'Coming of Age', 'Drama', 'Historical', 'Romance', 'School Life', 'Slice of Life']",Movie,2011,4.27
643,From Up On Poppy Hill,1,Studio Ghibli,"['Based on a Manga', 'Coming of Age', 'Drama', 'Historical', 'Romance', 'School Life', 'Slice of Life']",Movie,2011,4.27
644,Gosick,24,Bones,"['Based on a Light Novel', 'Detectives', 'Europe', 'Mystery', 'Violence']",TV,2010,4.27
645,Jormungand,12,WHITE FOX,"['Action', 'Based on a Manga', 'Gunfights', 'Mercenaries', 'Violence']",TV,2012,4.27
646,K: Missing Kings,1,GoHands,"['Action', 'Original Work', 'Superpowers']",Movie,2014,4.27
647,Eiga K,1,GoHands,"['Action', 'Original Work', 'Superpowers']",Movie,2014,4.27
648,Gekijouban Tengen Toppa Gurren Lagann: Guren-hen,1,Gainax,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Recap', 'Sci Fi', 'Shounen']",Movie,2008,4.27
649,Gurren Lagann Movie 1: Childhood's End,1,Gainax,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Recap', 'Sci Fi', 'Shounen']",Movie,2008,4.27
650,Tengen Toppa Gurren Lagann: Guren-Hen,1,Gainax,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Recap', 'Sci Fi', 'Shounen']",Movie,2008,4.27
651,One Piece: Episode of Sabo,1,Toei Animation,"['Action', 'Adventure', 'Based on a Manga', 'Pirates', 'Shounen', 'Superpowers']",TV Special,2015,4.27
652,One Piece: Episode of Sabo - Bond of Three Brothers - A Miraculous Reunion and an Inherited Will,1,Toei Animation,"['Action', 'Adventure', 'Based on a Manga', 'Pirates', 'Shounen', 'Superpowers']",TV Special,2015,4.27
653,Kill La Kill,24,Studio Trigger,"['Action', 'Aliens', 'Comedy', 'Ecchi', 'Original Work', 'School Life', 'Sci Fi', 'Superpowers', 'Swordplay']",TV,2013,4.27
654,Kiki's Delivery Service,1,Studio Ghibli,"['Based on a Novel', 'Europe', 'Family Friendly', 'Fantasy', 'Magic', 'Slice of Life']",Movie,1989,4.27
655,Majo no Takkyubin,1,Studio Ghibli,"['Based on a Novel', 'Europe', 'Family Friendly', 'Fantasy', 'Magic', 'Slice of Life']",Movie,1989,4.27
656,Sekai-ichi Hatsukoi ~Valentine-hen~,1,Studio Deen,"['Comedy', 'Shorts', 'Shounen-ai']",Movie,2014,4.27
657,Hidamari Sketch: Sae Hiro Sotsugyou-hen,2,Shaft,"[]",Other,2013,4.27
658,Charlotte,13,P.A. Works,"['Comedy', 'Drama', 'Original Work', 'School Life', 'Supernatural', 'Superpowers']",TV,2015,4.27
659,Kamisama Hajimemashita,13,TMS Entertainment,"['Based on a Manga', 'Comedy', 'Fantasy', 'Japanese Mythology', 'Master-Servant Relationship', 'Romance', 'Shoujo']",TV,2012,4.26
660,Kamisama Kiss,13,TMS Entertainment,"['Based on a Manga', 'Comedy', 'Fantasy', 'Japanese Mythology', 'Master-Servant Relationship', 'Romance', 'Shoujo']",TV,2012,4.26
661,Kara no Kyoukai Movie 6: Boukyaku Rokuon,1,ufotable,"['Based on a Light Novel', 'Drug Use', 'Mystery', 'Supernatural']",Movie,2008,4.26
662,Snow White with the Red Hair,12,Bones,"['Based on a Manga', 'Drama', 'Fantasy', 'Romance']",TV,2015,4.26
663,Akagami no Shirayukihime,12,Bones,"['Based on a Manga', 'Drama', 'Fantasy', 'Romance']",TV,2015,4.26
664,Phantom ~Requiem for the Phantom~,26,BEE TRAIN,"['Action', 'Assassins', 'Based on a Visual Novel', 'Gunfights', 'Nudity', 'Psychological', 'Violence']",TV,2009,4.26
665,Fullmetal Alchemist: Brotherhood Specials,4,Bones,"['Action', 'Comedy', 'Drama', 'Fantasy']",DVD Special,2009,4.26
666,Fullmetal Alchemist: Brotherhood OVA Collection,4,Bones,"['Action', 'Comedy', 'Drama', 'Fantasy']",DVD Special,2009,4.26
667,K-On!!,26,Kyoto Animation,"['Based on a Manga', 'Comedy', 'Moe', 'Music', 'School Club', 'School Life', 'Slice of Life']",TV,2010,4.26
668,Blast of Tempest,24,Bones,"['Adventure', 'Drama', 'Magic', 'Revenge']",TV,2012,4.26
669,Zetsuen no Tempest: The Civilization Blaster,24,Bones,"['Adventure', 'Drama', 'Magic', 'Revenge']",TV,2012,4.26
670,Ao no Exorcist,25,A-1 Pictures,"['Action', 'Based on a Manga', 'Demons', 'Fantasy', 'Shounen', 'Supernatural']",TV,2011,4.26
671,Blue Exorcist,25,A-1 Pictures,"['Action', 'Based on a Manga', 'Demons', 'Fantasy', 'Shounen', 'Supernatural']",TV,2011,4.26
672,Detective Conan Movie 5: Countdown to Heaven,1,TMS Entertainment,"['Detectives']",Movie,2001,4.26
673,Meitantei Conan Movie 5: Tengoku no Countdown,1,TMS Entertainment,"['Detectives']",Movie,2001,4.26
674,New Initial D Movie: Legend 1 - Kakusei,1,SANZIGEN Animation Studio,"['Cars']",Movie,2014,4.26
675,Aria the Origination Special,1,Hal Film Maker,"['Based on a Manga', 'Slice of Life']",DVD Special,2008,4.26
676,Lovely Complex,24,Toei Animation,"['Based on a Manga', 'Comedy', 'Romance', 'School Life', 'Shoujo']",TV,2007,4.26
677,Dragon Ball Kai (2014),61,Toei Animation,"['Action', 'Based on a Manga', 'Hand to Hand Combat', 'Martial Arts', 'Superpowers']",TV,2014,4.26
678,Ultimate Survivor Kaiji,26,MADHOUSE,"['Based on a Manga', 'Debt', 'Gambling', 'High Stakes Games', 'Psychological', 'Seinen', 'Thriller']",TV,2007,4.26
679,Kaiji,26,MADHOUSE,"['Based on a Manga', 'Debt', 'Gambling', 'High Stakes Games', 'Psychological', 'Seinen', 'Thriller']",TV,2007,4.26
680,Berserk,25,OLM,"['Action', 'Based on a Manga', 'Demons', 'Dystopia', 'Explicit Sex', 'Explicit Violence', 'Fantasy', 'Medieval', 'Mercenaries', 'Sexual Abuse', 'Swordplay']",TV,1997,4.26
681,Gangsta.,12,Manglobe,"['Action', 'Based on a Manga', 'Drug Use', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Seinen', 'Sexual Content']",TV,2015,4.26
682,Naruto Shippuden Movie 7: The Last,1,Studio Pierrot,"['Action', 'Based on a Manga', 'Ninja', 'Romance', 'Shounen']",Movie,2014,4.26
683,The Last: Naruto the Movie,1,Studio Pierrot,"['Action', 'Based on a Manga', 'Ninja', 'Romance', 'Shounen']",Movie,2014,4.26
684,Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,1,Shuka,"['Supernatural']",Other,2015,4.25
685,Durarara!!x2 Shou Episode 4.5,1,Shuka,"['Supernatural']",Other,2015,4.25
686,Broken Blade: The Time of Awakening,1,Production I.G,"['Action', 'Fantasy', 'Magic', 'Mecha', 'Military', 'War']",Movie,2010,4.25
687,Break Blade Movie 1: Kakusei no Toki,1,Production I.G,"['Action', 'Fantasy', 'Magic', 'Mecha', 'Military', 'War']",Movie,2010,4.25
688,Kino's Journey: Life Goes On,1,A.C.G.T.,"['Adventure', 'Fantasy']",Movie,2005,4.25
689,The Seven Deadly Sins OVA,2,A-1 Pictures,"['Action', 'Adventure', 'Based on a Manga', 'Fantasy', 'Shounen', 'Superpowers']",OVA,2015,4.25
690,Log Horizon 2,25,Studio Deen,"['Adventure', 'Based on a Novel', 'Fantasy', 'MMORPG', 'Person in a Strange World', 'RPG', 'Sci Fi', 'Virtual Reality']",TV,2014,4.25
691,Sekai-ichi Hatsukoi,2,Studio Deen,"['Based on a Manga', 'Comedy', 'Romance', 'School Life', 'Shounen-ai']",OVA,2011,4.25
692,Kemono no Souja Erin,50,Production I.G,"['Adventure', 'Based on a Novel', 'Drama', 'Family Friendly', 'Fantasy', 'Political', 'Slice of Life']",TV,2009,4.25
693,Erin,50,Production I.G,"['Adventure', 'Based on a Novel', 'Drama', 'Family Friendly', 'Fantasy', 'Political', 'Slice of Life']",TV,2009,4.25
694,Baka to Test to Shoukanjuu 2,13,SILVER LINK,"['Based on a Light Novel', 'Comedy', 'Magic', 'Magic School', 'School Life']",TV,2011,4.25
695,Clannad: Another World Kyou Chapter,1,Kyoto Animation,"['Based on a Visual Novel', 'Drama', 'Romance']",DVD Special,2009,4.25
696,Case Closed Movie 3: The Last Magician of the Century,1,TMS Entertainment,"['Detectives', 'Mystery', 'Thieves']",Movie,1999,4.25
697,Detective Conan Movie 3: The Last Magician of the Century,1,TMS Entertainment,"['Detectives', 'Mystery', 'Thieves']",Movie,1999,4.25
698,Meitantei Conan Movie 3: Seikimatsu no Majutsushi,1,TMS Entertainment,"['Detectives', 'Mystery', 'Thieves']",Movie,1999,4.25
699,Persona 3 The Movie 1: Spring of Birth,1,AIC A.S.T.A.,"['Based on a Video Game']",Movie,2013,4.25
700,Prince of Tennis: National Championship Semifinal,6,,"['Comedy', 'Sports', 'Tennis']",OVA,2007,4.25
701,Tennis no Ouji-sama: Zenkoku Taikai-hen Semifinal,6,,"['Comedy', 'Sports', 'Tennis']",OVA,2007,4.25
702,Tamako Love Story,1,Kyoto Animation,"['Romance', 'Slice of Life']",Movie,2014,4.25
703,Koukaku Kidoutai Arise: Ghost in the Shell,4,Production I.G,"[]",Other,2013,4.24
704,Ghost in the Shell: Arise,4,Production I.G,"[]",Other,2013,4.24
705,Bureau of Proto Society,1,Studio Trigger,"['Japan Animator's Exhibition', 'Sci Fi', 'Shorts']",Web,2015,4.24
706,Magical Girl Lyrical Nanoha The MOVIE 1st,1,Seven Arcs,"[]",Movie,2010,4.24
707,Chuunibyou Demo Koi ga Shitai!,12,Kyoto Animation,"['Based on a Light Novel', 'Comedy', 'Drama', 'Romance', 'School Life']",TV,2012,4.24
708,Love Chunibyo & Other Delusions!,12,Kyoto Animation,"['Based on a Light Novel', 'Comedy', 'Drama', 'Romance', 'School Life']",TV,2012,4.24
709,Ace of the Diamond,75,Production I.G,"['Baseball', 'Based on a Manga', 'Drama', 'Sports']",TV,2013,4.24
710,Daiya no Ace,75,Production I.G,"['Baseball', 'Based on a Manga', 'Drama', 'Sports']",TV,2013,4.24
711,Yu Yu Hakusho,112,Studio Pierrot,"['Action', 'Based on a Manga', 'Demons', 'Hand to Hand Combat', 'Shounen', 'Supernatural', 'Tournaments']",TV,1992,4.24
712,Lupin III: Jigen Daisuke no Bohyou,1,Telecom Animation Film,"['Action', 'Nudity', 'Thieves', 'Violence']",Movie,2014,4.24
713,Lupin III: Jigen's Gravestone,1,Telecom Animation Film,"['Action', 'Nudity', 'Thieves', 'Violence']",Movie,2014,4.24
714,Wolf's Rain OVA,4,Bones,"['Adventure', 'Dystopia', 'Fantasy', 'Mystery', 'Original Work', 'Post-apocalyptic']",OVA,2004,4.24
715,Colorful (2010),1,Ascension,"['Based on a Novel', 'Drama', 'Mature Themes', 'School Life', 'Suicide', 'Supernatural']",Movie,2010,4.24
716,Aria the Natural,26,Hal Film Maker,"['Based on a Manga', 'Slice of Life', 'Work Life']",TV,2006,4.24
717,Paprika,1,MADHOUSE,"['Based on a Novel', 'Futuristic', 'Hacking', 'Psychological', 'Sci Fi']",Movie,2006,4.24
718,Touhou Gensou Mangekyou: The Memories of Phantasm,3+,,"['Based on a Doujinshi', 'Based on a Video Game', 'Fantasy', 'Japanese Mythology', 'Magic']",Other,2011,4.24
719,Shirobako,24,P.A. Works,"['Anime Industry', 'Comedy', 'Drama', 'Original Work', 'Otaku Culture', 'Slice of Life', 'Work Life']",TV,2014,4.24
720,Aria the OVA: Arietta,1,Hal Film Maker,"['Based on a Manga', 'Slice of Life']",OVA,2007,4.24
721,Saint Seiya: The Lost Canvas - Meiou Shinwa,13,TMS Entertainment,"['Action', 'Europe', 'Fantasy', 'Hand to Hand Combat', 'Sci Fi', 'Shounen', 'Superpowers', 'Violence']",OVA,2009,4.23
722,Yahari Ore no Seishun Love Come wa Machigatteiru.,13,Brains-Base,"['Based on a Light Novel', 'Comedy', 'School Club', 'School Life']",TV,2013,4.23
723,My youth romantic comedy is wrong as I expected.,13,Brains-Base,"['Based on a Light Novel', 'Comedy', 'School Club', 'School Life']",TV,2013,4.23
724,My Teen Romantic Comedy SNAFU,13,Brains-Base,"['Based on a Light Novel', 'Comedy', 'School Club', 'School Life']",TV,2013,4.23
725,Kami nomi zo Shiru Sekai: Ayukawa Tenri Hen,2,Manglobe,"['Comedy', 'Demons', 'Fantasy', 'Romance']",OVA,2012,4.23
726,The World God Only Knows: Ayukawa Tenri Chapter,2,Manglobe,"['Comedy', 'Demons', 'Fantasy', 'Romance']",OVA,2012,4.23
727,There She Is!!,5,,"['Drama', 'Romance']",Web,2003,4.23
728,Baby Steps,25,Studio Pierrot,"['Based on a Manga', 'School Life', 'Sports', 'Tennis', 'Tournaments']",TV,2014,4.23
729,Detective Conan Movie 10: The Private Eyes' Requiem,1,TMS Entertainment,"['Detectives', 'Mystery', 'Thriller']",Movie,2006,4.23
730,Meitantei Conan Movie 10: Tantei-tachi no Requiem,1,TMS Entertainment,"['Detectives', 'Mystery', 'Thriller']",Movie,2006,4.23
731,Saiunkoku Monogatari 2nd Series,39,MADHOUSE,"['Based on a Light Novel', 'Drama', 'Fantasy', 'Political', 'Reverse Harem', 'Romance', 'Shoujo']",TV,2007,4.23
732,Interstella 5555 - The 5tory of the 5ecret 5tar 5ystem,1,Toei Animation,"['Idols', 'Music', 'Sci Fi']",Movie,2003,4.23
733,Hellsing Ultimate: Digest for Freaks,1,MADHOUSE,"['Action', 'Horror', 'Vampires']",TV Special,2006,4.23
734,Shiki Specials,2,Daume,"['Explicit Violence', 'Gore', 'Horror', 'Psychological', 'Supernatural', 'Vampires']",DVD Special,2011,4.23
735,Meitantei Conan Movie 16: 11-ninme no Striker,1,TMS Entertainment,"[]",Movie,2012,4.23
736,Detective Conan Movie 16: The Eleventh Striker,1,TMS Entertainment,"[]",Movie,2012,4.23
737,Space Dandy 2,13,Bones,"['Adventure', 'Comedy', 'Episodic', 'Original Work', 'Outer Space', 'Sci Fi']",TV,2014,4.23
738,Magic Kaito,12,TMS Entertainment,"['Action', 'Shounen', 'Thieves']",TV Special,2010,4.23
739,Kid The Phantom Thief,12,TMS Entertainment,"['Action', 'Shounen', 'Thieves']",TV Special,2010,4.23
740,Little Witch Academia,1,Studio Trigger,"['Anime Mirai', 'Comedy', 'Fantasy', 'Magic', 'Magic School']",Movie,2013,4.23
741,Towa no Quon 6: Towa no Quon,1,Bones,"['Sci Fi', 'Supernatural', 'Superpowers']",Movie,2011,4.23
742,Gundam 08th MS Team,12,Sunrise,"['Mecha', 'Military', 'Sci Fi', 'War']",OVA,1996,4.23
743,Mobile Suit Gundam 08th MS Team,12,Sunrise,"['Mecha', 'Military', 'Sci Fi', 'War']",OVA,1996,4.23
744,Kokoro Connect,13,SILVER LINK,"['Based on a Light Novel', 'Body Swapping', 'Drama', 'School Club', 'School Life', 'Supernatural']",TV,2012,4.22
745,Yamada-kun and the Seven Witches TV,12,LIDEN FILMS,"['Based on a Manga', 'Body Swapping', 'Comedy', 'Gender Bender', 'Romance', 'School Life', 'Supernatural']",TV,2015,4.22
746,Yamada-kun to 7-nin no Majo TV,12,LIDEN FILMS,"['Based on a Manga', 'Body Swapping', 'Comedy', 'Gender Bender', 'Romance', 'School Life', 'Supernatural']",TV,2015,4.22
747,Psycho-Pass 2,11,Tatsunoko Pro.,"['Animal Abuse', 'Cyberpunk', 'Dystopia', 'Explicit Violence', 'Futuristic', 'noitaminA', 'Original Work', 'Police', 'Sci Fi']",TV,2014,4.22
748,A Lull in the Sea,26,P.A. Works,"['Coming of Age', 'Drama', 'Fantasy', 'Love Triangle', 'Original Work', 'Romance']",TV,2013,4.22
749,Nagi no Asukara,26,P.A. Works,"['Coming of Age', 'Drama', 'Fantasy', 'Love Triangle', 'Original Work', 'Romance']",TV,2013,4.22
750,Nagi-Asu: A Lull in the Sea,26,P.A. Works,"['Coming of Age', 'Drama', 'Fantasy', 'Love Triangle', 'Original Work', 'Romance']",TV,2013,4.22
751,ef - a tale of memories,12,Shaft,"['Based on an Eroge', 'Based on a Visual Novel', 'Drama', 'Love Triangle', 'Romance', 'Sexual Content']",TV,2007,4.22
752,Yuusha-Oh GaoGaiGar Final,8,Sunrise,"['Action', 'Adventure', 'Aliens', 'Combining Mecha', 'Cyborgs', 'Mecha', 'Original Work', 'Sci Fi']",OVA,2000,4.22
753,GaoGaiGar Final,8,Sunrise,"['Action', 'Adventure', 'Aliens', 'Combining Mecha', 'Cyborgs', 'Mecha', 'Original Work', 'Sci Fi']",OVA,2000,4.22
754,King of Braves GaoGaiGar Final,8,Sunrise,"['Action', 'Adventure', 'Aliens', 'Combining Mecha', 'Cyborgs', 'Mecha', 'Original Work', 'Sci Fi']",OVA,2000,4.22
755,Your lie in April OVA,1,A-1 Pictures,"['Drama', 'Music', 'Tournaments']",OVA,2015,4.22
756,Shigatsu wa Kimi no Uso OVA,1,A-1 Pictures,"['Drama', 'Music', 'Tournaments']",OVA,2015,4.22
757,Macross Frontier,25,Satelight,"['Action', 'Aliens', 'Idols', 'Outer Space', 'Sci Fi']",TV,2007,4.22
758,Seitokai Yakuindomo OVA,8,GoHands,"['Based on a Manga', 'Comedy', 'Crude', 'Parody', 'School Life', 'Sexual Content']",OVA,2011,4.22
759,Prince of Tennis - National Championship,13,M.S.C.,"['Sports', 'Tennis']",OVA,2006,4.22
760,Tennis no Ouji-sama: Zenkoku Taikai hen,13,M.S.C.,"['Sports', 'Tennis']",OVA,2006,4.22
761,Haikyuu!!: Jump Festa 2014 Special,1,Production I.G,"['Based on a Manga', 'Sports']",Other,2014,4.22
762,Akame ga Kill!,24,WHITE FOX,"['Action', 'Assassins', 'Based on a Manga', 'Fantasy', 'Violence']",TV,2014,4.22
763,Ansatsu Kyoushitsu TV,22,Lerche,"['Action', 'Assassins', 'Based on a Manga', 'Comedy', 'School Life']",TV,2015,4.22
764,Assassination Classroom TV,22,Lerche,"['Action', 'Assassins', 'Based on a Manga', 'Comedy', 'School Life']",TV,2015,4.22
765,Tiger & Bunny,25,Sunrise,"['Action', 'Comedy', 'Original Work', 'Sci Fi', 'Superpowers']",TV,2011,4.22
766,Elfen Lied,13,ARMS,"['Animal Abuse', 'Based on a Manga', 'Emotional Abuse', 'Explicit Violence', 'Nudity', 'Physical Abuse', 'Psychological', 'Seinen', 'Sexual Abuse', 'Supernatural', 'Superpowers']",TV,2004,4.22
767,Iga no Kabamaru,24,Gallop,"['Comedy', 'School Life']",TV,1983,4.22
768,Code Geass: Lelouch of the Rebellion R2 Special Edition - Zero Requiem,1,Sunrise,"['Recap']",OVA,2009,4.22
769,Irresponsible Captain Tylor,26,Tatsunoko Pro.,"['Adventure', 'Aliens', 'Based on a Light Novel', 'Comedy', 'Military', 'Outer Space', 'Sci Fi', 'Space Opera']",TV,1993,4.11
770,Seraph of the End,12,Wit Studio,"['Action', 'Based on a Manga', 'Demons', 'Horror', 'Pandemic', 'Post-apocalyptic', 'Shounen', 'Supernatural', 'Vampires', 'Violence']",TV,2015,4.11
771,Owari no Seraph,12,Wit Studio,"['Action', 'Based on a Manga', 'Demons', 'Horror', 'Pandemic', 'Post-apocalyptic', 'Shounen', 'Supernatural', 'Vampires', 'Violence']",TV,2015,4.11
772,Seraph of the End: Vampire Reign,12,Wit Studio,"['Action', 'Based on a Manga', 'Demons', 'Horror', 'Pandemic', 'Post-apocalyptic', 'Shounen', 'Supernatural', 'Vampires', 'Violence']",TV,2015,4.11
773,XXXHOLiC,24,Production I.G,"['Based on a Manga', 'Comedy', 'Episodic', 'Japanese Mythology', 'Mysterious Shop', 'Supernatural']",TV,2006,4.11
774,Expelled From Paradise,1,Graphinica,"['Action', 'CG Animation', 'Hacking', 'Mecha', 'Post-apocalyptic', 'Robots', 'Sci Fi', 'Virtual Reality']",Movie,2014,4.11
775,A Certain Magical Index Movie,1,J.C.Staff,"['Action', 'Based on a Light Novel', 'Magic', 'Psychic Powers', 'Sci Fi', 'Supernatural', 'Superpowers']",Movie,2013,4.11
776,To Aru Majutsu no Index Movie,1,J.C.Staff,"['Action', 'Based on a Light Novel', 'Magic', 'Psychic Powers', 'Sci Fi', 'Supernatural', 'Superpowers']",Movie,2013,4.11
777,Un-Go episode:0 Inga-ron,1,Bones,"['noitaminA']",Movie,2011,4.11
778,Beyond the Boundary Episode 0: Shinonome,1,Kyoto Animation,"['Action', 'Fantasy', 'Magic']",DVD Special,2014,4.11
779,Kyoukai no Kanata Episode 0: Shinonome,1,Kyoto Animation,"['Action', 'Fantasy', 'Magic']",DVD Special,2014,4.11
780,Mawaru Penguin Drum,24,Brains-Base,"['Comedy', 'Drama', 'Original Work', 'Psychological', 'Supernatural']",TV,2011,4.11
781,Penguindrum,24,Brains-Base,"['Comedy', 'Drama', 'Original Work', 'Psychological', 'Supernatural']",TV,2011,4.11
782,Azumanga Daioh,26,J.C.Staff,"['Based on a Manga', 'Comedy', 'Episodic', 'School Life', 'Slice of Life']",TV,2002,4.11
783,Rage of Bahamut: Genesis,12,Mappa,"['Action', 'Adventure', 'Angels', 'Based on a Card Game', 'Bounty Hunters', 'Demons', 'Fantasy', 'Magic', 'Monsters']",TV,2014,4.11
784,Shingeki no Bahamut: Genesis,12,Mappa,"['Action', 'Adventure', 'Angels', 'Based on a Card Game', 'Bounty Hunters', 'Demons', 'Fantasy', 'Magic', 'Monsters']",TV,2014,4.11
785,Ore no Imouto ga Konna ni Kawaii Wake ga Nai Specials,4,AIC,"[]",DVD Special,2011,4.11
786,Gensou Maden Saiyuki Reload: Urasai,24,Studio Pierrot,"['Comedy', 'Omake']",DVD Special,2005,4.11
787,Saiyuki Reload: Urasai,24,Studio Pierrot,"['Comedy', 'Omake']",DVD Special,2005,4.11
788,Towa no Quon 3: Mugen no Renza,1,Bones,"['Sci Fi', 'Supernatural', 'Superpowers']",Movie,2011,4.11
789,Beyond the Boundary Movie: I'll Be Here - Kako-hen,1,Kyoto Animation,"['Based on a Light Novel', 'Fantasy', 'Recap']",Movie,2015,4.11
790,Kyoukai no Kanata Movie: I'll Be Here - Kako-hen,1,Kyoto Animation,"['Based on a Light Novel', 'Fantasy', 'Recap']",Movie,2015,4.11
791,Detective Conan Movie 17: Zekkai no Private Eye,1,TMS Entertainment,"[]",Movie,2013,4.11
792,Meitantei Conan Movie 17: Zekkai no Private Eye,1,TMS Entertainment,"[]",Movie,2013,4.11
793,Sword Art Online II,24,A-1 Pictures,"['Action', 'Adventure', 'Based on a Light Novel', 'Fantasy', 'Gunfights', 'MMORPG', 'Person in a Strange World', 'Sci Fi', 'Virtual Reality']",TV,2014,4.11
794,Kara no Kyoukai: Mirai Fukuin - Extra Chorus,1,ufotable,"['Based on a Light Novel', 'Drama', 'Mature Themes', 'Suicide']",Movie,2013,4.11
795,Gekijouban Kara no Kyoukai: Mirai Fukuin - The Garden of Sinners Recalled Out Summer - Extra Chorus,1,ufotable,"['Based on a Light Novel', 'Drama', 'Mature Themes', 'Suicide']",Movie,2013,4.11
796,Meitantei Conan Movie 7: Meikyuu no Crossroad,1,TMS Entertainment,"['Detectives', 'Mystery']",Movie,2003,4.11
797,Detective Conan Movie 7: Crossroad in the Ancient Capital,1,TMS Entertainment,"['Detectives', 'Mystery']",Movie,2003,4.11
798,Tekkon Kinkreet,1,Studio 4C,"['Drama', 'Fantasy', 'Psychological', 'Violence']",Movie,2006,4.1
799,The Familiar of Zero F,12,J.C.Staff,"['Based on a Light Novel', 'Comedy', 'Fantasy', 'Magic', 'Magic School', 'Master-Servant Relationship', 'Person in a Strange World', 'Tsundere']",TV,2012,4.1
