id,name,addr,city,phone,type,class
893,terrace,'400 w. 119th st.  between amsterdam and morningside aves.','new york',212/666-9490,continental,359
894,'the coffee pot','350 9th ave. at 49th st.','new york',212/265-3566,'coffee bar',360
895,'the savannah club','2420 broadway at 89th st.','new york',212/496-1066,american,361
896,'trattoria dell\'arte','900 7th ave.  between 56th and 57th sts.','new york',212/245-9800,italian,362
897,triangolo,'345 e. 83rd st.','new york',212/472-4488,italian,363
898,'tribeca grill','375 greenwich st.  near franklin st.','new york',212/941-3900,american,364
899,'trois jean','154 e. 79th st.  between lexington and 3rd aves.','new york',212/988-4858,'coffee bar',365
900,'tse yang','34 e. 51st st.','new york',212/688-5447,asian,366
901,'turkish kitchen','386 3rd ave.  between 27th and 28th sts.','new york',212/679-1810,'middle eastern',367
902,'two two two','222 w. 79th st.','new york',212/799-0400,american,368
903,'veniero\'s pasticceria','342 e. 11th st.  near 1st ave.','new york',212/674-7264,'coffee bar',369
904,verbena,'54 irving pl. at 17th st.','new york',212/260-5454,american,370
905,'victor\'s cafe','52 236 w. 52nd st.','new york',212/586-7714,'latin american',371
906,'vince & eddie\'s','70 w. 68th st.','new york',212/721-0068,american,372
907,vong,'200 e. 54th st.','new york',212/486-9592,american,373
908,'water club','500 e. 30th st.','new york',212/683-3333,american,374
909,west,'63rd street steakhouse 44 w. 63rd st.','new york',212/246-6363,american,375
910,xunta,'174 1st ave.  between 10th and 11th sts.','new york',212/614-0620,mediterranean,376
911,'zen palate','34 union sq. e at 16th st.','new york',212/614-9291,'and 212/614-9345 asian',377
912,zoe,'90 prince st.  between broadway and mercer st.','new york',212/966-6722,american,378
913,abbey,'163 ponce de leon ave.',atlanta,404/876-8532,international,379
914,'aleck\'s barbecue heaven','783 martin luther king jr. dr.',atlanta,404/525-2062,barbecue,380
915,'annie\'s thai castle','3195 roswell rd.',atlanta,404/264-9546,asian,381
916,anthonys,'3109 piedmont rd.  just south of peachtree rd.',atlanta,404/262-7379,american,382
917,'atlanta fish market','265 pharr rd.',atlanta,404/262-3165,american,383
918,'beesley\'s of buckhead','260 e. paces ferry road',atlanta,404/264-1334,continental,384
919,'bertolini\'s','3500 peachtree rd.  phipps plaza',atlanta,404/233-2333,italian,385
920,bistango,'1100 peachtree st.',atlanta,404/724-0901,mediterranean,386
921,'cafe renaissance','7050 jimmy carter blvd.  norcross',atlanta,770/441--0291,american,387
922,'camille\'s','1186 n. highland ave.',atlanta,404/872-7203,italian,388
923,cassis,'3300 peachtree rd.  grand hyatt',atlanta,404/365-8100,mediterranean,389
924,'city grill','50 hurt plaza',atlanta,404/524-2489,international,390
925,'coco loco','40  buckhead crossing mall on the sidney marcus blvd.',atlanta,404/364-0212,caribbean,391
926,'colonnade restaurant','1879 cheshire bridge rd.',atlanta,404/874-5642,southern,392
927,'dante\'s down the hatch  buckhead','3380 peachtree rd.',atlanta,404/266-1600,continental,393
928,'dante\'s down the hatch','underground underground mall  underground atlanta',atlanta,404/577-1800,continental,394
929,'fat matt\'s rib shack','1811 piedmont ave.  near cheshire bridge rd.',atlanta,404/607-1622,barbecue,395
930,'french quarter food shop','923 peachtree st.  at 8th st.',atlanta,404/875-2489,southern,396
931,'holt bros. bar-b-q','6359 jimmy carter blvd.  at buford hwy.  norcross',atlanta,770/242-3984,barbecue,397
932,'horseradish grill','4320 powers ferry rd.',atlanta,404/255-7277,southern,398
933,'hsu\'s gourmet','192 peachtree center ave.  at international blvd.',atlanta,404/659-2788,asian,399
934,'imperial fez','2285 peachtree rd.  peachtree battle condominium',atlanta,404/351-0870,mediterranean,400
935,kamogawa,'3300 peachtree rd.  grand hyatt',atlanta,404/841-0314,asian,401
936,'la grotta at ravinia dunwoody rd.','holiday inn/crowne plaza at ravinia  dunwoody',atlanta,770/395-9925,italian,402
937,'little szechuan','c buford hwy.  northwoods plaza  doraville',atlanta,770/451-0192,asian,403
938,'lowcountry barbecue','6301 roswell rd.  sandy springs plaza  sandy springs',atlanta,404/255-5160,barbecue,404
939,'luna si','1931 peachtree rd.',atlanta,404/355-5993,continental,405
940,'mambo restaurante cubano','1402 n. highland ave.',atlanta,404/874-2626,caribbean,406
941,'mckinnon\'s louisiane','3209 maple dr.',atlanta,404/237-1313,southern,407
942,'mi spia dunwoody rd.','park place  across from perimeter mall  dunwoody',atlanta,770/393-1333,italian,408
943,'nickiemoto\'s: a sushi bar','247 buckhead ave.  east village sq.',atlanta,404/842-0334,fusion,409
944,palisades,'1829 peachtree rd.',atlanta,404/350-6755,continental,410
945,'pleasant peasant','555 peachtree st.  at linden ave.',atlanta,404/874-3223,american,411
946,pricci,'500 pharr rd.',atlanta,404/237-2941,italian,412
947,'r.j.\'s uptown kitchen & wine bar','870 n. highland ave.',atlanta,404/875-7775,american,413
948,'rib ranch','25 irby ave.',atlanta,404/233-7644,barbecue,414
949,'sa tsu ki','3043 buford hwy.',atlanta,404/325-5285,asian,415
950,'sato sushi and thai','6050 peachtree pkwy.  norcross',atlanta,770/449-0033,asian,416
951,'south city kitchen','1144 crescent ave.',atlanta,404/873-7358,southern,417
952,'south of france','2345 cheshire bridge rd.',atlanta,404/325-6963,french,418
953,'stringer\'s fish camp and oyster bar','3384 shallowford rd.  chamblee',atlanta,770/458-7145,southern,419
954,'sundown cafe','2165 cheshire bridge rd.',atlanta,404/321-1118,american,420
955,'taste of new orleans','889 w. peachtree st.',atlanta,404/874-5535,southern,421
956,tomtom,'3393 peachtree rd.',atlanta,404/264-1163,continental,422
957,'antonio\'s','3700 w. flamingo','las vegas',702/252-7737,italian,423
958,'bally\'s big kitchen','3645 las vegas blvd. s','las vegas',702/739-4111,buffets,424
959,'bamboo garden','4850 flamingo rd.','las vegas',702/871-3262,asian,425
960,'battista\'s hole in the wall','4041 audrie st. at flamingo rd.','las vegas',702/732-1424,italian,426
961,'bertolini\'s','3570 las vegas blvd. s','las vegas',702/735-4663,italian,427
962,'binion\'s coffee shop','128 fremont st.','las vegas',702/382-1600,'coffee shops/diners',428
963,bistro,'3400 las vegas blvd. s','las vegas',702/791-7111,continental,429
964,broiler,'4111 boulder hwy.','las vegas',702/432-7777,american,430
965,'bugsy\'s diner','3555 las vegas blvd. s','las vegas',702/733-3111,'coffee shops/diners',431
966,'cafe michelle','1350 e. flamingo rd.','las vegas',702/735-8686,american,432
967,'cafe roma','3570 las vegas blvd. s','las vegas',702/731-7547,'coffee shops/diners',433
968,'capozzoli\'s','3333 s. maryland pkwy.','las vegas',702/731-5311,italian,434
969,'carnival world','3700 w. flamingo rd.','las vegas',702/252-7777,buffets,435
970,'center stage plaza hotel','1 main st.','las vegas',702/386-2512,american,436
971,'circus circus','2880 las vegas blvd. s','las vegas',702/734-0410,buffets,437
972,'empress court','3570 las vegas blvd. s','las vegas',702/731-7888,asian,438
973,feast,'2411 w. sahara ave.','las vegas',702/367-2411,buffets,439
974,'golden nugget hotel','129 e. fremont st.','las vegas',702/385-7111,buffets,440
975,'golden steer','308 w. sahara ave.','las vegas',702/384-4470,'steak houses',441
976,'lillie langtry\'s','129 e. fremont st.','las vegas',702/385-7111,asian,442
977,'mandarin court','1510 e. flamingo rd.','las vegas',702/737-1234,asian,443
978,'margarita\'s mexican cantina','3120 las vegas blvd. s','las vegas',702/794-8200,mexican,444
979,'mary\'s diner','5111 w. boulder hwy.','las vegas',702/454-8073,'coffee shops/diners',445
980,mikado,'3400 las vegas blvd. s','las vegas',702/791-7111,asian,446
981,pamplemousse,'400 e. sahara ave.','las vegas',702/733-2066,continental,447
982,'ralph\'s diner','3000 las vegas blvd. s','las vegas',702/732-6330,'coffee shops/diners',448
983,'the bacchanal','3570 las vegas blvd. s','las vegas',702/731-7525,'only in las vegas',449
984,venetian,'3713 w. sahara ave.','las vegas',702/876-4190,italian,450
985,'viva mercado\'s','6182 w. flamingo rd.','las vegas',702/871-8826,mexican,451
986,'yolie\'s','3900 paradise rd.','las vegas',702/794-0700,'steak houses',452
987,2223,'2223 market st.','san francisco',415/431-0692,american,453
988,acquarello,'1722 sacramento st.','san francisco',415/567-5432,italian,454
989,'bardelli\'s','243 o\'farrell st.','san francisco',415/982-0243,'old san francisco',455
990,betelnut,'2030 union st.','san francisco',415/929-8855,asian,456
991,'bistro roti','155 steuart st.','san francisco',415/495-6500,french,457
992,bix,'56 gold st.','san francisco',415/433-6300,american,458
993,bizou,'598 fourth st.','san francisco',415/543-2222,french,459
994,'buca giovanni','800 greenwich st.','san francisco',415/776-7766,italian,460
995,'cafe adriano','3347 fillmore st.','san francisco',415/474-4180,italian,461
996,'cafe marimba','2317 chestnut st.','san francisco',415/776-1506,'mexican/latin american/spanish',462
997,'california culinary academy','625 polk st.','san francisco',415/771-3500,french,463
998,'capp\'s corner','1600 powell st.','san francisco',415/989-2589,italian,464
999,carta,'1772 market st.','san francisco',415/863-3516,american,465
1000,chevys,'4th and howard sts.','san francisco',415/543-8060,'mexican/latin american/spanish',466
1001,'cypress club','500 jackson st.','san francisco',415/296-8555,american,467
1002,'des alpes','732 broadway','san francisco',415/788-9900,french,468
1003,faz,'161 sutter st.','san francisco',415/362-0404,'greek and middle eastern',469
1004,'fog city diner','1300 battery st.','san francisco',415/982-2000,american,470
1005,'garden court','market and new montgomery sts.','san francisco',415/546-5011,'old san francisco',471
1006,'gaylord\'s','ghirardelli sq.','san francisco',415/771-8822,asian,472
1007,'grand cafe hotel monaco','501 geary st.','san francisco',415/292-0101,american,473
1008,greens,'bldg. a fort mason','san francisco',415/771-6222,vegetarian,474
1009,'harbor village','4 embarcadero center','san francisco',415/781-8833,asian,475
1010,'harris\'','2100 van ness ave.','san francisco',415/673-1888,'steak houses',476
1011,'harry denton\'s','161 steuart st.','san francisco',415/882-1333,american,477
1012,'hayes street grill','320 hayes st.','san francisco',415/863-5545,seafood,478
1013,helmand,'430 broadway','san francisco',415/362-0641,'greek and middle eastern',479
1014,'hong kong flower lounge','5322 geary blvd.','san francisco',415/668-8998,asian,480
1015,'hong kong villa','2332 clement st.','san francisco',415/752-8833,asian,481
1016,'hyde street bistro','1521 hyde st.','san francisco',415/441-7778,italian,482
1017,'il fornaio levi\'s plaza','1265 battery st.','san francisco',415/986-0100,italian,483
1018,'izzy\'s steak & chop house','3345 steiner st.','san francisco',415/563-0487,'steak houses',484
1019,'jack\'s','615 sacramento st.','san francisco',415/986-9854,'old san francisco',485
1020,'kabuto sushi','5116 geary blvd.','san francisco',415/752-5652,asian,486
1021,'katia\'s','600 5th ave.','san francisco',415/668-9292,'',487
1022,'kuleto\'s','221 powell st.','san francisco',415/397-7720,italian,488
1023,'kyo-ya. sheraton palace hotel','2 new montgomery st.  at market st.','san francisco',415/546-5000,asian,489
1024,'l\'osteria del forno','519 columbus ave.','san francisco',415/982-1124,italian,490
1025,'le central','453 bush st.','san francisco',415/391-2233,french,491
1026,'le soleil','133 clement st.','san francisco',415/668-4848,asian,492
1027,'macarthur park','607 front st.','san francisco',415/398-5700,american,493
1028,manora,'3226 mission st.','san francisco',415/861-6224,asian,494
1029,maykadeh,'470 green st.','san francisco',415/362-8286,'greek and middle eastern',495
1030,'mccormick & kuleto\'s','ghirardelli sq.','san francisco',415/929-1730,seafood,496
1031,millennium,'246 mcallister st.','san francisco',415/487-9800,vegetarian,497
1032,'moose\'s','1652 stockton st.','san francisco',415/989-7800,mediterranean,498
1033,'north india','3131 webster st.','san francisco',415/931-1556,asian,499
1034,'one market','1 market st.','san francisco',415/777-5577,american,500
1035,oritalia,'1915 fillmore st.','san francisco',415/346-1333,italian,501
1036,'pacific pan pacific hotel','500 post st.','san francisco',415/929-2087,french,502
1037,'palio d\'asti','640 sacramento st.','san francisco',415/395-9800,italian,503
1038,'pane e vino','3011 steiner st.','san francisco',415/346-2111,italian,504
1039,pastis,'1015 battery st.','san francisco',415/391-2555,french,505
1040,'perry\'s','1944 union st.','san francisco',415/922-9022,american,506
1041,'r&g lounge','631 b kearny st.','san francisco',415/982-7877,'or 415/982-3811 asian',507
1042,rubicon,'558 sacramento st.','san francisco',415/434-4100,american,508
1043,rumpus,'1 tillman pl.','san francisco',415/421-2300,american,509
1044,sanppo,'1702 post st.','san francisco',415/346-3486,asian,510
1045,'scala\'s bistro','432 powell st.','san francisco',415/395-8555,italian,511
1046,'south park cafe','108 south park','san francisco',415/495-7275,french,512
1047,'splendido embarcadero',4,'san francisco',415/986-3222,mediterranean,513
1048,stars,'150 redwood alley','san francisco',415/861-7827,american,514
1049,'stars cafe','500 van ness ave.','san francisco',415/861-4344,american,515
1050,'stoyanof\'s cafe','1240 9th ave.','san francisco',415/664-3664,'greek and middle eastern',516
1051,'straits cafe','3300 geary blvd.','san francisco',415/668-1783,asian,517
1052,suppenkuche,'601 hayes st.','san francisco',415/252-9289,russian/german,518
1053,'tadich grill','240 california st.','san francisco',415/391-2373,seafood,519
1054,'the heights','3235 sacramento st.','san francisco',415/474-8890,french,520
1055,thepin,'298 gough st.','san francisco',415/863-9335,asian,521
1056,'ton kiang','3148 geary blvd.','san francisco',415/752-4440,asian,522
1057,vertigo,'600 montgomery st.','san francisco',415/433-7250,mediterranean,523
1058,'vivande porta via','2125 fillmore st.','san francisco',415/346-4430,italian,524
1059,'vivande ristorante','670 golden gate ave.','san francisco',415/673-9245,italian,525
1060,'world wrapps','2257 chestnut st.','san francisco',415/563-9727,american,526
1061,'wu kong','101 spear st.','san francisco',415/957-9300,asian,527
1062,'yank sing','427 battery st.','san francisco',415/541-4949,asian,528
1063,'yaya cuisine','1220 9th ave.','san francisco',415/566-6966,'greek and middle eastern',529
1064,'yoyo tsumami bistro','1611 post st.','san francisco',415/922-7788,french,530
1065,zarzuela,'2000 hyde st.','san francisco',415/346-0800,'mexican/latin american/spanish',531
1066,'zuni cafe & grill','1658 market st.','san francisco',415/552-2522,mediterranean,532
