Sno,Album_Name,Album_Price,Artist_Name,CopyRight,Customer_Rating,Genre,Price,Released,Song_Name,Time
1913,Try This,$9.99 ,P!NK," 2003 Arista Records, Inc.",4.55284,"Pop,Music,Dance,R&B/Soul,Pop/Rock,Teen Pop,Electronic",$1.29 ,11-Nov-03,Hooker,3:04
1914,Try This,$9.99 ,P!NK," 2003 Arista Records, Inc.",4.55284,"Pop,Music,Dance,R&B/Soul,Pop/Rock,Teen Pop,Electronic",$1.29 ,11-Nov-03,Hooker,3:04
1915,Try This,$9.99 ,P!NK," 2003 Arista Records, Inc.",4.55284,"Pop,Music,Dance,R&B/Soul,Pop/Rock,Teen Pop,Electronic",$1.29 ,11-Nov-03,Hooker,3:04
1916,Can't Take Me Home,$9.99 ,P!NK," 1999, 2000 LaFace Records LLC",4.40614,"Pop,Music,Dance,R&B/Soul,Pop/Rock,Teen Pop,Contemporary R&B",$0.99 ,5-May-97,Is It Love,3:38
1917,Can't Take Me Home,$9.99 ,P!NK," 1999, 2000 LaFace Records LLC",4.40614,"Pop,Music,Dance,R&B/Soul,Pop/Rock,Teen Pop,Contemporary R&B",$0.99 ,5-May-97,Is It Love,3:38
1918,Can't Take Me Home,$9.99 ,P!NK," 1999, 2000 LaFace Records LLC",4.40614,"Pop,Music,Dance,R&B/Soul,Pop/Rock,Teen Pop,Contemporary R&B",$0.99 ,5-May-97,Is It Love,3:38
1919,Can't Take Me Home,$9.99 ,P!NK," 1999, 2000 LaFace Records LLC",4.40614,"Pop,Music,Dance,R&B/Soul,Pop/Rock,Teen Pop,Contemporary R&B",$0.99 ,5-May-97,Is It Love,3:38
1920,Can't Take Me Home,$9.99 ,P!NK," 1999, 2000 LaFace Records LLC",4.40614,"Pop,Music,Dance,R&B/Soul,Pop/Rock,Teen Pop,Contemporary R&B",$0.99 ,5-May-97,Is It Love,3:38
1921,Can't Take Me Home,$9.99 ,P!NK," 1999, 2000 LaFace Records LLC",4.40614,"Pop,Music,Dance,R&B/Soul,Pop/Rock,Teen Pop,Contemporary R&B",$0.99 ,5-May-97,Is It Love,3:38
1922,Can't Take Me Home,$9.99 ,P!NK," 1999, 2000 LaFace Records LLC",4.40614,"Pop,Music,Dance,R&B/Soul,Pop/Rock,Teen Pop,Contemporary R&B",$0.99 ,5-May-97,Is It Love,3:38
1923,Can't Take Me Home,$9.99 ,P!NK," 1999, 2000 LaFace Records LLC",4.40614,"Pop,Music,Dance,R&B/Soul,Pop/Rock,Teen Pop,Contemporary R&B",$0.99 ,5-May-97,Is It Love,3:38
1924,I'm Not Dead,$9.99 ,P!NK, 2006 LaFace Records LLC,4.46225,"Pop,Music,Electronic,R&B/Soul,Dance,Pop/Rock",$0.99 ,3-Apr-06,I Have Seen the Rain (feat. James T. Moore),3:30
1925,I'm Not Dead,$9.99 ,P!NK, 2006 LaFace Records LLC,4.46225,"Pop,Music,Electronic,R&B/Soul,Dance,Pop/Rock",$0.99 ,3-Apr-06,I Have Seen the Rain (feat. James T. Moore),3:30
1926,I'm Not Dead,$9.99 ,P!NK, 2006 LaFace Records LLC,4.46225,"Pop,Music,Electronic,R&B/Soul,Dance,Pop/Rock",$0.99 ,3-Apr-06,I Have Seen the Rain (feat. James T. Moore),3:30
1927,I'm Not Dead,$9.99 ,P!NK, 2006 LaFace Records LLC,4.46225,"Pop,Music,Electronic,R&B/Soul,Dance,Pop/Rock",$0.99 ,3-Apr-06,I Have Seen the Rain (feat. James T. Moore),3:30
1928,I'm Not Dead,$9.99 ,P!NK, 2006 LaFace Records LLC,4.46225,"Pop,Music,Electronic,R&B/Soul,Dance,Pop/Rock",$0.99 ,3-Apr-06,I Have Seen the Rain (feat. James T. Moore),3:30
1929,I'm Not Dead,$9.99 ,P!NK, 2006 LaFace Records LLC,4.46225,"Pop,Music,Electronic,R&B/Soul,Dance,Pop/Rock",$0.99 ,3-Apr-06,I Have Seen the Rain (feat. James T. Moore),3:30
1930,I'm Not Dead,$9.99 ,P!NK, 2006 LaFace Records LLC,4.46225,"Pop,Music,Electronic,R&B/Soul,Dance,Pop/Rock",$0.99 ,3-Apr-06,I Have Seen the Rain (feat. James T. Moore),3:30
1931,God Is a DJ - EP,$3.99 ,P!NK," 2003 Arista Records, Inc.",4.26316,"Dance,Music,Pop",$1.29 ,25-Dec-03,God Is a DJ (Electroheadz Remix),7:50
1932,God Is a DJ - EP,$3.99 ,P!NK," 2003 Arista Records, Inc.",4.26316,"Dance,Music,Pop",$1.29 ,25-Dec-03,God Is a DJ (Electroheadz Remix),7:50
1933,God Is a DJ - EP,$3.99 ,P!NK," 2003 Arista Records, Inc.",4.26316,"Dance,Music,Pop",$1.29 ,25-Dec-03,God Is a DJ (Electroheadz Remix),7:50
1934,God Is a DJ - EP,$3.99 ,P!NK," 2003 Arista Records, Inc.",4.26316,"Dance,Music,Pop",$1.29 ,25-Dec-03,God Is a DJ (Electroheadz Remix),7:50
1935,Try This,$9.99 ,P!NK," 2003 Arista Records, Inc.",4.37288,"Pop,Music,Teen Pop,Electronic,Pop/Rock,R&B/Soul,Dance",$0.99 ,10-Nov-03,Love Song,2:28
1936,Try This,$9.99 ,P!NK," 2003 Arista Records, Inc.",4.37288,"Pop,Music,Teen Pop,Electronic,Pop/Rock,R&B/Soul,Dance",$0.99 ,10-Nov-03,Love Song,2:28
1937,Try This,$9.99 ,P!NK," 2003 Arista Records, Inc.",4.37288,"Pop,Music,Teen Pop,Electronic,Pop/Rock,R&B/Soul,Dance",$0.99 ,10-Nov-03,Love Song,2:28
1938,Try This,$9.99 ,P!NK," 2003 Arista Records, Inc.",4.37288,"Pop,Music,Teen Pop,Electronic,Pop/Rock,R&B/Soul,Dance",$0.99 ,10-Nov-03,Love Song,2:28
1939,Try This,$9.99 ,P!NK," 2003 Arista Records, Inc.",4.37288,"Pop,Music,Teen Pop,Electronic,Pop/Rock,R&B/Soul,Dance",$0.99 ,10-Nov-03,Love Song,2:28
1940,The Hills (The Soundtrack),$9.99 ,Garrison Starr, Compilation (P) 2007 SONY BMG MUSIC ENTERTAINMENT,3.85185,"Soundtrack,Music",Album Only,13-Feb-07,Beautiful In Los Angeles,3:58
1941,The Remixes - EP,$5.99 ,P!NK, 2007 LaFace Records LLC,3.91608,"Pop,Music",$1.29 ,20-Feb-07,Stupid Girls (Noize Trip Remix),3:13
1942,The Remixes - EP,$5.99 ,P!NK, 2007 LaFace Records LLC,3.91608,"Pop,Music",$1.29 ,20-Feb-07,Stupid Girls (Noize Trip Remix),3:13
1943,The Remixes - EP,$5.99 ,P!NK, 2007 LaFace Records LLC,3.91608,"Pop,Music",$1.29 ,20-Feb-07,Stupid Girls (Noize Trip Remix),3:13
1944,The Remixes - EP,$5.99 ,P!NK, 2007 LaFace Records LLC,3.91608,"Pop,Music",$1.29 ,20-Feb-07,Stupid Girls (Noize Trip Remix),3:13
1945,The Remixes - EP,$5.99 ,P!NK, 2007 LaFace Records LLC,3.91608,"Pop,Music",$1.29 ,20-Feb-07,Stupid Girls (Noize Trip Remix),3:13
1946,The Remixes - EP,$5.99 ,P!NK, 2007 LaFace Records LLC,3.91608,"Pop,Music",$1.29 ,20-Feb-07,Stupid Girls (Noize Trip Remix),3:13
1947,I'm Not Dead,$9.99 ,P!nk featuring James T. Moore," 2006 RCA/JIVE Label Group, a unit of Sony Music Entertainment",4.65672,"Pop,Music,Electronic,R&B/Soul,Pop/Rock,Dance",$0.99 ,4-Mar-06,I Have Seen the Rain (Featuring James T. Moore),3:29
1948,I'm Not Dead,$9.99 ,P!nk featuring James T. Moore," 2006 RCA/JIVE Label Group, a unit of Sony Music Entertainment",4.65672,"Pop,Music,Electronic,R&B/Soul,Pop/Rock,Dance",$0.99 ,4-Mar-06,I Have Seen the Rain (Featuring James T. Moore),3:29
1949,I'm Not Dead,$9.99 ,P!nk featuring James T. Moore," 2006 RCA/JIVE Label Group, a unit of Sony Music Entertainment",4.65672,"Pop,Music,Electronic,R&B/Soul,Pop/Rock,Dance",$0.99 ,4-Mar-06,I Have Seen the Rain (Featuring James T. Moore),3:29
1950,I'm Not Dead,$9.99 ,P!nk featuring James T. Moore," 2006 RCA/JIVE Label Group, a unit of Sony Music Entertainment",4.65672,"Pop,Music,Electronic,R&B/Soul,Pop/Rock,Dance",$0.99 ,4-Mar-06,I Have Seen the Rain (Featuring James T. Moore),3:29
1951,I'm Not Dead,$9.99 ,P!nk featuring James T. Moore," 2006 RCA/JIVE Label Group, a unit of Sony Music Entertainment",4.65672,"Pop,Music,Electronic,R&B/Soul,Pop/Rock,Dance",$0.99 ,4-Mar-06,I Have Seen the Rain (Featuring James T. Moore),3:29
1952,I'm Not Dead,$9.99 ,P!nk featuring James T. Moore," 2006 RCA/JIVE Label Group, a unit of Sony Music Entertainment",4.65672,"Pop,Music,Electronic,R&B/Soul,Pop/Rock,Dance",$0.99 ,4-Mar-06,I Have Seen the Rain (Featuring James T. Moore),3:29
1953,I'm Not Dead,$9.99 ,P!nk featuring James T. Moore," 2006 RCA/JIVE Label Group, a unit of Sony Music Entertainment",4.65672,"Pop,Music,Electronic,R&B/Soul,Pop/Rock,Dance",$0.99 ,4-Mar-06,I Have Seen the Rain (Featuring James T. Moore),3:29
1954,I'm Not Dead,$9.99 ,P!nk featuring James T. Moore," 2006 RCA/JIVE Label Group, a unit of Sony Music Entertainment",4.65672,"Pop,Music,Electronic,R&B/Soul,Pop/Rock,Dance",$0.99 ,4-Mar-06,I Have Seen the Rain (Featuring James T. Moore),3:29
1955,I'm Not Dead,$9.99 ,P!nk featuring James T. Moore," 2006 RCA/JIVE Label Group, a unit of Sony Music Entertainment",4.65672,"Pop,Music,Electronic,R&B/Soul,Pop/Rock,Dance",$0.99 ,4-Mar-06,I Have Seen the Rain (Featuring James T. Moore),3:29
1956,I'm Not Dead,$9.99 ,P!nk featuring James T. Moore," 2006 RCA/JIVE Label Group, a unit of Sony Music Entertainment",4.65672,"Pop,Music,Electronic,R&B/Soul,Pop/Rock,Dance",$0.99 ,4-Mar-06,I Have Seen the Rain (Featuring James T. Moore),3:29
1957,I'm Not Dead,$9.99 ,P!nk featuring James T. Moore," 2006 RCA/JIVE Label Group, a unit of Sony Music Entertainment",4.65672,"Pop,Music,Electronic,R&B/Soul,Pop/Rock,Dance",$0.99 ,4-Mar-06,I Have Seen the Rain (Featuring James T. Moore),3:29
1958,I'm Not Dead,$9.99 ,P!nk featuring James T. Moore," 2006 RCA/JIVE Label Group, a unit of Sony Music Entertainment",4.65672,"Pop,Music,Electronic,R&B/Soul,Pop/Rock,Dance",$0.99 ,4-Mar-06,I Have Seen the Rain (Featuring James T. Moore),3:29
1959,I'm Not Dead,$9.99 ,P!nk featuring James T. Moore," 2006 RCA/JIVE Label Group, a unit of Sony Music Entertainment",4.65672,"Pop,Music,Electronic,R&B/Soul,Pop/Rock,Dance",$0.99 ,4-Mar-06,I Have Seen the Rain (Featuring James T. Moore),3:29
1960,I'm Not Dead,$9.99 ,P!nk featuring James T. Moore," 2006 RCA/JIVE Label Group, a unit of Sony Music Entertainment",4.65672,"Pop,Music,Electronic,R&B/Soul,Pop/Rock,Dance",$0.99 ,4-Mar-06,I Have Seen the Rain (Featuring James T. Moore),3:29
1961,Can't Take Me Home,$9.99 ,P!NK," 1999, 2000 LaFace Records LLC",4.40614,"Pop,Music,Dance,R&B/Soul,Pop/Rock,Teen Pop,Contemporary R&B",$0.99 ,5-May-97,Is It Love,3:38
1962,I'm Not Dead,$9.99 ,P!NK, 2006 LaFace Records LLC,4.46225,"Pop,Music,Electronic,R&B/Soul,Dance,Pop/Rock",$0.99 ,3-Apr-06,I Have Seen the Rain (feat. James T. Moore),3:30
1963,F**kin' Perfect (Perfect) - Single,$1.29 ,P!NK," 2010 LaFace Records, a unit of Sony Music Entertainment",4.64896,"Pop,Music,Rock",$1.29 ,14-Dec-10,F**kin' Perfect,3:33
1964,Raise Your Glass - Single,$1.29 ,P!NK," 2010 RCA Records, a divison of Sony Music Entertainment",4.46867,"Pop,Music",$1.29 ,6-Oct-10,Raise Your Glass,3:23
1965,Today's the Day - Single,$1.29 ,P!NK," 2015 RCA Records, a division of Sony Music Entertainment",4.80124,"Pop,Music",$1.29 ,10-Sep-15,Today's the Day,3:44
1966,Thirty One,$9.99 ,Jana Kramer, 2015 Warner Music Nashville LLC,4.69388,"Country,Music",Album Only,,Last Song,--
1967,Thirty One,$9.99 ,Jana Kramer, 2015 Warner Music Nashville LLC,4.69388,"Country,Music",Album Only,,Last Song,--
1968,Thirty One,$9.99 ,Jana Kramer, 2015 Warner Music Nashville LLC,4.69388,"Country,Music",Album Only,,Last Song,--
1969,Thirty One,$9.99 ,Jana Kramer, 2015 Warner Music Nashville LLC,4.69388,"Country,Music",Album Only,,Last Song,--
1970,Thirty One,$9.99 ,Jana Kramer, 2015 Warner Music Nashville LLC,4.69388,"Country,Music",Album Only,,Last Song,--
1971,Thirty One,$9.99 ,Jana Kramer, 2015 Warner Music Nashville LLC,4.69388,"Country,Music",Album Only,,Last Song,--
1972,Footloose (Music from the Motion Picture),$10.99 ,David Banner, 2011 This Compilation 2011 Warner Music Nashville LLC for the U.S. and WEA International Inc. for the world outside the U.S.,3.58641,"Soundtrack,Music",Album Only,23-Sep-11,Dance the Night Away (feat. Denim),4:13
1973,Jana Kramer,$9.99 ,Jana Kramer, 2012 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,4.49549,"Country,Music,Honky Tonk,Contemporary Country",$1.29 ,1-Jun-12,I Won't Give Up,3:18
1974,Jana Kramer,$9.99 ,Jana Kramer, 2012 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,4.49549,"Country,Music,Honky Tonk,Contemporary Country",$1.29 ,1-Jun-12,I Won't Give Up,3:18
1975,Jana Kramer,$9.99 ,Jana Kramer, 2012 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,4.49549,"Country,Music,Honky Tonk,Contemporary Country",$1.29 ,1-Jun-12,I Won't Give Up,3:18
1976,Jana Kramer,$9.99 ,Jana Kramer, 2012 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,4.49549,"Country,Music,Honky Tonk,Contemporary Country",$1.29 ,1-Jun-12,I Won't Give Up,3:18
1977,Jana Kramer,$9.99 ,Jana Kramer, 2012 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,4.49549,"Country,Music,Honky Tonk,Contemporary Country",$1.29 ,1-Jun-12,I Won't Give Up,3:18
1978,Whiskey (Acoustic) - Single,$1.29 ,Jana Kramer," 2013 Warner Music Nashville LLC d/b/a Elektra Records Nashville, A Warner Music Group Company.",4.60759,"Country,Music",$1.29 ,16-Apr-13,Whiskey (Acoustic),3:36
1979,Jana Kramer,$9.99 ,Jana Kramer, 2012 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,4.49549,"Country,Music,Honky Tonk,Contemporary Country",$1.29 ,1-Jun-12,I Won't Give Up,3:18
1980,Jana Kramer,$9.99 ,Jana Kramer, 2012 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,4.49549,"Country,Music,Honky Tonk,Contemporary Country",$1.29 ,1-Jun-12,I Won't Give Up,3:18
1981,Jana Kramer,$9.99 ,Jana Kramer, 2012 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,4.49549,"Country,Music,Honky Tonk,Contemporary Country",$1.29 ,1-Jun-12,I Won't Give Up,3:18
1982,Jana Kramer,$9.99 ,Jana Kramer, 2012 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,4.49549,"Country,Music,Honky Tonk,Contemporary Country",$1.29 ,1-Jun-12,I Won't Give Up,3:18
1983,Jana Kramer,$9.99 ,Jana Kramer, 2012 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,4.49549,"Country,Music,Honky Tonk,Contemporary Country",$1.29 ,1-Jun-12,I Won't Give Up,3:18
1984,Jana Kramer,$9.99 ,Jana Kramer, 2012 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,4.49549,"Country,Music,Honky Tonk,Contemporary Country",$1.29 ,1-Jun-12,I Won't Give Up,3:18
1985,Jana Kramer,$9.99 ,Jana Kramer, 2012 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,4.49549,"Country,Music,Honky Tonk,Contemporary Country",$1.29 ,1-Jun-12,I Won't Give Up,3:18
1986,Thirty One,$9.99 ,Jana Kramer, 2015 Warner Music Nashville LLC,4.69388,"Country,Music",Album Only,,Last Song,--
1987,Thirty One,$9.99 ,Jana Kramer, 2015 Warner Music Nashville LLC,4.69388,"Country,Music",Album Only,,Last Song,--
1988,Thirty One,$9.99 ,Jana Kramer, 2015 Warner Music Nashville LLC,4.69388,"Country,Music",Album Only,,Last Song,--
1989,Thirty One,$9.99 ,Jana Kramer, 2015 Warner Music Nashville LLC,4.69388,"Country,Music",Album Only,,Last Song,--
1990,The First Time,$9.99 ,Kelsea Ballerini, 2015 Black River Entertainment,4.20387,"Country,Music,Contemporary Country,Honky Tonk,Rock",$1.29 ,18-May-15,Underage,3:10
1991,The First Time,$9.99 ,Kelsea Ballerini, 2015 Black River Entertainment,4.20387,"Country,Music,Contemporary Country,Honky Tonk,Rock",$1.29 ,18-May-15,Underage,3:10
1992,The First Time,$9.99 ,Kelsea Ballerini, 2015 Black River Entertainment,4.20387,"Country,Music,Contemporary Country,Honky Tonk,Rock",$1.29 ,18-May-15,Underage,3:10
1993,The First Time,$9.99 ,Kelsea Ballerini, 2015 Black River Entertainment,4.20387,"Country,Music,Contemporary Country,Honky Tonk,Rock",$1.29 ,18-May-15,Underage,3:10
1994,The First Time,$9.99 ,Kelsea Ballerini, 2015 Black River Entertainment,4.20387,"Country,Music,Contemporary Country,Honky Tonk,Rock",$1.29 ,18-May-15,Underage,3:10
1995,Love Song to the Earth - Single,$0.69 ,"Paul McCartney, Jon Bon Jovi, Sheryl Crow, Fergie, Colbie Caillat, Natasha Bedingfield, Leona Lewis, Sean Paul, Johnny Rzeznik, Krewella, Angթlique Kidjo, Kelsea Ballerini, Nicole Scherzinger, Christina Grimmie, Victoria Justice & Q'orianka Kilcher",2015,3.92913,"Pop,Music,Rock",$0.69 ,4-Sep-15,Love Song to the Earth,3:51
1996,The First Time,$9.99 ,Kelsea Ballerini, 2015 Black River Entertainment,4.20387,"Country,Music,Contemporary Country,Honky Tonk,Rock",$1.29 ,18-May-15,Underage,3:10
1997,The First Time,$9.99 ,Kelsea Ballerini, 2015 Black River Entertainment,4.20387,"Country,Music,Contemporary Country,Honky Tonk,Rock",$1.29 ,18-May-15,Underage,3:10
1998,The First Time,$9.99 ,Kelsea Ballerini, 2015 Black River Entertainment,4.20387,"Country,Music,Contemporary Country,Honky Tonk,Rock",$1.29 ,18-May-15,Underage,3:10
1999,The First Time,$9.99 ,Kelsea Ballerini, 2015 Black River Entertainment,4.20387,"Country,Music,Contemporary Country,Honky Tonk,Rock",$1.29 ,18-May-15,Underage,3:10
2000,The First Time,$9.99 ,Kelsea Ballerini, 2015 Black River Entertainment,4.20387,"Country,Music,Contemporary Country,Honky Tonk,Rock",$1.29 ,18-May-15,Underage,3:10
2001,The First Time,$9.99 ,Kelsea Ballerini, 2015 Black River Entertainment,4.20387,"Country,Music,Contemporary Country,Honky Tonk,Rock",$1.29 ,18-May-15,Underage,3:10
2002,Brothers Osborne - EP,$5.25 ,Brothers Osborne, 2014 EMI Records Nashville,4.67176,"Country,Music",$1.29 ,9-Sep-14,Rum,3:26
2003,We Are Monster High (Madison Beer Version) - Single,$1.29 ,Madison Beer," 2013 Mattel, Inc.",3.14793,"Children's Music,Music,Pop",$1.29 ,6-Jun-13,We Are Monster High (Madison Beer Version),3:01
2004,#SELFIE (The Remixes) - Single,$3.87 ,The Chainsmokers," 2014 Dim Mak Inc. under exclusive license to Republic Records, a Division of UMG Recordings, Inc. and Universal Island Records, a Division of Universal Music Operations Ltd.",3.89655,"Electronic,Music,Dance",$1.29 ,17-Jun-14,#SELFIE (Caked Up Remix),3:15
2005,Nathaniel Rateliff & The Night Sweats,$7.99 ,Nathaniel Rateliff & The Night Sweats," 2015 Bottleneck Music Limited under exclusive license to Concord Music Group, Inc.",4.75228,"Rock,Music,R&B/Soul,Roots Rock",$1.29 ,21-Aug-15,Mellow Out,3:32
2006,American Idol Season 10: Lauren Alaina,$9.99 ,Lauren Alaina," 2011 19 Recordings, Inc.",4.66987,"Country,Music,Rock",$1.29 ,25-May-11,Any Man of Mine (American Idol Performance),3:40
2007,American Idol Season 10: Lauren Alaina,$9.99 ,Lauren Alaina," 2011 19 Recordings, Inc.",4.66987,"Country,Music,Rock",$1.29 ,25-May-11,Any Man of Mine (American Idol Performance),3:40
2008,American Idol Season 10: Lauren Alaina,$9.99 ,Lauren Alaina," 2011 19 Recordings, Inc.",4.66987,"Country,Music,Rock",$1.29 ,25-May-11,Any Man of Mine (American Idol Performance),3:40
2009,We Love Disney (Deluxe),$11.99 ,Yuna," 2015 The Verve Music Group, a Division of UMG Recordings, Inc.",4.58416,"Pop,Music",Album Only,,"A Whole New World (From ""Aladdin"")",2:33
2010,Erase (Samantha Ronson Remix) [feat. Priyanka Chopra] - Single,$1.29 ,The Chainsmokers, 2012 Interscope Records,4.41667,"Pop,Music",$1.29 ,4-Dec-12,Erase (Samantha Ronson Remix) [feat. Priyanka Chopra] [feat. Priyanka Chopra],4:09
2011,Sounds Good Feels Good (Deluxe),$11.99 ,5 Seconds of Summer, 2015 Capitol Records Ltd.,4.75205,"Pop,Music,Alternative,Punk,Teen Pop,Rock",Album Only,,Outer Space / Carry On,6:38
2012,Now 45,$9.99 ,Capital Cities," Compilation   2013 NOW Joint Venture. All rights reserved. Unauthorized reproduction is a violation of applicable laws.  Manufactured by Capitol Catalog, 1750 North Vine Street, Hollywood, CA 90028.",3.9,"Pop,Music",Album Only,5-Feb-13,Safe and Sound (NOW What's Next Bonus Track),3:12
2013,I Love House - Ministry of Sound,$9.99 ,Mark Knight, 2015 Ministry of Sound Recordings Ltd,3.42857,"Dance,Music",$1.29 ,13-Apr-15,Ironing Man (I Love House Edit),4:47
2014,"Dance Y'all, Vol. 1 - EP",$5.99 ,Greg Bates," 2013 Big Machine Records, LLC.",3.75,"Country,Music",Album Only,18-Jun-13,Did It for the Girl,3:11
2015,Top 25 Country Songs of Faith,$13.99 ,Amanda Ryan, 2014 Maranatha! Music,5,"Country,Music,Rock",Album Only,14-Oct-14,The Duck Dynasty Song,3:53
2016,Country Strong (Original Motion Picture Soundtrack),$10.99 ,Gwyneth Paltrow & Tim McGraw, 2010 Sony Music Entertainment,4.09568,"Soundtrack,Music",Album Only,25-Oct-10,Me and Tennessee,4:43
2017,21 Country Christmas Favorites,$9.99 ,The Henningsens, This compilation (P) 2014 Sony Music Entertainment,4.55556,"Holiday,Music",$1.29 ,17-Nov-14,White Christmas,3:07
2018,Chris Young,$9.99 ,Chris Young, 2006 Sony Music Entertainment,4.75,"Country,Music,Rock,Southern Rock,Honky Tonk,Urban Cowboy,Contemporary Country",$0.99 ,26-Sep-06,Who's Gonna Take Me Home,3:02
2019,The Man I Want to Be,$9.99 ,Chris Young, 2009 Sony Music Entertainment,4.7621,"Country,Music,Contemporary Country",$0.99 ,27-Aug-09,Rainy Night In Georgia,4:13
2020,The Man I Want to Be,$9.99 ,Chris Young, 2009 Sony Music Entertainment,4.7621,"Country,Music,Contemporary Country",$0.99 ,27-Aug-09,Rainy Night In Georgia,4:13
2021,Live After Deaf (Live) [Complete Collection],$119.99 ,Ryan Adams, 2012 PAXAM RECORDS,4.70588,"Singer/Songwriter,Music,Rock",$0.99 ,2-Jul-12,If I Am a Stranger (Live In Amsterdam),5:10
2022,Live After Deaf (Live) [Complete Collection],$119.99 ,Ryan Adams, 2012 PAXAM RECORDS,4.70588,"Singer/Songwriter,Music,Rock",$0.99 ,2-Jul-12,If I Am a Stranger (Live In Amsterdam),5:10
2023,Live After Deaf (Live) [Complete Collection],$119.99 ,Ryan Adams, 2012 PAXAM RECORDS,4.70588,"Singer/Songwriter,Music,Rock",$0.99 ,2-Jul-12,If I Am a Stranger (Live In Amsterdam),5:10
2024,Live After Deaf (Live) [Complete Collection],$119.99 ,Ryan Adams, 2012 PAXAM RECORDS,4.70588,"Singer/Songwriter,Music,Rock",$0.99 ,2-Jul-12,If I Am a Stranger (Live In Amsterdam),5:10
2025,Heartbreaker,$9.99 ,Ryan Adams, 2000 Pax Am Records,4.5862,"Singer/Songwriter,Music,Rock,Southern Rock,Country,Adult Alternative,American Trad Rock,Americana,Alternative Country",$0.99 ,5-Sep-00,Sweet Lil' Gal (23rd/1st),3:38
2026,Heartbreaker,$9.99 ,Ryan Adams, 2000 Pax Am Records,4.5862,"Singer/Songwriter,Music,Rock,Southern Rock,Country,Adult Alternative,American Trad Rock,Americana,Alternative Country",$0.99 ,5-Sep-00,Sweet Lil' Gal (23rd/1st),3:38
2027,Heartbreaker,$9.99 ,Ryan Adams, 2000 Pax Am Records,4.5862,"Singer/Songwriter,Music,Rock,Southern Rock,Country,Adult Alternative,American Trad Rock,Americana,Alternative Country",$0.99 ,5-Sep-00,Sweet Lil' Gal (23rd/1st),3:38
2028,Heartbreaker,$9.99 ,Ryan Adams, 2000 Pax Am Records,4.5862,"Singer/Songwriter,Music,Rock,Southern Rock,Country,Adult Alternative,American Trad Rock,Americana,Alternative Country",$0.99 ,5-Sep-00,Sweet Lil' Gal (23rd/1st),3:38
2029,Heartbreaker,$9.99 ,Ryan Adams, 2000 Pax Am Records,4.5862,"Singer/Songwriter,Music,Rock,Southern Rock,Country,Adult Alternative,American Trad Rock,Americana,Alternative Country",$0.99 ,5-Sep-00,Sweet Lil' Gal (23rd/1st),3:38
2030,Sandra Boynton's Frog Trouble,$9.99 ,Falls Mountain Cowboys," 2013 Sandra Boynton. Manufactured and Distributed by Warner Music Nashville LLC, A Warner Music Group Company.",4.18182,"Children's Music,Music",$1.29 ,30-Aug-13,More Frog Trouble,0:53
2031,iTunes Session,$5.99 ,Ryan Adams,"   2012 PaxAmericana Recording Company Under Exclusive License to Capitol Records. All rights reserved. Unauthorized reproduction is a violation of applicable laws.  Manufactured by Capitol Records, LLC, 1750 North Vine Street, Hollywood, CA 90028.",4,"Rock,Music",$1.29 ,24-Apr-12,My Winding Wheel (iTunes Session),3:34
2032,iTunes Session,$5.99 ,Ryan Adams,"   2012 PaxAmericana Recording Company Under Exclusive License to Capitol Records. All rights reserved. Unauthorized reproduction is a violation of applicable laws.  Manufactured by Capitol Records, LLC, 1750 North Vine Street, Hollywood, CA 90028.",4,"Rock,Music",$1.29 ,24-Apr-12,My Winding Wheel (iTunes Session),3:34
2033,iTunes Session,$5.99 ,Ryan Adams,"   2012 PaxAmericana Recording Company Under Exclusive License to Capitol Records. All rights reserved. Unauthorized reproduction is a violation of applicable laws.  Manufactured by Capitol Records, LLC, 1750 North Vine Street, Hollywood, CA 90028.",4,"Rock,Music",$1.29 ,24-Apr-12,My Winding Wheel (iTunes Session),3:34
2034,iTunes Session,$5.99 ,Ryan Adams,"   2012 PaxAmericana Recording Company Under Exclusive License to Capitol Records. All rights reserved. Unauthorized reproduction is a violation of applicable laws.  Manufactured by Capitol Records, LLC, 1750 North Vine Street, Hollywood, CA 90028.",4,"Rock,Music",$1.29 ,24-Apr-12,My Winding Wheel (iTunes Session),3:34
2035,iTunes Session,$5.99 ,Ryan Adams,"   2012 PaxAmericana Recording Company Under Exclusive License to Capitol Records. All rights reserved. Unauthorized reproduction is a violation of applicable laws.  Manufactured by Capitol Records, LLC, 1750 North Vine Street, Hollywood, CA 90028.",4,"Rock,Music",$1.29 ,24-Apr-12,My Winding Wheel (iTunes Session),3:34
